"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Alaska","Alaska",58.9,51.6,66.3,59.7,53.2,66.4,57.9,51.2,64.8,58.4,52,65,57.2,51.4,63.2,57.5,51.4,63.9,57.3,51.3,63.5,58.4,52.7,64.3,58.8,53.6,64.2,59.8,55,64.8,59.5,54.2,65
"Alaska","Aleutians East Borough",49.9,36.9,63.3,51.5,39.5,64,50.5,38.7,62.6,50.6,39.3,62.4,51.2,40.7,62.2,51.7,41.2,62.6,52.3,41.5,63.5,57.7,48.4,67.4,58.3,50.3,66.6,59,51.1,67.3,58.5,49.3,68.1
"Alaska","Aleutians West Census Area",54,42.2,66.3,55,44.7,65.7,53.1,43.2,63.3,53.9,44.9,63.2,52.8,44.6,61.4,53,45,61.2,52.4,45,60.1,54.5,47.9,61.4,55.5,48.5,62.7,55.2,48.3,62.4,54.4,46.1,63.1
"Alaska","Anchorage Municipality",62.4,55.3,69.8,62.9,56.5,69.4,60.9,54.3,67.8,61.3,54.9,68.1,59.8,53.8,66.1,60,53.5,66.8,59.6,53.1,66.3,60.2,54,66.6,60.5,54.8,66.5,61.8,56.5,67.3,61.4,55.6,67.5
"Alaska","Bethel Census Area",32.9,27.2,38.9,35.2,29.5,41,34,28.2,40,35.7,29.8,41.7,34.8,29.6,40.2,35.7,30.3,41.2,35.7,30.4,41.2,37.5,31.9,43.2,38.4,33.1,44,39.4,34.1,44.9,37.9,31.9,44.2
"Alaska","Bristol Bay Borough",57.6,48.1,67.5,59.8,51.3,68.7,59.1,51.1,67.5,60.1,53.2,67.4,60.5,54.5,66.8,61.5,55.9,67.2,62.4,57.6,67.4,65.4,62,68.9,66.1,62.4,69.8,66.9,63.7,70.1,66.3,61.8,70.9
"Alaska","Denali Borough, Yukon-Koyukuk Census Area",52,44.8,59.4,51.2,44.7,58,51.1,44.2,58.3,50,43.7,56.6,49,43,55.1,48.4,42.1,55,47.3,41.1,53.6,48.3,42.1,54.6,47.5,41.5,53.8,48.9,42.7,55.4,48.4,41.6,55.6
"Alaska","Dillingham Census Area",38.3,32.7,44.1,40.4,35.5,45.6,39.6,34.5,44.9,39.3,34.6,44.2,39.8,35.7,44,40.6,36.5,44.8,41.9,37.8,46,44.1,40.3,48.1,45.2,41.4,49.2,46.1,42.5,49.9,45.7,41.2,50.3
"Alaska","Fairbanks North Star Borough",59.6,51.8,67.7,60.5,53.5,67.7,59,51.9,66.3,59.4,52.7,66.4,58.5,52.4,64.8,59.4,53.2,65.9,59,53.2,65,60,54.8,65.4,60.5,56.1,65.1,61.2,57.3,65.3,60.4,55.8,65.2
"Alaska","Haines Borough",60.8,51.1,70.8,61.5,52.8,70.5,61.1,52.5,70,62.8,55,70.9,62.2,55.2,69.4,63.8,56.6,71.2,62.6,54.6,71,65.1,58.3,72.1,66,59.6,72.6,67.6,61.6,73.7,67.8,61.9,73.9
"Alaska","Hoonah-Angoon Census Area, Skagway Municipality, Yakutat City and Borough",59,50.6,67.7,61.5,53.2,70,59.3,50.9,68,60,51.7,68.5,59.7,51.8,67.9,60.6,52.5,69.1,60.5,52.5,68.9,61.5,53.6,69.7,62.2,55.1,69.7,63.7,56.6,71.1,64.4,57.6,71.5
