"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Arizona","Apache County",35.4,26.2,44.9,36.3,27,46,34.1,25,43.6,31.3,23.6,39.2,33.3,25,41.9,34,25.1,43.2,34.7,25.9,43.9,34.7,26.1,43.7,35.4,27.2,44,36.2,27.7,45,36.2,27.4,45.3
"Arizona","Arizona",60.3,53.4,67.5,60.3,53.4,67.4,58,51,65.4,58.7,52,65.6,58,51.5,64.8,58,51.2,65.1,58.3,51.8,65,58,51.4,64.8,57.9,52.4,63.7,58.7,53.5,64.2,55.8,50.6,61.2
"Arizona","Cochise County",54,43.6,64.7,54.6,44.4,65.2,52.4,42,63.2,53.3,43.5,63.5,52.5,43,62.5,53.1,43,63.6,53.6,43.7,63.9,54.1,44,64.5,53.6,44.4,63.2,54,44.7,63.7,51.8,42.4,61.5
"Arizona","Coconino County",59.8,52,67.9,60,52.2,68,57.7,49.9,65.8,57.7,50.5,65.1,57.8,50.9,65,57.9,50.7,65.4,58.4,51.4,65.6,57.7,50.9,64.7,55.7,50.1,61.5,57.4,51.9,63.2,54.9,49.9,60.1
"Arizona","Gila County",51.2,40.9,61.9,51.8,41.6,62.4,49.8,39.6,60.4,50.3,40.7,60.3,50.2,40.9,60,51.5,41.7,61.8,53.1,43.6,63,52.2,43,61.8,53.1,44.7,61.8,52.2,44.3,60.4,52,44.1,60.1
"Arizona","Graham County",36.9,28.1,45.9,38.1,29.1,47.4,35.4,26.6,44.4,35.3,27.1,43.9,34.8,26.8,43.1,34.9,26.5,43.6,36,27.3,44.9,36.3,27.2,45.8,36.3,28,44.9,35.8,27.9,43.9,33.8,26.3,41.7
"Arizona","Greenlee County",48.5,36.1,61.4,48.1,36.4,60.2,43.2,32.7,54,44,34.2,54,45.5,36,55.3,45.8,36.2,55.7,45.4,36.9,54.1,46.5,37,56.3,45.4,37.5,53.7,45.8,38.3,53.6,43.7,36.4,51.3
"Arizona","La Paz County",57.5,50.8,64.5,58.9,51.9,66.1,56.4,49.3,63.7,55.9,49.4,62.6,55.4,49.2,61.7,54.2,48,60.6,53.4,47.8,59.2,53.4,47.9,59.1,54,49.8,58.5,54.8,50.9,58.9,52.9,49.5,56.5
"Arizona","Maricopa County",61.7,55.2,68.6,61.4,54.9,68.2,59.2,52.4,66.3,60,53.5,66.7,59.3,52.9,65.8,59,52.4,65.9,59.4,53.1,65.9,59.1,52.7,65.7,59,53.6,64.6,60,55,65.3,56.4,51.3,61.7
"Arizona","Mohave County",62.3,54.9,69.9,62.7,55.4,70.3,60.8,53.5,68.4,61.5,54.6,68.6,61,54.4,67.8,61.6,54.4,69.1,60.4,53.4,67.6,59.9,52.9,67,59.6,53.7,65.7,59.2,53.8,64.8,58.1,52.7,63.7
"Arizona","Navajo County",40.8,33.6,48.3,42.4,34.6,50.4,40,32.1,48.1,39,31.7,46.5,40.4,32.7,48.4,41,32.6,49.8,41.8,33,50.9,40.8,31.7,50.1,40.8,32.2,49.7,40.3,31.6,49.2,39.3,30.7,48.1
"Arizona","Pima County",62.8,56.3,69.6,62.7,56.4,69.3,60,53.5,66.8,60.6,54.5,66.9,59.6,53.8,65.6,59.4,53.3,65.8,59.7,53.9,65.6,58.6,53,64.4,59.2,54.4,64.1,59.3,55,63.8,57,52.6,61.5
"Arizona","Pinal County",54.8,48.8,61.1,56,49.9,62.4,54.2,47.9,60.9,55.1,49.1,61.3,55.2,49.4,61.2,56.3,49.9,63,56.4,50.2,62.8,57.5,51,64.2,58.1,52.6,63.7,58.3,53.2,63.7,55.6,50.9,60.6
"Arizona","Santa Cruz County",54.2,42,66.8,54.8,43.1,66.9,53.1,41.3,65.3,53.9,42.8,65.3,53.1,42.8,63.7,54,43.7,64.7,55.6,45.3,66.3,54.3,44.3,64.7,53.9,44.4,63.8,56,46.2,66.1,54.2,44.7,64
"Arizona","Yavapai County",61.7,54.3,69.3,61.9,54.6,69.4,59.8,52.5,67.4,60.4,53.7,67.3,59.9,53.5,66.5,59.9,53.3,66.7,60.2,54,66.5,59.8,53.7,66.2,58.6,53.8,63.5,59.4,55.1,63.9,58.9,54.9,63
"Arizona","Yuma County",55.3,44.5,66.4,56.2,45.4,67.4,54.2,43.3,65.5,54.6,44.1,65.5,53.9,43.8,64.4,54.6,44.5,65,54.4,44.9,64.1,56,46.5,65.8,56.4,48.2,64.8,57.7,50,65.6,56.3,48.8,64.1
