"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"California","Alameda County",60.7,53.3,68.4,61.7,55,68.6,60.4,54.1,67,61.4,55.7,67.4,60.4,55.5,65.5,60.4,55.3,65.8,59.8,54.1,65.6,59.7,54.1,65.5,59.6,54.2,65.2,61,56,66.2,59.8,54.4,65.3
"California","Alpine County",44.4,36.3,52.7,46.8,40,53.8,48.1,41.8,54.7,52.6,46.6,58.8,52,48.2,56,54.9,51.1,58.7,57.1,53.4,61,59.3,56,62.7,62.8,60.8,64.8,63.6,62.1,65.1,61.4,59.9,63
"California","Amador County",63,58.5,67.7,64.4,60.5,68.5,63.4,59.7,67.3,64.1,60.7,67.5,63.2,60.6,66,63,60,66,62.4,59,65.9,62.1,58.9,65.4,62.7,59.8,65.7,63.6,60.9,66.3,62.4,59.3,65.5
"California","Butte County",57.9,50.1,66,59.7,52.6,67.1,58.8,51.6,66.2,58.6,52,65.4,59,53.1,65,59,52.8,65.4,56.7,50.2,63.6,58.4,51.9,65.1,58.7,52.6,65.1,58.9,53,65,58.4,51.8,65.3
"California","Calaveras County",65,58.9,71.4,66.1,60.5,71.9,64.7,59.3,70.2,65,60.1,70,63.1,58.9,67.4,63,58.5,67.7,61.5,56.4,66.8,61.3,56.4,66.5,61.9,57.2,66.9,62.2,58,66.7,60.6,56.2,65.3
"California","California",58,48.7,67.6,59.2,50.6,68,57.9,49.6,66.4,58.6,50.7,66.8,56.8,49.6,64.3,57.3,49.9,65,56.1,48.3,64.3,55.9,48.2,63.9,56.3,48.8,64.1,57.5,50.2,65.1,56.5,49.4,63.8
"California","Colusa County",53.7,42.3,65.5,55,44.2,66.2,54.3,43.6,65.3,54.6,44.6,64.9,54.1,45,63.5,54.5,45.3,64.1,53.2,43.5,63.2,54,44.6,63.8,54.2,44.8,64,55.7,46.4,65.4,54.7,44.5,65.3
"California","Contra Costa County",64.4,56.9,72.2,65.4,58.7,72.5,64.3,57.6,71.1,65.3,59.3,71.6,64.4,59.1,69.9,64.1,58.6,69.8,63.2,57.4,69.1,63.4,57.9,69.2,64.4,59.2,69.9,64.6,59.7,69.6,63.4,57.8,69.2
"California","Del Norte County",50.5,44.7,56.6,53.3,48.2,58.6,52.3,46.9,57.9,52.2,47.3,57.3,52.7,48.5,57.1,52.9,48.3,57.7,51.8,47.1,56.8,52.9,48.4,57.6,54.4,50.1,58.8,54.7,50.5,59,54.2,49.6,59.1
"California","El Dorado County",66.7,60.5,73.2,67.7,62.1,73.5,66.6,61.2,72.3,67.5,62.5,72.6,66.4,62.1,70.8,66.1,61.6,70.8,65.4,60.3,70.6,65.7,60.8,70.8,66,61.5,70.6,66.9,62.8,71.2,65.9,61.5,70.5
