"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Colorado","Adams County, Boulder County, Broomfield County, Jefferson County, Weld County",66.6,59.9,73.6,67.1,60.5,73.9,65.2,58.4,72.2,65.6,59,72.6,65.8,59.4,72.5,66.5,59.9,73.3,66.2,59.8,72.9,65.7,59.2,72.5,65.5,59.7,71.6,66,60.2,72.1,64.4,58.1,70.9
"Colorado","Alamosa County",51.6,42.6,61,52.3,43.4,61.5,49.4,40.7,58.5,48.9,40.7,57.4,48.7,40.8,57,49.2,40.8,57.9,49,41,57.3,49.7,41.1,58.6,49.3,41.8,57.2,49.5,42.1,57.1,47.3,39.7,55.1
"Colorado","Arapahoe County",67.2,59.9,74.7,67.2,60.2,74.4,64.9,57.8,72.2,65.6,58.9,72.5,65.6,59.5,71.8,65.9,60.2,71.9,65.8,60.2,71.7,65.1,59.6,70.8,65.5,60.9,70.2,65.7,61.5,70.1,64.3,59.7,69.1
"Colorado","Archuleta County",68.1,63.7,72.6,68.5,63.9,73.3,66.8,61.6,72.1,68,62.7,73.5,67.7,62.1,73.5,68.2,61.7,74.8,66.8,60,73.8,65.2,57.5,73.2,65.6,58,73.6,65.3,57.4,73.6,63.8,55.5,72.4
"Colorado","Baca County",51.7,43,60.8,53.7,45,62.7,52.2,43.5,61.2,52.4,44.2,60.9,53,45,61.3,55.1,46.8,63.8,56.6,48.3,65.1,56.9,49,65.2,57.5,50.3,64.8,55.3,48.7,62.1,53.6,46.9,60.6
"Colorado","Bent County",55.4,47.3,63.8,57.2,49.3,65.3,55,47.5,62.9,55.3,48.3,62.6,55.3,48.8,62,54.6,48.3,61.2,54.1,48.1,60.3,51.2,45.9,56.7,53.6,48.7,58.7,54,49.3,58.9,52.7,47.8,57.9
"Colorado","Chaffee County",63.2,56.4,70.2,64.3,57.9,70.9,63.5,57.2,70.1,64.5,58.6,70.6,64.3,58.9,69.8,65.5,60.1,71.1,66.8,61.8,72,67.1,62.2,72.2,66.8,62.9,70.8,67.2,63.6,71,65.5,61.6,69.5
"Colorado","Cheyenne County",61,51,71.4,62.7,52.7,73.1,60.2,50.1,70.7,60.8,50.9,71,61,51.4,70.9,62.2,52.5,72.2,61.4,51.8,71.3,60.8,51.6,70.3,61.3,53.2,69.7,61.7,53.8,69.9,60.4,52,69.2
"Colorado","Clear Creek County",74.7,70.8,78.7,74.9,70.9,79.1,73.3,68.8,77.9,74.4,69.6,79.3,74.3,69.6,79.3,74.6,69.5,80,75.3,70.2,80.6,73.8,68.6,79.2,73.2,68.1,78.5,74.2,68.8,79.9,72.8,66.8,79
"Colorado","Colorado",65.7,58.9,72.7,66.2,59.6,73,64.3,57.6,71.2,64.8,58.3,71.5,64.8,58.6,71.2,65.4,59.2,71.9,65.2,59.1,71.4,64.7,58.6,71.1,64.5,59.1,70,65.1,59.9,70.5,63.4,57.8,69.3
