"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Florida","Alachua County",57.6,49.9,65.5,59.3,51.7,67.2,58.5,50.6,66.7,57.3,50.6,64.2,57,50.2,64.1,57.2,50.4,64.3,58,51.3,65,58.4,51.7,65.3,59.3,53.4,65.4,61.5,56.7,66.5,60.2,54.7,65.8
"Florida","Baker County",37.7,28.4,47.5,39.5,30.1,49.4,39.1,29.7,49,40,31.4,49,40.4,31.6,49.5,40.5,31.7,49.6,39.2,30.7,48,39.7,30.8,48.9,40.8,32.1,49.8,42.2,34.3,50.3,42.1,33.8,50.7
"Florida","Bay County",50.3,42.7,58.1,52.7,45,60.5,52,44.3,60,53.2,46.3,60.2,53,46.4,59.9,53.4,47,60.2,52.5,46.1,59.1,52,45.4,58.8,52.9,46.7,59.4,54.9,49.6,60.3,53.5,47.6,59.5
"Florida","Bradford County",36.1,28.1,44.3,38.6,30.2,47.4,38.1,29.4,47.2,39.3,31.3,47.6,39.9,31.5,48.6,40.8,32.1,49.8,38.9,30.1,47.9,38.6,29.9,47.7,41.4,32.4,50.7,41.2,33.3,49.4,41.1,32.6,50
"Florida","Brevard County",62.4,55.1,70,63.5,56.2,70.9,62,54.6,69.7,61.8,55.3,68.6,60.6,53.7,67.7,60.4,53.2,67.9,58.8,51.6,66.2,59.4,52,67.2,60.3,53.5,67.3,60.9,55,66.9,60.4,53.9,67.2
"Florida","Broward County",58.7,50.9,66.8,59.7,51.8,67.8,58.4,50.2,66.9,58.5,50.8,66.5,57.1,48.8,65.7,56.9,48.4,65.7,56,47.6,64.7,56.9,48.4,65.8,58.3,50,66.9,58.9,51.1,66.9,58.2,49.3,67.5
"Florida","Calhoun County",34.7,27.3,42.4,38.3,30.1,46.9,37.8,29.2,46.7,39.5,31.3,48,39.4,31.3,47.8,38.8,30.9,47,38.5,30.7,46.7,38.3,30,46.9,39.6,31.8,47.7,40.4,33.2,47.8,40.2,32.5,48.2
"Florida","Charlotte County",63.6,56.9,70.6,64.9,58.2,71.8,63.7,56.6,71,63.3,57.1,69.7,62.6,56.3,69.3,62.2,55.5,69.1,61.3,55,67.8,61.8,55.5,68.4,63.4,57.5,69.5,64.7,59.7,69.9,64.4,58.8,70.2
"Florida","Citrus County",57.8,52.1,63.6,59.5,53.6,65.7,58.5,52,65.3,58.6,52.8,64.6,58.2,51.9,64.9,58,51,65.3,56.2,49.1,63.5,57.5,49.9,65.3,58.7,51.3,66.5,60.3,53.8,67.1,59.8,53,67
"Florida","Clay County",55.1,47.6,62.9,56.6,49.1,64.4,55.2,47.4,63.3,56.1,49.3,63.2,55.9,48.8,63.2,55.4,48.3,62.8,54.9,48.2,61.9,54.9,48,62,55.5,49.6,61.6,56.8,52.2,61.5,56.5,51.3,61.9
