"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Georgia","Appling County",27,17.8,36.6,29.5,19.9,39.4,29.1,19.5,39,29.7,20.8,39,29.8,21,39,30.1,21.5,39,29.7,21.1,38.5,29.8,21.4,38.5,31.2,22.6,40.2,33.6,25.1,42.4,32.8,24,41.9
"Georgia","Atkinson County",27.4,17.2,38,28.4,18.2,38.9,27.5,17.4,38.1,27.8,18.7,37.3,29.8,20,40.1,31.1,21,41.5,29.9,20.3,39.7,29.4,19.8,39.4,27.8,19,37,30.9,22.3,39.9,31.6,22.3,41.3
"Georgia","Bacon County",28.6,18.9,38.6,30.3,20.6,40.4,29.5,19.8,39.5,29.6,20.7,38.8,29.9,21,39.1,29.9,21.3,38.8,29.4,21,38.1,29.1,21.3,37.2,29.1,21.6,37,30.8,23.7,38.2,30.2,22.7,38
"Georgia","Baker County",35.2,23.9,46.9,37.8,26.6,49.5,36.8,26,48.1,34.5,25.6,43.8,34.6,26.3,43.1,35.3,27.7,43.2,38.3,30,47,38.7,29.9,47.8,41.3,32.4,50.5,42.9,34.9,51.2,42.4,33.7,51.4
"Georgia","Baldwin County",44,37,51.3,46.1,39.5,53,44.4,37.6,51.4,45.6,39.4,52.1,44.6,38.6,50.9,46.5,40.5,52.7,44.4,38.5,50.5,45.7,39.6,52,43.8,37.7,50,45.2,40.4,50.3,44.6,39.6,49.7
"Georgia","Banks County",30.7,22.9,38.9,32.4,24.7,40.3,31.7,23.6,40,33.1,25.4,41,32.7,25,40.7,33.7,26.2,41.5,33.1,26,40.5,33.9,27.1,40.9,34.9,27.9,42,36,29.5,42.6,35.4,28.8,42.3
"Georgia","Barrow County",43.3,32.9,54.1,44.6,34.8,54.8,44.3,34.1,54.8,45.8,36.3,55.6,45.6,36.2,55.3,46.6,37.8,55.7,46.5,38,55.3,46.9,38.8,55.4,48.3,40.3,56.6,49.6,42.4,56.9,49,41.8,56.4
"Georgia","Bartow County",40.1,34.5,45.8,41.9,36.3,47.7,40.8,34.1,47.7,41.9,35,49,41.8,34.2,49.7,43,35.5,50.9,41.7,33.2,50.5,41.7,32.3,51.5,43.2,33.2,53.5,43.3,33.6,53.3,43.2,33,53.7
"Georgia","Ben Hill County",35.1,25.6,44.9,36.2,26.5,46.3,35.9,26,46.1,35.5,26.4,45,33.8,25,43,35.5,26.3,45.1,33.2,24.1,42.8,33.1,24.2,42.3,34.6,25.9,43.7,35.9,27.8,44.4,35.4,27,44.2
"Georgia","Berrien County",37.8,25.4,50.6,39.3,27.2,51.9,38.4,26.5,50.8,39.7,28.4,51.5,39.2,28.1,50.6,40.8,29.8,52.2,39.8,29.2,50.8,39.5,29.4,49.9,41.9,32.5,51.7,43.1,34.7,51.8,42.7,34,51.7
"Georgia","Bibb County",45.4,35.8,55.3,46.4,37.3,56,45,35.7,54.7,45,36.7,53.7,45.3,37.1,53.7,45.2,37.7,52.9,44.5,37.4,52,45.1,38.3,52.2,44.9,38.8,51.2,46.9,41.7,52.2,45.4,40.1,50.8
"Georgia","Bleckley County",32,24.4,39.8,33.9,26.2,41.8,32.5,24.3,41,33.4,25.3,41.7,33.4,25.4,41.8,34,26.1,42.2,32.8,24.9,41.1,34.2,26.5,42.2,35.6,27.8,43.7,36.4,29,44.1,35.8,28.1,43.9
"Georgia","Brantley County",28.8,20.7,37.1,30.7,22.5,39.3,30.3,21.8,39,32.3,24.1,40.8,31.4,23.3,39.8,33.2,24.8,41.9,32.8,24.6,41.4,32.7,24.3,41.4,33.5,25.5,41.8,35.1,27.6,42.9,34.5,26.6,42.7
"Georgia","Brooks County",37.1,28.2,46.4,40.2,31,49.7,38.7,29.6,48.2,39.5,31,48.3,38.6,30.2,47.2,39.9,31.5,48.5,39.1,30.8,47.6,39.6,30.8,48.8,40.1,31,49.5,39.9,31.6,48.4,39.9,31.1,49.1
"Georgia","Bryan County",49.1,39.1,59.4,51.4,41.8,61.4,50.6,40.6,60.9,52.5,43.2,62.2,52.1,42.9,61.6,53.4,44.4,62.8,52.1,43.2,61.3,52.8,43.9,61.9,53.7,45,62.8,55.3,47.4,63.6,54.5,46.2,63.2
"Georgia","Bulloch County",44.4,35.1,54.1,46.5,37.5,55.9,45.2,35.8,54.9,45.3,36.8,54.2,45.9,37.4,54.7,46,37.8,54.5,45.3,37.1,53.8,45,37.3,53.1,43.4,36.2,50.8,46,39.2,53.1,44.7,37.5,52.2
"Georgia","Burke County",36.5,26.9,46.4,37.2,27.7,47,36.4,26.7,46.5,35.6,26.7,44.9,36.6,27.4,46.1,36.2,27.1,45.6,34,25.3,42.9,34.4,25.9,43.3,33.1,24.9,41.5,35.7,27.6,44.2,34.7,26.3,43.5
"Georgia","Butts County",37.8,29,46.9,39.6,31,48.6,38,29,47.4,39,30.4,48,38.3,29.8,47.1,38.6,30.4,47.2,37.3,29.3,45.6,37.1,29.1,45.4,37.9,29.8,46.4,38.2,30.6,46,37.7,30,45.6
"Georgia","Calhoun County",31.4,20.1,43,33.4,22,45.2,32.1,21.1,43.5,31.4,21.4,41.8,31.2,21.7,41.1,31.7,22.6,41.2,30.3,22,38.9,30.4,22.6,38.6,31.2,23.9,38.7,31.8,25.4,38.4,31.3,24.5,38.4
"Georgia","Camden County",47.8,38.6,57.4,48.9,39.7,58.5,47.9,38.6,57.6,49.5,40.9,58.4,49,40.2,58.2,49.5,40.7,58.6,49.4,40.7,58.5,49.4,40.5,58.5,50.3,41.9,59,52,44.6,59.7,51.4,43.5,59.7
"Georgia","Candler County",35,25.1,45.3,37.2,27.4,47.5,36.6,26.5,47.1,37.9,28.3,47.9,37.6,28.2,47.3,39.4,30.1,49,39.2,29.9,48.8,40.1,30.9,49.7,41.3,32.4,50.5,42.4,34.3,50.9,41.4,32.9,50.2
"Georgia","Carroll County",40.4,32.5,48.7,42.6,34.8,50.8,40.6,32.4,49.2,42.4,34.4,50.7,42,34,50.4,42,34.5,49.7,41.8,33.6,50.3,41.8,33.2,50.6,42.5,33.8,51.4,44.1,35.7,52.8,43,34.4,51.9
"Georgia","Catoosa County",33.4,26.3,40.7,35.8,28.8,43.1,35,27.2,43.1,36.7,28.6,45.1,37.4,28.6,46.6,38.5,30.1,47.1,38.9,30.1,48,40.1,30.7,49.8,41.6,31.9,51.7,43.8,34.1,53.7,43,32.9,53.5
"Georgia","Charlton County",32.5,24.5,40.9,35.1,26.6,43.9,34.4,25.8,43.3,34.8,27,42.8,35.2,27.3,43.5,37.1,28.8,45.8,37.6,29.6,45.9,37,29.6,44.6,38.2,30.6,46,37.9,31.3,44.7,37.6,30.5,44.9
"Georgia","Chatham County",53,44.4,62,54.6,46.5,63,53.8,45.3,62.5,56,48.4,64,55.3,47.9,63,56.3,49.2,63.8,55,48,62.2,55.6,49,62.5,55.6,49.4,62.1,57,51.7,62.5,56.5,50.8,62.5
"Georgia","Chattahoochee County",42,29.3,55.1,47.8,34.4,61.6,45.2,31.5,59.5,45.4,32.3,58.9,45.4,32.5,58.7,47.4,34.7,60.6,44.3,32.6,56.5,42.5,31.6,53.8,45.1,33.8,56.8,45.5,34.8,56.5,44.2,33.1,55.7
"Georgia","Chattooga County",33,26.5,39.8,34.7,27.9,41.7,32.8,25.1,40.8,33.1,25.4,41.2,33.1,24.5,42,33.5,24.9,42.4,31.8,22.8,41.2,31.5,22,41.5,32.5,22.5,42.9,33.3,23.5,43.4,32.1,22,42.6
"Georgia","Cherokee County",53,45,61.3,54.8,47.2,62.7,53.2,44.8,61.9,55,46.9,63.4,54.2,45.8,62.9,55.4,47.5,63.7,54.7,46.2,63.5,54.8,45.9,63.9,55.9,47,65.2,57.5,49.1,66.2,56.5,47.8,65.6
"Georgia","Clarke County",55.4,49,61.9,57,51.4,62.7,55.6,49.6,61.8,54.7,49.6,60,52.8,47.9,57.9,54.6,50.2,59.1,53.2,48.9,57.6,52,48.5,55.6,53.6,50.2,57,53.6,51.3,55.9,53.9,51.2,56.6
"Georgia","Clay County",37.6,25.5,50.1,39.4,27.2,52.1,37.4,25.1,50.1,33.2,22.9,43.9,34,23.8,44.7,33.3,23.4,43.6,32.2,23.1,41.7,32.7,23.5,42.3,32.6,23.9,41.6,33.9,25.9,42.2,33,24.5,41.9
"Georgia","Clayton County",45.6,36.9,54.7,46.7,38.1,55.7,44.4,35.2,53.9,45.6,36.7,54.9,44.7,35.7,54.1,45.5,36.6,54.7,43.7,34.5,53.3,43.3,33.9,53.1,42,32.6,51.8,43.1,33.8,52.7,41.5,32.1,51.2
"Georgia","Clinch County",33.9,23.2,44.9,35.7,24.9,46.9,34.8,24.1,45.9,34.3,24.8,44.1,35.2,25.6,45.1,35.8,26.3,45.6,35.9,27.2,45,36,27.1,45.2,37.6,28.7,46.7,38.4,30.6,46.5,37.7,29.4,46.3
"Georgia","Cobb County",58.2,51.1,65.7,60.1,53.2,67.3,58.4,50.6,66.5,60.2,52.6,68,59.2,51.3,67.4,60.3,53,67.8,59.6,51.8,67.6,59.4,51.3,67.8,59.4,51.2,67.8,61.5,53.8,69.5,60.5,52.3,68.9
"Georgia","Coffee County",30.3,21,39.9,32.3,22.4,42.6,31.8,21.8,42.2,32.3,22.9,42.2,33,23.2,43.1,33.4,23.5,43.7,33.1,23.3,43.2,31.5,22,41.4,32,22.9,41.4,33.4,25.2,41.9,33,24.5,41.8
"Georgia","Colquitt County",34.9,25.3,44.8,36.7,26.8,47,34.9,25.1,45,35.1,25.9,44.6,34.5,25.4,43.8,35.5,26.3,45,34.9,25.9,44.2,35.6,26.3,45.1,35.5,26.7,44.6,36.8,28.7,45.3,36.3,27.7,45.2
"Georgia","Columbia County",50.8,42.2,59.8,52.7,44.6,61.2,52.2,43.3,61.3,54.2,45.9,62.8,54.7,46.3,63.5,55.8,47.4,64.4,55.8,47.4,64.5,57.1,48.9,65.7,57.6,49.1,66.3,60.5,52.3,68.9,58.5,50,67.3
"Georgia","Cook County",36.1,25.5,47.2,37.6,26.9,48.8,36.3,25.6,47.4,36.8,26.8,47.1,36,26.2,46,35.9,26.5,45.7,35.8,26.7,45.3,35.4,26.1,45,36.2,27.7,45,36.9,29.4,44.6,36.4,28.7,44.5
"Georgia","Coweta County",48.2,38.9,57.8,49.5,40.4,58.9,48,38.3,58,49.4,40.1,59.1,48.3,39,57.9,49.2,40.1,58.5,48.3,38.8,58.2,48.5,38.7,58.7,49.4,39.5,59.5,50.1,40.7,59.8,49.5,39.7,59.5
"Georgia","Crawford County",38.3,27.4,49.7,40.2,29.3,51.4,39.2,28.3,50.4,39.9,29.7,50.5,39.9,30.1,50.1,39.7,30.5,49.1,41.2,32.1,50.6,41,31.9,50.3,42.4,33.8,51.3,44.2,36.5,52.1,43.2,35.4,51.3
"Georgia","Crisp County",37.6,28.6,46.9,39.6,30.4,49.2,38.3,29,47.9,37.8,29.2,46.7,36.6,28.4,45,39.2,30.7,48,38.4,30.3,46.7,38.2,30.3,46.4,39.6,32.1,47.3,40.5,34,47.4,39.8,33,46.9
"Georgia","Dade County",34.8,26.2,43.7,37.3,28.8,46.2,35.8,26.9,45.1,37.6,28.4,47,38.2,28.2,48.5,39.4,29.7,49.4,38.6,28.7,48.8,38.6,27.8,49.8,41.3,30,53,43,31.9,54.5,42.4,30.8,54.4
"Georgia","Dawson County",42.7,34.4,51.3,44.5,36.8,52.5,42.7,34.4,51.3,44,36.2,52.1,43.4,35.4,51.6,45.1,37.4,53.2,44.4,36.4,52.7,45.3,36.5,54.4,46,37,55.4,48.6,40,57.5,47.5,38.8,56.5
"Georgia","Decatur County",37.1,26.5,48.1,38.6,27.8,49.8,37.2,26,48.7,38.3,27.5,49.5,38.2,27.2,49.5,39.7,28.4,51.4,38,27.3,49.1,38.1,27,49.6,39.8,28.7,51.4,39.8,29.5,50.4,38.8,28.2,49.7
"Georgia","DeKalb County",56.4,48.8,64.2,58,50.7,65.5,56.1,48.1,64.3,57.3,49.7,65.1,57.3,49.6,65.3,58.2,50.7,65.9,57.2,49.3,65.4,57.5,49.5,65.7,57.5,49.6,65.8,59.3,51.9,67,58.2,50.5,66.2
"Georgia","Dodge County",28.3,18.9,38.1,30.2,20.6,40.2,29.2,19.6,39.1,29.3,20.3,38.7,30.2,21,39.7,30.2,21.3,39.3,29.8,21.4,38.5,30,21.7,38.7,31.1,22.9,39.7,31.5,24.1,39.2,31.2,23.4,39.3
"Georgia","Dooly County",32.4,22.3,42.8,34.4,24.3,44.9,33.3,23.2,43.8,34.4,24.9,44.3,33.7,24.6,43.1,33.1,24.7,41.9,32.8,24.3,41.5,33.6,25.5,42.1,35.7,27.1,44.5,34.9,27.3,42.7,34.1,26.4,42.2
"Georgia","Dougherty County",44.3,34.5,54.5,46.2,36.5,56.2,44.9,35.1,55.2,45.8,36.7,55.2,44,35.6,52.8,45.2,37.1,53.5,44.2,36.8,51.9,43.9,36.9,51.1,42.9,36.9,49,46.6,41.3,52,44.6,39,50.5
"Georgia","Douglas County",46.5,39.8,53.5,48,41.4,54.8,46.2,38.8,54,47.7,40.3,55.3,46.5,38.9,54.3,47.4,40.2,54.8,46.4,38.9,54.3,46.1,38.5,54,47.1,39.4,55.1,48,40.7,55.6,47.4,39.8,55.4
"Georgia","Early County",36.9,24.7,49.6,38.7,26.3,51.5,37.5,25.3,50.1,37.2,26,48.8,37.8,26.8,49.3,37.1,26.6,48,38.1,27.9,48.8,34.7,25.7,44.1,37.7,28.6,47.2,39.4,31,48.2,37.2,28.6,46.1
"Georgia","Echols County",34.9,24.1,46.2,37.1,26.2,48.4,35.9,25,47.1,35,25.4,45.1,35.3,25.5,45.4,35.1,25.6,45,34.6,25.6,44,35.2,26.8,43.9,37.5,29.3,46,39.4,32,47.1,37.5,29.6,45.6
"Georgia","Effingham County",43.5,32.4,55.1,45,34.2,56.1,44,33,55.3,45.8,35.4,56.5,45.4,35.3,55.8,45.5,35.7,55.6,44.5,35.1,54.3,44.6,35.6,54,45.6,36.4,55.1,47,38.5,55.8,46.1,37.3,55.2
"Georgia","Elbert County",35.4,28,43,37.6,30.2,45.2,35.8,28.1,43.8,37.1,29.6,44.9,36.4,28.7,44.2,38.7,31,46.8,37.7,29.3,46.4,38.4,29.5,47.6,38,28.8,47.5,40.1,30.8,49.7,40.7,31.3,50.5
