"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Idaho","Ada County",61.2,54.1,68.6,61.6,54.8,68.7,60.2,54,66.6,61,55.4,66.8,61.7,56.4,67.2,61.8,56.3,67.5,61.5,56.5,66.7,60.2,55.6,65.1,59.7,56.1,63.5,60.3,56.9,63.8,59.6,56.3,63
"Idaho","Adams County",61.2,54.3,68.3,62.7,55.7,69.9,62.1,55.3,69.2,62.4,56,69.1,63.1,57,69.5,64.2,57.6,71.1,65.1,58.4,72,64.7,58,71.6,65.4,59.2,71.8,65.3,59.1,71.6,63.5,57.1,70.1
"Idaho","Bannock County",42.5,37.3,47.8,42.5,37.3,47.9,40.8,35.7,46,39.7,35.2,44.4,40.1,35.8,44.6,40.1,35.5,44.9,40.4,35.8,45.2,39.9,35.5,44.4,39.2,35.4,43,38.2,34.6,41.9,38,34,42.1
"Idaho","Bear Lake County",22.6,18.3,26.9,22.7,18.1,27.5,21.1,16.6,25.8,20.6,16.2,25.2,20.3,16,24.9,20.5,15.5,25.7,20.1,15.2,25.2,19.6,15.1,24.3,18.5,14.3,22.8,18.6,14.3,23.1,17.9,13.5,22.5
"Idaho","Benewah County",58.9,50.6,67.6,60.6,52.6,68.8,59.2,51.7,67,59.4,52.4,66.5,60.4,53.9,67.2,61.9,55.3,68.7,62,55.4,69,61.9,55.6,68.3,61.7,55.9,67.8,63.4,57.9,69,61.9,56.2,67.8
"Idaho","Bingham County",29.6,24.1,35.2,30,24.4,35.8,28.5,23.1,34.1,28.6,23.4,34,29.1,24,34.5,29.7,24.1,35.6,29.7,24.2,35.4,28.7,23.5,34,28.8,24.1,33.8,29,24.2,34,28.6,23.5,33.8
"Idaho","Blaine County",72.4,68.3,76.7,73,68.9,77.3,71.1,67,75.3,71,67.3,74.9,70.6,67.1,74.3,70.8,66.9,74.9,69.8,65.9,73.7,68.9,65.1,72.8,68.1,65,71.4,68,65.1,71.1,66.7,63.5,70
"Idaho","Boise County",63.7,58.8,68.8,64.3,58.9,69.8,62.4,57,68.1,62.2,56.6,67.9,61.4,55.8,67.2,61.4,55,68.1,61.3,54.3,68.4,60.2,52.8,67.9,59.3,52.5,66.2,59.1,52.5,66.1,58.4,51.6,65.4
"Idaho","Bonner County",61.1,55.9,66.6,62.9,57.7,68.4,61.7,56.7,67,62.7,57.8,67.7,63.9,59.4,68.5,64.8,60.2,69.5,65.8,61.1,70.7,66.2,61.9,70.6,66.2,62.5,70.1,67.3,64.1,70.7,65.9,62,69.9
"Idaho","Bonneville County",39.7,34.6,45.1,39.7,34.5,45.2,38.1,32.8,43.5,38.3,33.1,43.6,37.8,33,42.9,38.2,32.8,43.8,38.1,32.8,43.6,37.6,32.7,42.6,36.5,32.1,41.1,36.5,32,41.2,35.6,30.7,40.8
