"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Illinois","Adams County",55.5,47.1,64.2,56.6,48.2,65.3,55.7,47.7,64,56.8,49.5,64.5,57.8,50.9,64.8,57.9,50.9,65.1,57.3,49.9,65,56.7,49,64.7,57.5,49.9,65.4,58,50.9,65.3,56.9,50,64.1
"Illinois","Alexander County",35.8,28.3,43.6,38.4,30.7,46.3,37.8,30.9,45.1,36.7,30.9,42.7,39.7,34.2,45.4,40,34.4,45.9,39.8,34,45.8,40.2,33.9,46.6,40.1,34.2,46.1,39.3,33.6,45.1,37.9,32.3,43.7
"Illinois","Bond County",47.5,40.3,55,50,42.7,57.5,49.2,42.5,56.2,50.9,44.7,57.3,51.2,45.5,57.1,53.1,46.9,59.4,53,46.8,59.4,53.9,47.6,60.3,53.5,47.3,59.9,54.9,49.1,60.9,52.6,46.7,58.8
"Illinois","Boone County",61.2,54,68.8,61.7,54.4,69.3,60.7,53.6,68.1,62,55.3,69,62.7,56.3,69.2,62.5,56.1,69.2,62.9,56.4,69.6,61.5,54.9,68.4,61,54.8,67.4,63.1,57.4,69,61.3,55.5,67.4
"Illinois","Brown County",47.1,41.7,52.7,50.5,45,56.2,49.9,44.9,55,51.2,47,55.5,53.5,49.9,57.1,55.5,52,59.1,56.6,53.3,60,58.1,53.8,62.5,58.1,53.9,62.5,59.2,55.5,63.1,56.8,53,60.8
"Illinois","Bureau County",55.7,46.4,65.3,56.2,46.7,65.9,55.4,46.3,64.9,56.7,48.1,65.5,56.7,48.6,65.1,57.5,49.3,66.1,57.5,49.3,65.9,56.4,48.1,64.9,57.1,49.1,65.4,58.5,50.9,66.4,56.1,48.2,64.2
"Illinois","Calhoun County",56.3,45.8,67.2,58.9,49,69.1,59.9,51.3,68.9,60.5,52.9,68.4,61.5,54.9,68.4,62.7,56.4,69.3,63.8,57.7,70,64.8,58.9,71,64.9,59.7,70.2,65.6,61.4,70.1,63.9,59.5,68.5
"Illinois","Carroll County",56.8,45.9,68,57.7,47.2,68.5,56.5,46.4,66.9,57.2,47.6,67.2,59.3,50.6,68.2,59.1,50.8,67.8,59.6,51.8,67.8,58.9,51.3,66.8,58.8,51.6,66.3,59.7,53.3,66.3,57.9,51.5,64.5
"Illinois","Cass County",50.2,39.4,61.4,50.3,39.5,61.4,49.8,39.6,60.3,51.1,41.7,60.8,51.1,42.4,60.1,53.4,44.9,62.3,53.6,45.3,62.2,53.9,45.3,62.7,53.5,45.9,61.4,54,47,61.2,51.9,45,59.1
"Illinois","Champaign County",60.3,54,66.7,61.4,55.1,68,60.3,54.2,66.6,60.1,54.6,65.8,60.3,55.2,65.5,61,55.7,66.6,61,55.5,66.8,61,55.1,67,60.9,55,66.9,60.8,55.4,66.5,59.4,54,65
"Illinois","Christian County",51.5,42.4,60.9,51.4,42.4,60.7,51.4,43,60,52.1,44.6,60,51.8,44.9,58.9,53.3,46.4,60.5,53.4,46.6,60.5,53.4,46.7,60.3,53.4,47.1,60,55.4,49.7,61.3,52.9,47,59.1
"Illinois","Clark County",43.4,31.4,55.8,45.1,33,57.6,44.6,33.2,56.4,45.2,34.5,56.4,45.5,35.4,56,46,35.9,56.6,46.2,36.2,56.6,45.9,36.1,56.1,46.4,36.9,56.3,47.5,38.4,57,45.5,36.2,55.1
"Illinois","Clay County",42.3,31.9,53,44.3,33.8,55.1,43.7,33.7,54.1,45.4,36.2,55,45,36.5,53.9,47.2,38.3,56.3,47.6,39.1,56.5,46.2,37.3,55.4,46.5,37.9,55.5,47.9,39.7,56.4,46.1,38,54.6
"Illinois","Clinton County",62.9,55.6,70.4,64.1,57.1,71.4,63.5,57.1,70.2,65.1,59.5,70.9,65.4,60.4,70.5,66.5,61.6,71.6,67.4,62.6,72.4,67.7,62.7,72.8,67.9,63.3,72.6,68.5,64.4,72.7,66.5,62.2,70.9
"Illinois","Coles County",51.5,43.4,60,53,44.6,61.7,52,43.8,60.4,52.3,44.7,60.1,53.6,46.4,61,53.4,46,61.1,54.1,46.5,62,54.7,46.7,63,54.7,46.9,62.9,55,47.5,62.8,52.7,45,60.6
"Illinois","Cook County",59.2,51.4,67.3,60.7,52.9,68.8,60.1,52.8,67.8,61.7,54.7,68.9,62.8,56.4,69.5,63.6,57,70.5,63.9,57.3,70.7,63.4,56.6,70.5,63.7,57.1,70.5,64.5,58.5,70.8,62.3,55.8,69.1
"Illinois","Crawford County",44.2,34.3,54.5,45,34.9,55.4,45.1,35.4,55.2,46.2,37.1,55.5,46.3,37.9,55.1,47.1,38.4,56.1,48,39,57.2,47.5,38.6,56.7,48.2,39.4,57.4,49.8,41.3,58.6,47.3,38.9,56
"Illinois","Cumberland County",43.8,31.8,56.2,45.3,33.4,57.6,44.4,33.1,56,46.2,35.8,56.9,46.7,37.2,56.6,47.3,37.9,57,47.5,38.2,57.2,48.5,39.3,58.1,48.6,40,57.4,49.6,41.6,57.8,47.8,39.7,56.2
"Illinois","De Witt County",48.7,38.1,59.8,50.9,40.4,61.7,50.3,40.3,60.7,52,42.7,61.6,52,43.4,61,53.6,44.9,62.6,53.9,45,63.2,54.4,45.3,63.8,55.4,46.5,64.8,56.4,47.8,65.3,54.5,45.8,63.5
"Illinois","DeKalb County",62.8,56,69.8,63.7,56.9,70.8,62.9,56.4,69.8,62.6,56.4,68.9,64,58.2,70,64.8,58.8,70.9,64.7,58.9,70.8,63.3,57.3,69.4,64.2,58.5,70,64.8,59.6,70.1,62.4,57.1,68
"Illinois","Douglas County",49.2,39.3,59.5,49.8,39.8,60.1,48.3,38.7,58.2,50,41,59.3,50.1,41.8,58.7,51.4,42.9,60.1,50.8,42.5,59.5,50.8,42.3,59.7,50.5,42.3,59,51.3,43.4,59.4,49.4,41.4,57.7
"Illinois","DuPage County",66.3,61.1,71.8,67.6,62.5,72.9,67.1,62.2,72.1,68.7,64.2,73.4,69.8,65.6,74,70.3,66,74.7,70.3,66.1,74.7,70.1,65.6,74.8,70.5,66.3,75,71.3,67.7,75.1,69.6,65.6,73.8
"Illinois","Edgar County",45.6,36.2,55.3,47.3,37.8,57.2,46.7,37.6,56.2,48,39.7,56.7,48.8,41,56.8,49.4,41.5,57.7,49.7,41.4,58.2,48.4,39.8,57.3,48.3,39.8,57.1,49.8,41.6,58.3,47.2,38.8,55.9
"Illinois","Edwards County",37.9,26.4,49.9,39.9,28.3,51.9,39.2,28,50.8,40.2,29.8,51,40.6,30.9,50.6,41.4,31.7,51.5,42.2,32.4,52.3,42.3,32.4,52.5,42.6,33.3,52.3,43.9,34.9,53.2,42,33.1,51.1
"Illinois","Effingham County",56.1,45.2,67.4,57.5,47,68.4,55.8,45.9,66,57,47.9,66.4,58.6,50.5,66.9,58.4,50.5,66.6,58.3,50.4,66.5,58.6,50.7,66.9,58.9,51.6,66.6,60,53.4,66.9,58,51.3,65
"Illinois","Fayette County",42,33.4,51,43.5,34.6,52.8,43.4,34.8,52.3,44.4,36.6,52.6,44.5,37.2,52,46.3,38.6,54.4,46.3,38.4,54.5,45,37.2,53,46.3,38.5,54.4,47.5,40.1,55.1,45.4,38.1,53
"Illinois","Ford County",52.9,44.6,61.4,54.2,45.8,63,53.2,45,61.7,54.6,47,62.5,54.4,46.9,62.2,55.4,47.7,63.3,55.5,47.9,63.4,54.6,46.8,62.7,54.9,47.2,62.9,55.7,48.3,63.4,53.7,46.1,61.7
"Illinois","Franklin County",43,32.9,53.5,44.6,34.4,55.1,43.9,34.2,53.9,45.3,36.2,54.7,45,36.5,53.7,46.2,37.5,55.2,46.7,37.9,55.8,46.5,37.6,55.8,46.7,38.2,55.5,49,40.7,57.6,47.3,39.2,55.8
"Illinois","Fulton County",45,37.5,52.8,46.8,39.3,54.6,46,38.9,53.3,47.7,41.3,54.3,48.3,42.4,54.4,50,43.9,56.2,49.9,43.8,56.2,50.6,44.1,57.3,50.3,44.1,56.8,52.1,46.1,58.4,49.5,43.3,55.9
"Illinois","Gallatin County",40.8,30.4,51.6,42.3,32,53.1,43.1,33.3,53.3,45,36,54.4,45.3,37,53.9,45.3,37,54,46.5,37.9,55.4,48.3,39.5,57.4,49,40.4,57.9,50.7,42.6,59,48.7,40.8,57
"Illinois","Greene County",46,36.2,56.2,47.5,37.8,57.5,46.7,37.7,56,48.2,40.1,56.6,48.5,41.2,56.2,50.2,42.8,57.8,51,43.8,58.5,52.2,45,59.6,51.4,44.4,58.7,52.8,46.3,59.6,50.8,44.3,57.6
"Illinois","Grundy County",58.9,49.1,68.9,59,49.4,69,58.6,49.5,68,59.7,51.2,68.6,60.4,52.4,68.6,61.1,53.2,69.3,60.8,53,68.9,59.9,52,68.1,60,52.8,67.6,61.3,54.6,68.2,59.5,52.4,66.8
"Illinois","Hamilton County",42.3,30.4,54.6,43.8,32,56,43.8,32.7,55.4,45,34.7,55.7,44,34.4,54,46,36.1,56.2,47.1,37.2,57.2,47.6,37.7,57.7,48.3,39.4,57.6,49.6,41.2,58.3,47.8,39.5,56.5
"Illinois","Hancock County",48.2,39.1,57.7,48.6,39.7,57.7,47.6,39.7,55.8,49.1,42.2,56.2,49,42.9,55.2,49.2,43.4,55.2,49.4,44,55.1,49.1,43.6,54.8,48.4,43.4,53.5,50.3,45.8,54.9,48.1,43.6,52.7
"Illinois","Hardin County",39.3,29.3,49.7,40.5,30.4,50.9,39.8,30.5,49.4,41.4,33,50.1,42.5,34.9,50.4,42.5,35.1,50.3,43,35.5,50.8,43.5,35.7,51.7,46.1,38.7,53.7,46,39.1,53.1,44,37.2,50.9
"Illinois","Henderson County",49.1,39,59.6,51.8,42,62,51,41.5,60.8,50.8,42.3,59.7,52.7,44.7,60.9,54.4,46.5,62.6,53.4,44.9,62.2,53.7,45.4,62.2,54.8,47.2,62.6,54.8,47.6,62.3,52.3,45.1,59.7
"Illinois","Henry County",57.4,48.8,66.3,58.5,50,67.3,57.7,49.4,66.2,58.2,50.5,66.1,58.9,51.6,66.3,59.1,51.8,66.7,58.9,51.4,66.7,58.6,50.7,66.7,58.7,51.1,66.6,60.1,52.9,67.6,57.5,50.1,65.2
"Illinois","Illinois",58.9,51.2,66.8,60.1,52.5,68,59.4,52.2,67,60.8,54,67.8,61.6,55.3,68.1,62.3,55.8,69,62.4,56,69.2,62.1,55.4,69.1,62.3,55.8,69,63.1,57.1,69.4,61.1,54.8,67.7
"Illinois","Iroquois County",50.9,40.3,62,52.6,42.1,63.4,51.6,41.6,62,52.8,43.3,62.5,53.5,44.6,62.8,53.2,44.4,62.4,53.3,44.4,62.6,53.6,44.7,62.8,54.1,45.4,63.2,54.8,46.6,63.2,52.6,44,61.4
"Illinois","Jackson County",49.4,43.5,55.6,51.2,44.9,57.7,50,44,56.3,48.8,43.5,54.3,50.6,45.3,56,50.1,44.4,56.1,52.3,45.8,59.1,51.5,44.6,58.7,53.4,46.2,60.9,51.5,44.7,58.5,50.2,43.6,57.1
"Illinois","Jasper County",52,41,63.4,53.3,42.4,64.6,52.3,41.9,63,53.7,44.4,63.3,54.2,45.7,63,55.2,46.7,63.9,55.8,47.5,64.4,55.9,47.6,64.5,56,47.9,64.4,57.8,50.4,65.4,55.5,48,63.3
"Illinois","Jefferson County",41,32.4,49.9,42.5,33.8,51.5,41.9,33.6,50.5,42.8,35.3,50.7,43.6,36.5,51,44.3,37,51.9,44.6,37,52.4,45.1,37.6,52.8,46.2,38.8,53.9,47.9,40.8,55.3,46.1,39.1,53.3
"Illinois","Jersey County",55,45.7,64.6,56.5,47.3,65.9,55.6,47,64.5,58.1,50.6,65.9,58.9,52.1,65.9,59.6,53,66.5,60.4,53.6,67.5,60.8,54.1,67.8,60.6,54.3,67.2,60.9,55.2,66.9,59,53,65.2
"Illinois","Jo Daviess County",68.2,59.3,77.4,69.3,60.9,78.1,69.7,62.1,77.7,70.7,64,77.7,70.8,64.7,77.1,71.3,65.5,77.3,71,65.6,76.7,70.7,65.4,76.1,71.4,66.9,76,71.7,67.9,75.5,68.8,64.8,73.1
