"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Indiana","Adams County",48,38.2,58.3,48.8,38.7,59.3,47,37.2,57.3,47.2,37.6,57,46.6,37.8,55.7,46.7,37.6,56.2,45.6,36.8,54.7,43.1,34.3,52.3,44.2,35.3,53.3,46.3,37.9,55.1,43.9,35,53.2
"Indiana","Allen County",58,49.8,66.4,58.3,50,67,56.9,48.7,65.4,57.6,49.7,65.7,57.9,50.4,65.6,58.4,50.7,66.5,58.3,50.5,66.4,56.8,48.7,65.1,57,49.1,65.2,57.3,50,64.9,56.2,48.4,64.3
"Indiana","Bartholomew County",49.7,41.1,58.7,50.9,41.9,60.3,49.8,40.8,59.1,50.8,42.1,59.8,51.4,43.1,60.1,52.2,43.4,61.3,53,44,62.4,52.8,43.3,62.7,52,42.5,61.7,53.9,44.5,63.7,52.6,43.1,62.3
"Indiana","Benton County",50.8,40,62,51.4,40.8,62.4,50,40,60.4,50.8,41.4,60.5,51.4,43,60.2,52,43.4,61,52,43.4,61,52.1,43.7,60.8,50.8,42.5,59.5,51.8,44,59.8,50.1,42.3,58.3
"Indiana","Blackford County",45.6,35.6,55.9,46.1,36.1,56.5,45.4,35.6,55.4,45.6,36.3,55.3,45.7,36.9,54.8,46.6,37.5,56.1,46.8,38,55.9,45.4,36.4,54.6,45.4,36.7,54.5,47.4,39.1,56,46,37.4,54.9
"Indiana","Boone County",52.3,43.4,61.5,53.8,44.6,63.3,52.9,43.9,62.3,54.6,45.9,63.6,55.1,46.7,63.8,55.9,47,65.1,57,47.8,66.5,56.8,47.3,66.6,57.1,47.6,66.9,58.3,49,67.9,56.5,47.2,66.2
"Indiana","Brown County",49.3,41.3,57.6,50.4,42.2,58.8,49.5,41.8,57.5,50.1,43,57.5,50.5,44,57.3,51.3,44.3,58.6,51.1,44.3,58.2,50.2,43.3,57.4,50.6,43.8,57.6,52.1,45.6,58.9,50,43.4,56.9
"Indiana","Carroll County",44.4,35,54,45.8,36.3,55.6,45.7,36.6,55.3,46.8,37.9,56.1,47.3,38.7,56.2,48.8,39.7,58.2,49.8,40.9,59.1,49.8,40.7,59.3,50.7,41.9,60,52.2,43.8,61,50.6,42,59.5
"Indiana","Cass County",43.5,35.3,52,44.5,36.2,53.1,43.3,35.5,51.4,45.1,37.5,52.9,45.6,38.5,53,46.7,39.3,54.4,47.4,40.1,55,46.2,38.7,54.1,46.4,39.3,53.6,48.5,41.8,55.4,46.4,39.6,53.5
"Indiana","Clark County",48.7,38.5,59.2,50.1,39.8,60.8,48.8,38.8,59.1,50,40.7,59.6,50,41.5,58.8,51.4,42.5,60.6,51.7,42.7,61.1,51.5,42.3,61,51.5,42.6,60.8,52.9,44.3,61.7,51.3,42.5,60.3
"Indiana","Clay County",45,33.7,56.7,46.1,34.6,57.9,44.4,33.3,56,44.6,34,55.6,44.9,34.6,55.5,45,34.3,56.2,45,34.1,56.3,43.5,32.6,54.9,43.4,32.7,54.6,44.3,33.8,55.2,42.2,31.7,53.2
"Indiana","Clinton County",44,35,53.4,45.9,36.7,55.5,45,36,54.4,46.3,37.4,55.5,47.5,39,56.4,49.2,40,58.7,49.4,40.2,58.9,49.7,40,59.7,50.7,40.9,60.8,51.4,41.8,61.3,49.8,40.2,59.8
"Indiana","Crawford County",34.9,24.4,45.7,36.2,25.8,46.9,35,25.5,44.8,35.1,26.6,43.8,35.5,28.1,43.2,36.9,29.6,44.5,37.3,29.9,44.8,36.4,29.5,43.6,36.9,30.4,43.7,37.6,31.9,43.6,36.2,30.6,42
