"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Iowa","Adair County",57.4,48.3,66.9,58,48.8,67.4,56.1,46.8,65.8,56.5,47.2,66.2,56.5,47.7,65.6,55.8,47.1,64.8,56.6,47.7,65.9,56.3,47.8,65.2,55.9,48.2,63.9,56.6,48.8,64.6,55.8,47.8,64.1
"Iowa","Adams County",53.2,44.2,62.5,54.5,45.6,63.9,53.5,44.4,63,54.2,44.9,63.8,54.3,45.4,63.4,55.1,46.5,64.1,55.9,46.7,65.5,57.5,48.7,66.7,57,49,65.4,57.7,49.5,66.2,57,48.5,65.9
"Iowa","Allamakee County",67.3,60,74.9,66.9,59.3,74.7,64.4,56.5,72.5,64.9,56.8,73.4,64.8,57.2,72.8,65,57.1,73.3,64.8,55.9,74.1,63.3,54.2,72.8,63.6,55,72.5,63.7,54.6,73.3,63.9,54.8,73.4
"Iowa","Appanoose County",47.5,39,56.3,49,40.4,57.9,47.6,39,56.5,48.1,39.2,57.3,48.7,40.3,57.5,47.8,39.4,56.5,50.3,41.4,59.6,49.4,40.8,58.3,50.8,43,59,52.2,43.9,60.8,51.1,42.6,60
"Iowa","Audubon County",58.8,50.5,67.3,59.4,50.9,68.1,57.7,48.8,66.9,57.7,48.6,67.1,57.8,49,66.8,57,48,66.4,57.6,48.4,67.2,58.3,49.4,67.6,57.5,49.1,66.3,57.8,49.1,66.8,56.8,47.7,66.2
"Iowa","Benton County",59.3,51.5,67.4,60.2,52.3,68.3,59.3,51.4,67.5,60,51.9,68.4,60.9,53.3,68.7,61.5,54,69.2,62.6,54.7,70.9,62.6,55,70.5,62.3,55.3,69.6,63.7,56.3,71.3,62.9,55.3,70.8
"Iowa","Black Hawk County",62.2,54.7,70.1,63.1,55.5,71,61.3,53.5,69.3,61.7,53.9,69.9,62.3,55.1,69.7,61.9,54.7,69.3,63.5,56.2,71.1,62.9,55.9,70.2,62.2,56,68.6,63.9,57.6,70.5,63.3,57,69.9
"Iowa","Boone County",57.1,49.2,65.2,58.2,50.1,66.7,57,48.4,65.8,57.9,49.3,66.8,58.3,50.2,66.8,58.1,49.9,66.7,59.9,51.6,68.4,60.6,52.8,68.7,60,52.9,67.4,61.4,54.2,68.8,60.6,53.3,68.2
"Iowa","Bremer County",63.6,56,71.6,64.9,57.1,72.9,63.6,55.6,71.9,64.4,56.3,72.9,64.7,57,72.7,65.3,57.6,73.4,66.2,57.8,74.8,66.1,57.9,74.6,65.6,58,73.5,66.7,58.7,74.9,65.9,57.8,74.3
"Iowa","Buchanan County",61,53.1,69.1,62.6,54.6,70.9,61.2,53,69.6,61.9,53.4,70.6,62.5,54.5,70.8,63,54.8,71.5,64.7,56.2,73.6,64.1,55.5,73,63.7,55.7,72,64.9,56.5,73.7,64.3,55.7,73.1
