"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Kansas","Allen County",44.4,35.8,53.2,43.6,35.1,52.4,42,33.3,51,42.4,33.6,51.7,43.8,35,52.9,44.4,35.6,53.4,45.6,36.1,55.5,44.6,35,54.6,43.9,34.9,53.2,43,34,52.4,42.4,33,52.1
"Kansas","Anderson County",47.8,38.6,57.2,46.9,37.7,56.4,45.3,35.9,55.1,46.1,36.5,56.1,47.5,37.9,57.4,48.6,39.2,58.3,49.2,38.9,59.9,48.4,38.3,58.8,48.7,39,58.7,47.8,38,57.9,47.1,36.9,57.5
"Kansas","Atchison County",50.9,41.1,61.1,50.6,40.5,61.1,49.3,38.9,60.2,49.7,38.7,61.1,51.3,40.3,62.7,51.7,40.5,63.3,54,42.6,65.9,53.1,42.1,64.6,53.5,42.8,64.5,53.6,42.4,65.2,53,41.3,65.1
"Kansas","Barber County",47,36.5,57.8,46.1,36.4,56.3,46.3,36.7,56.2,47,37.5,56.7,48.7,39.8,57.9,49.2,40.4,58.3,49.7,40.3,59.4,51.6,42.3,61.2,52,43.1,61.2,52.4,43.9,61.2,51.6,43.6,60
"Kansas","Barton County",48.7,37.6,60.1,47.5,37,58.4,46.9,36.4,57.8,47.4,37,58.1,48.7,39,58.7,49.1,39.8,58.8,49.7,39.8,59.9,49.5,39.8,59.6,50.1,40.9,59.6,48.8,39.8,58.2,48.7,40.1,57.5
"Kansas","Bourbon County",45.4,37.2,53.9,45.4,37.3,53.8,43.5,35.2,52,44.5,36.2,53,45.8,37.7,54.2,46.1,38.4,54,47.4,39.2,56,47.3,39.4,55.5,47.9,40.8,55.3,46,38.8,53.4,45.1,37.5,53
"Kansas","Brown County",46.6,36.7,56.9,47.5,37.6,57.8,46.4,36.4,56.8,47.4,37.1,58,48.8,38.7,59.2,50.4,40.5,60.6,51.3,40.8,62.2,52.1,42.1,62.5,52,42.6,61.7,53.2,43.7,63.1,51.9,41.9,62.2
"Kansas","Butler County",47.7,40.3,55.3,46.3,39.4,53.5,45.7,38.7,53,46.8,39.7,54.1,48.5,41.9,55.3,49.9,43.3,56.7,51.5,44.2,59,51.7,44.7,59,52.1,45.5,58.9,51.7,45.2,58.6,52.1,45.8,58.7
"Kansas","Chase County",46.7,36.6,57.2,46.8,37,56.9,45.2,35.5,55.2,45.5,35.7,55.6,46.2,37.1,55.7,46.6,37.8,55.8,47.6,38.3,57.3,47.3,38.1,56.9,48.7,40.6,57.1,48.2,40.3,56.5,47.5,39.6,55.6
"Kansas","Chautauqua County",39.5,30.9,48.3,39,30.7,47.5,38.2,29.7,47,38.5,29.8,47.5,40,31.5,48.9,41.3,32.6,50.3,42.3,33.4,51.5,40.8,31.8,50.2,41.3,32.4,50.6,40,31.1,49.2,40.7,31.9,49.7
"Kansas","Cherokee County",40.1,31.6,49,40.2,31.3,49.4,39.7,30.2,49.5,40.7,30.7,51,42.1,31.8,52.8,44.4,34.2,55.1,45.4,34.4,56.9,44.6,34,55.7,44.4,33.7,55.5,45.2,34.3,56.4,43.7,32.5,55.3
"Kansas","Cheyenne County",48.3,35.5,61.5,49.2,37,61.9,48.3,36.5,60.5,47.7,35.9,59.9,48.3,36.9,60.2,49.9,38.5,61.7,50.5,39.1,62.3,52.4,40.9,64.4,52.6,41.3,64.3,52.7,41.7,64.1,52.6,41.8,63.8
"Kansas","Clark County",45.1,34.2,56.3,44.2,33.8,54.8,43.4,33,54.1,43.6,33.3,54.2,44.3,34.3,54.7,44.8,34.7,55.2,45.6,34.7,56.9,46.9,35.5,58.7,47.3,36.4,58.7,47.1,36.4,58.2,46.5,36.2,57.1
"Kansas","Clay County",51.7,41.9,61.9,51.5,42,61.4,51.1,41.5,61,52.4,42.6,62.4,53.8,44.6,63.3,54.7,45.6,64.2,55.9,46.4,65.8,57.1,47.8,66.7,57.3,48.8,66.1,57,48.5,65.8,56.3,47.8,65
