"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Kentucky","Adair County",20.4,12.7,28.3,23.9,15.2,32.9,23.8,15.7,32.2,25.7,17.1,34.7,25.1,17.3,33.1,27.5,18.7,36.5,30,20.8,39.7,29.4,20.3,38.9,31.7,22.4,41.3,33.5,23.4,44,32.2,22.3,42.5
"Kentucky","Allen County",22.8,15.5,30.3,25.7,17.6,34.2,25.5,18.1,33.1,27.9,20.2,35.8,26.7,19.9,33.7,28.6,21.1,36.3,30.9,23.5,38.6,29.4,21.6,37.4,30.7,23.3,38.5,33.4,25.3,41.8,33.7,26.3,41.4
"Kentucky","Anderson County",29.5,23.7,35.5,34,28,40.2,33.5,27.8,39.5,37,30.7,43.4,36.5,31.4,41.7,38.8,33.3,44.6,42.1,37.1,47.3,42,36.9,47.4,43.9,39.2,48.8,45.5,40.6,50.7,44.4,39,50.1
"Kentucky","Ballard County",24.4,16.2,32.9,26.8,17.7,36.2,26.1,17.8,34.8,27.4,18.6,36.6,26.1,18.2,34.2,26.7,18.5,35.3,28.7,20.6,37,28.1,20.1,36.5,29.9,22,38,31.8,23.6,40.3,31.2,23.5,39.2
"Kentucky","Barren County",23.4,16.3,30.9,26.7,18.7,34.9,26.6,19.4,34.1,28.7,21.3,36.5,27.8,21.2,34.6,29.6,22.5,37,32.4,25.3,39.8,30.6,23.6,37.8,32.7,25.9,39.8,34.2,26.9,41.8,34.6,27.8,41.7
"Kentucky","Bath County",19.9,11.2,29,23.1,13.6,32.8,22.4,13.9,31.3,24.3,15.1,33.9,23.7,15.5,32.3,24.9,16,34.1,27.5,17.8,37.5,26.4,16.7,36.4,28.1,18.6,37.9,29.7,19.8,39.9,29.3,18.9,40.1
"Kentucky","Bell County",14.8,8.7,21.2,17.6,10.8,24.8,17.4,11.2,23.9,18.4,11.8,25.4,18,12.1,24.1,20.1,13.1,27.3,22,14.5,29.8,20.3,13.4,27.5,22,15.3,29,21.3,14.7,28.1,22.7,15.7,30
"Kentucky","Boone County",43.7,35.5,52.2,48.1,39.8,56.8,47.3,39.4,55.4,50.1,41.6,58.9,49.3,42.3,56.5,51.7,45.3,58.2,56.9,51.2,62.8,55.1,49.1,61.4,56.7,51.3,62.4,58,52.6,63.6,56.5,50.2,63.1
"Kentucky","Bourbon County",29.7,20.5,39.2,33.7,24.2,43.5,32.8,24.1,41.8,35.1,25.8,44.7,34.3,26.4,42.5,36.1,27.6,44.9,40.8,31.7,50.3,39.8,30.5,49.5,42.1,33.6,50.9,42.7,34.4,51.4,41.7,32.6,51.2
"Kentucky","Boyd County",24.7,14.9,34.9,27.8,18,38,26.8,18.7,35.2,29.8,21.4,38.5,29.3,22.3,36.5,30.7,22.7,39,34.9,26.4,43.7,33.6,25.6,41.8,35.3,28,42.9,35.2,27.8,42.8,35.9,27.7,44.4
