"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Louisiana","Acadia Parish",43.7,34.8,52.8,45.8,36.6,55.3,43.2,34.7,52.1,43.8,35.5,52.3,45.2,37.7,52.9,44.9,37.4,52.7,46.9,39.1,55,48.5,40.9,56.3,49,42.4,55.9,49.7,43.1,56.5,48.7,41.1,56.6
"Louisiana","Allen Parish",34.8,27.4,42.4,38,29.8,46.6,36,28.2,44,37.2,29.1,45.7,38.9,31.6,46.3,39.5,32,47.3,41,33,49.3,42,34.3,50.1,43.5,36,51.2,43.5,36,51.3,42.6,34.2,51.4
"Louisiana","Ascension Parish",48.3,38.9,57.9,50.4,40.8,60.4,47.9,38.9,57.2,50.1,41.7,58.9,52.9,45.3,60.8,52.4,44.5,60.7,54.3,46,62.8,56,48,64.4,56.3,48.8,64.1,57.6,49.6,65.8,56.6,47.9,65.6
"Louisiana","Assumption Parish",44.4,35.9,53.3,46.7,37.9,55.7,44,35.9,52.5,45.2,37.5,53.1,48.5,42.2,55.2,48.1,41.8,54.6,49.6,43.1,56.4,52,45.6,58.7,53.2,47.4,59.2,53.6,47.7,59.7,51.8,44.8,59.1
"Louisiana","Avoyelles Parish",40.9,31.4,50.7,43.4,33.1,54,40.7,31.1,50.7,41.1,31.8,50.7,43.4,35,52.2,43.8,35.1,52.8,46,36.6,55.7,46.9,37.9,56.3,48.1,39.1,57.5,47.9,38.6,57.7,46.8,36.6,57.5
"Louisiana","Beauregard Parish",36.1,29,43.4,38.5,30.6,46.6,36.3,28.9,44,37.3,29.8,45.1,38.9,31.9,46.1,38.7,31.7,45.9,40.5,33.3,47.9,41.8,34.8,49,41.9,36,48,42.5,36.6,48.6,40.7,33.8,47.9
"Louisiana","Bienville Parish",32.5,22.9,42.4,34.2,23.9,44.8,32.7,23.2,42.5,33.5,24.2,43.2,34.1,25.4,43,35.1,26.1,44.4,36.9,27,47.2,37.1,27.4,47.2,37.1,28.2,46.3,37.8,28.8,47.1,37.2,27.2,47.5
"Louisiana","Bossier Parish",42.8,33.9,52.1,45,35.5,54.9,42.9,33.9,52.3,43.8,34.5,53.4,45.7,36.8,54.9,45,35.8,54.5,45.9,36.4,55.8,46.7,37.8,56,47,38.8,55.4,47.7,39.4,56.2,46.9,37.6,56.5
"Louisiana","Caddo Parish",41.4,33.5,49.6,44.1,35.5,53.1,42.5,34.2,51.1,43,34.6,51.7,44.1,36.1,52.3,44.4,36,53.2,46.6,37.4,56.1,48.6,39.4,58.1,48.3,39.9,57.1,48.6,40,57.6,47.7,37.9,57.9
"Louisiana","Calcasieu Parish",43.7,35.2,52.5,46,36.8,55.5,44.1,35.2,53.2,44.9,35.9,54.2,46.7,38.6,55.1,46.4,38.3,54.7,48.4,40.4,56.7,50.1,42.9,57.6,50.3,44,56.9,51.1,45,57.3,50.2,43.2,57.4
"Louisiana","Caldwell Parish",31,22.5,39.9,33.3,23.6,43.2,31.1,22.2,40.3,32.2,23.4,41.3,33.2,25.1,41.6,33.9,25.2,43,34.3,25.6,43.3,34.6,25.3,44.2,34.2,25,43.7,35.5,25.8,45.6,34,23.5,44.8
"Louisiana","Cameron Parish",43.6,32.6,55.1,46.3,34.8,58.2,44.9,34,56.3,46.2,35.4,57.3,43.9,34,54.2,45.9,36.2,55.9,49.1,39.7,58.8,49.8,40.9,58.9,51.6,44.3,59.3,51.3,43.9,58.9,49.9,41.4,58.6
"Louisiana","Catahoula Parish",29.6,21.3,38.3,33.1,23.8,42.8,31.4,22.8,40.4,31.3,22.8,40.2,32.7,24.7,41.1,33,24.7,41.7,35.9,26.6,45.6,34.8,25.2,44.8,33.4,24,43.2,33.7,23.6,44.2,33.3,22.6,44.5
"Louisiana","Claiborne Parish",35.8,26.2,45.8,39.6,29.1,50.4,37.6,28,47.5,37.9,28.5,47.6,38.5,29.9,47.5,37.9,29.2,47,38.9,30,48.1,40,30.9,49.5,39,31,47.2,40.7,32.6,49.2,38.6,29.3,48.2
"Louisiana","Concordia Parish",35.2,26.3,44.5,37.5,27.7,47.7,35.1,26.2,44.3,34.8,26.4,43.5,38.2,30.4,46.2,38.1,30.3,46.2,39.9,31.5,48.7,39.8,31.3,48.5,40.1,32.3,48.1,42.4,33.7,51.4,41.2,31.7,51.1
"Louisiana","De Soto Parish",36,26,46.5,38.8,28.3,49.7,37.3,27.6,47.5,35.8,26.7,45.4,38.1,29.3,47.2,38.4,29.4,47.8,39.5,29.9,49.4,40,30.8,49.5,39.8,31.4,48.4,41,32.5,49.8,39.3,29.9,49.1
"Louisiana","East Baton Rouge Parish",51.1,42.3,60.3,53.5,44.3,62.9,50.5,42.1,59.2,51.4,43.4,59.8,53.6,46.2,61.2,54,46.1,62.3,55,46.6,63.7,56.9,48.6,65.5,57.8,49.8,66.2,58.3,49.6,67.3,57.1,47.5,67.1
"Louisiana","East Carroll Parish",29.2,20.3,38.4,33.2,22.9,43.8,30.4,20.8,40.2,30.4,21.4,39.7,32.2,24.1,40.5,34.8,25.7,44.1,33.5,23.9,43.5,34.7,25.3,44.5,36.4,26.9,46.2,36.5,26.8,46.5,35.8,25.3,46.6
"Louisiana","East Feliciana Parish",36.9,26.8,47.4,39.1,28.5,50.2,36.4,26.7,46.6,37.5,28.2,47.1,39.4,30.5,48.6,39.2,29.8,48.9,40.3,30.3,50.7,42.4,31.9,53.3,42.9,32.3,54,43.3,32,55,42.4,30.4,54.8
"Louisiana","Evangeline Parish",40.6,32.4,49.1,43.3,34.3,52.5,40.9,32.5,49.5,41.5,33.4,50,42.6,35.2,50.1,43.8,36,51.9,45.9,37.6,54.4,47.7,39.5,56.3,48.4,40.9,56.1,48.3,40.7,56.3,47.2,38.6,56.1
"Louisiana","Franklin Parish",26.9,17.9,36.2,30.1,20.3,40.3,28,18.8,37.4,27.9,19.1,37,28.7,20.5,37.1,29.5,20.8,38.5,30.9,21.5,40.6,31.3,21.7,41.2,31.3,22,41,31.9,21.8,42.3,30.5,19.8,41.6
"Louisiana","Grant Parish",31.6,23.1,40.3,33.7,24.6,43.2,32.4,23.8,41.3,33.3,24.8,42.1,34.6,26.6,42.8,34.9,26.7,43.4,35.8,27.5,44.5,35.9,27.9,44.3,36.8,29.4,44.5,36.9,29.2,44.9,36.1,27.5,45
"Louisiana","Iberia Parish",45.4,36.5,54.5,47.9,39,57.1,45.4,37.3,53.8,46.9,39.4,54.6,48.8,42.4,55.4,49.7,43.2,56.4,50.5,43.7,57.6,52.3,45.8,59,52.4,46.8,58.2,54.5,49,60.3,53.3,46.8,60.1
"Louisiana","Iberville Parish",42.3,32.6,52.3,44.2,33.9,54.9,40.9,31.4,50.8,41.5,32.5,50.8,43.1,34.7,51.9,44.1,35.2,53.2,43.3,34.6,52.4,45.1,36.2,54.3,45,37,53.3,46,37.5,54.7,45.4,36.2,55
