"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Maine","Androscoggin County",57.1,49.9,64.7,58.6,51.9,65.5,57.4,50.9,64.2,58.3,52.2,64.5,57.7,51.6,63.9,59,52.9,65.2,59.9,54.7,65.3,60.3,54.9,66,61.2,55.8,66.9,60.8,55.4,66.5,60.4,54.9,66.1
"Maine","Aroostook County",50.7,41.1,60.8,52.6,43.3,62.3,51.6,42.3,61.3,52.4,43.6,61.6,52.1,43.4,61.2,53.1,44.6,61.9,54.6,46.8,62.7,55.2,46.9,63.8,56.3,47.6,65.3,55.8,46.6,65.2,55.7,46.8,64.9
"Maine","Cumberland County",67,61.9,72.4,68.2,63.5,73,67,62.3,71.9,67.6,63.4,72.1,67.5,63.2,72,68.5,64.1,73,69,65.4,72.8,69.8,65.9,73.8,70.1,66.2,74.2,69.6,65.5,73.7,69,64.7,73.4
"Maine","Franklin County",59.1,51.3,67.2,60.6,53.4,68,59.2,51.9,66.8,59.5,52.7,66.6,59.7,53,66.6,60.3,53.7,67.1,60.8,54.8,67.1,61.7,55.6,68.1,62.6,56.3,69.3,62.1,55.6,68.8,61.6,54.9,68.5
"Maine","Hancock County",61.6,55.1,68.4,63.2,57,69.6,62,55.7,68.5,62.6,56.9,68.6,62.1,56.4,68.1,63.2,57.4,69.2,64,59,69.3,64.9,59.6,70.5,65.4,59.3,71.6,65.1,58.6,71.9,64.8,58.6,71.3
"Maine","Kennebec County",59,52.1,66.2,60.4,54,67.1,59.1,52.7,65.8,59.8,53.8,66,59.7,53.6,65.9,60.5,54.6,66.7,61.2,55.9,66.6,61.9,56.2,67.9,62.6,56.7,68.7,62.2,56.1,68.6,61.7,55.7,68
"Maine","Knox County",62.6,57.7,67.6,63.7,59.3,68.3,62.4,58,67,62.7,58.6,67,62,57.6,66.5,62.8,58.3,67.4,63,59.4,66.9,63.7,59.7,67.9,64.4,60.1,68.8,64,59.2,68.9,63.9,59.6,68.4
"Maine","Lincoln County",63.9,58.1,69.9,65,59.7,70.6,63.8,58.3,69.4,64.4,59.4,69.6,64,58.9,69.2,64.8,59.8,70,65.4,60.9,70.1,65.5,60.8,70.5,66,61.3,70.9,65.5,60.3,70.8,65.2,60.2,70.3
"Maine","Maine",60.6,53.8,67.5,61.9,55.6,68.4,60.7,54.4,67.2,61.3,55.5,67.4,60.9,55.1,67,61.9,56.1,67.9,62.6,57.4,67.9,63.3,57.9,69,63.8,58.2,69.7,63.5,57.6,69.5,63.1,57.2,69.2
"Maine","Oxford County",58.8,51.6,66.2,60.1,53.7,66.8,58.8,52.3,65.5,59.2,53.3,65.3,58.8,53,64.9,59.9,54.1,65.8,60.4,55.8,65.2,61.1,56.4,65.9,61.2,56.7,66,60.8,56.4,65.4,60.4,55.6,65.4
"Maine","Penobscot County",55.9,48.4,63.7,57.3,50.1,64.7,56,48.8,63.5,56.9,50.3,63.8,56,49.4,62.9,57,50.5,63.6,57.5,51.6,63.6,58.2,52.1,64.6,58.7,52.2,65.5,58.3,51.3,65.7,58.1,51.2,65.2
"Maine","Piscataquis County",54.7,45.2,64.5,56.4,47.6,65.4,55.3,46.7,64.2,55.7,47.5,64.2,55.3,47.3,63.5,55.8,48.1,63.8,56.7,50.1,63.6,57.1,50.2,64.3,57.6,50.5,64.8,57,49.7,64.5,56.9,49.7,64.3
"Maine","Sagadahoc County",64.1,58.2,70.3,65.4,60,71.1,64,58.5,69.8,64.6,59.5,69.9,63.9,58.8,69.2,64.9,59.8,70.3,65.9,61.5,70.4,66.6,61.6,71.8,67.2,62.1,72.4,66.6,61.3,72.2,66.3,61.2,71.7
"Maine","Somerset County",53.5,44.7,62.7,55,46.5,63.9,53.7,45.2,62.5,54.3,46.4,62.5,54,46.1,62.1,54.6,46.9,62.6,55.4,48.2,62.7,55.8,48.3,63.6,56.3,48.4,64.4,56,47.8,64.4,55.9,48,64
"Maine","Waldo County",57.7,51.4,64.3,59.3,53.4,65.4,58,52.1,64.1,58.2,53,63.7,58,52.8,63.4,58.9,53.9,64.1,60.3,55.7,64.9,60.8,55.9,65.9,61.6,56.5,67,61.4,55.8,67.1,60.9,55.6,66.4
"Maine","Washington County",51.7,43.4,60.3,53.7,45.8,61.8,52.7,44.9,60.8,53.3,46,60.9,53.2,45.9,60.7,54.1,47.3,61.2,55.3,48.8,62,56.3,49.4,63.4,57.5,50.2,65,57.4,49.8,65.2,57.2,50,64.8
"Maine","York County",64.6,58,71.4,65.5,59.5,71.9,64.3,57.9,70.9,64.7,58.6,70.9,64.5,58.4,70.9,65.6,59.4,72,65.8,60.1,71.7,66.7,60.8,72.9,66.9,60.7,73.3,66.7,60.5,73.2,66,59.5,72.9
