"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Maryland","Allegany County",48.1,39.4,57.1,49,41.1,57.3,47.1,39,55.5,48.7,41.2,56.5,48.4,40.8,56.2,50,42.4,57.8,49.5,42.2,57.1,49.2,42.1,56.5,49,41.7,56.5,50.8,44.3,57.6,50.6,44.3,57.1
"Maryland","Anne Arundel County",63.6,56.8,70.7,65,58.8,71.4,63.3,56.9,69.9,64.1,58.2,70.2,63.7,57.5,70.2,64.4,58.3,70.7,64.1,58.3,70.1,63.3,57.6,69.1,62.2,56.1,68.4,63.6,58.2,69.1,62.7,57.2,68.5
"Maryland","Baltimore City",52.7,43.2,62.6,54.4,45.5,63.7,52.8,43.9,62,53.7,45.3,62.4,54.6,46.2,63.3,56.3,48.6,64.3,56.9,49.5,64.6,56.3,49.1,63.7,54.4,47.2,61.8,57.1,50.8,63.6,56.5,49.9,63.3
"Maryland","Baltimore County",60.4,53.4,67.7,61.8,55.3,68.6,60.1,53.3,67.1,60.9,54.4,67.6,60.1,53.6,66.8,61.1,55.1,67.4,61,55.2,67.1,60.7,55,66.6,60.1,54.2,66.2,61.5,56.4,66.8,60.6,55.4,66
"Maryland","Calvert County",60.8,51.6,70.3,62.6,54.3,71.3,60.9,52.5,69.6,61.8,54,69.8,61.7,53.8,69.9,62.2,54.7,70.1,62.2,55,69.6,62.1,55.4,69.1,61.6,54.7,68.7,63,56.8,69.5,61.8,55.2,68.7
"Maryland","Caroline County",49.6,39.6,59.9,52,42.5,61.8,49.8,40.4,59.7,50.2,41.3,59.5,50.1,40.7,59.8,50.8,41.6,60.3,50.9,42.1,60.1,49.6,40.9,58.6,48.1,39.3,57.3,50.3,42.3,58.7,48.5,40.5,56.8
"Maryland","Carroll County",59.2,51.3,67.3,60.9,53.7,68.3,59.8,52.6,67.3,60.9,54.4,67.7,60.7,54.4,67.2,61.3,55.2,67.6,60.8,54.9,67,61.5,56,67.2,61.2,55.9,66.7,63.2,58.6,67.9,62.3,57.8,66.9
"Maryland","Cecil County",53.1,45.8,60.6,54.2,47.2,61.4,53,45.4,60.9,53.8,46.1,61.7,54.1,45.9,62.7,54.8,46.7,63.2,55.3,47.3,63.6,54.9,47.1,63.1,53.7,45,62.7,55.5,47.3,64,53.7,45.8,62
"Maryland","Charles County",54.9,47.5,62.5,56.4,49.5,63.5,55.2,48,62.6,56.1,49.5,63,55.5,48.6,62.7,56.7,50,63.7,56.7,50.3,63.3,56.7,50.8,62.8,56.1,49.9,62.4,57.5,51.9,63.2,56.2,50.3,62.3
"Maryland","Dorchester County",50,40.1,60.2,51.1,42.2,60.4,49.8,40.9,58.9,50,41.9,58.4,49.4,41,58,50,41.9,58.5,49.7,42,57.6,48.8,41.5,56.3,47.4,40.3,54.8,48.3,42.2,54.5,47,40.7,53.4
"Maryland","Frederick County",59.9,52,68.1,61,53.7,68.5,59.4,52,67,60.3,53.4,67.3,59.8,52.9,66.9,60.2,53.4,67.3,60.2,53.5,67.2,60.3,53.9,67,60,53.6,66.6,61.5,55.8,67.4,60.8,55,66.7
"Maryland","Garrett County",44.8,34.6,55.3,45.4,36,55.2,42.5,33.2,52.1,43.6,35.1,52.4,45,36,54.3,45.4,36.5,54.7,44.7,35.9,53.8,45.2,36.4,54.4,44.4,35.2,54,47.6,38.9,56.7,46.5,38.3,55
"Maryland","Harford County",59.3,52.6,66.2,60.8,54.7,67.1,59.4,52.9,66.2,60.6,54.2,67.2,60.8,54.3,67.5,61.5,55.6,67.7,61.5,56,67.2,61.9,56.6,67.4,61.1,55.6,66.7,63,58.5,67.6,61.9,57.1,66.7
"Maryland","Howard County",66.9,60.2,73.9,68.2,62,74.7,66.4,59.7,73.4,67.2,60.7,73.9,66.5,59.7,73.5,67.4,60.6,74.5,67.8,60.9,74.9,68.1,61.3,75,67.4,60.3,74.8,68.9,62.2,75.8,68.2,61.3,75.3
"Maryland","Kent County",62.2,55.1,69.6,63.1,56.7,69.8,61.5,54.8,68.5,61.9,55.7,68.4,62.7,56.2,69.6,61.3,55.3,67.5,62,56.3,67.9,59.7,54.5,65.1,59,53.5,64.7,61.3,56.8,66.1,60.2,55.6,65
"Maryland","Maryland",58.4,50.5,66.5,59.7,52.5,67.3,58.1,50.6,65.8,59,51.8,66.4,58.7,51.4,66.3,59.7,52.6,67.1,59.8,52.9,67,59.6,52.9,66.5,58.7,51.8,65.8,60.5,54.3,67,59.7,53.2,66.4
"Maryland","Montgomery County",65.3,58.6,72.3,66.3,60.1,72.7,64.4,57.7,71.3,65.2,58.7,71.9,64.5,57.6,71.6,65.2,58.2,72.5,65,57.9,72.3,64.8,58.1,71.7,63.8,56.9,71,65.8,59.2,72.5,64.8,57.7,72.1
"Maryland","Prince George's County",51,41.7,60.7,52,43.4,61,50.3,41.4,59.6,51.2,42.4,60.3,51,41.9,60.4,52.4,43.5,61.6,52.9,44.2,62,52.7,44.5,61.3,51.8,43.4,60.4,54,46,62.2,53.1,45,61.6
"Maryland","Queen Anne's County",63.6,57.6,69.7,65.6,60.4,71,63.7,58.2,69.3,64.6,59.5,69.8,64.2,58.8,69.8,65.6,60.2,71.2,65.6,60.2,71.2,65.2,59.7,70.9,64.4,58.7,70.2,65.6,60.8,70.5,64.8,59.9,69.9
"Maryland","Somerset County",44.3,35,53.9,47.4,38.7,56.4,46.2,37.7,55,47.6,40,55.6,47.9,40.1,56,48.5,41.1,56.2,48.4,41.4,55.7,48.4,41.9,55,49.5,42.6,56.5,49.4,44,55,47.5,42.1,53.1
"Maryland","St. Mary's County",56.7,47.9,65.7,58.7,50.7,66.9,57.5,49.5,65.7,58.3,50.9,65.9,58.7,51,66.6,59.8,52.4,67.5,60,52.7,67.5,60,53.3,67,59.9,52.7,67.3,61.4,55.1,68,60.6,54,67.4
"Maryland","Talbot County",64.6,56.4,73.1,65,57.7,72.5,63.7,56.4,71.3,64.5,57.9,71.3,64.8,58.1,71.7,64.8,58.4,71.4,64.1,58.5,69.9,62.3,57,67.9,60.8,54.9,66.9,61.8,56.9,66.8,61,55.8,66.4
"Maryland","Washington County",51.5,43.2,60.1,52.4,44.5,60.5,50.9,42.7,59.5,52.1,44.2,60.3,51.3,43,59.9,51.9,43.3,60.7,51.8,43.2,60.8,50.6,41.7,59.8,50.2,40.9,59.8,52.3,43.4,61.5,51.5,42.6,60.7
"Maryland","Wicomico County",51.6,43.5,60,53.8,46.6,61.3,52.3,45.2,59.6,53.1,46.8,59.6,53.7,47.1,60.7,54.6,48.1,61.4,54.6,47.9,61.6,54.9,48.1,61.9,53.5,46.5,60.7,55.1,49.3,61.1,54.3,48.4,60.4
"Maryland","Worcester County",63.9,55.7,72.4,65.4,58.1,73,63.2,55.8,70.8,63.7,57.2,70.4,63.7,56.9,70.8,64.7,58,71.6,63.9,57.1,71,63.4,56.7,70.5,63.3,56.2,70.6,64.4,58.4,70.7,64,57.7,70.4
