"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Massachusetts","Barnstable County",73.6,70.8,76.5,74.3,71.7,77,73.1,70.3,76.1,73.2,70.6,75.9,72.6,69.7,75.7,73.4,70.4,76.5,72.9,70.3,75.6,72.8,70.1,75.7,72.6,69.5,75.8,72.4,69.2,75.6,72.2,69.1,75.3
"Massachusetts","Berkshire County",66.8,61.1,72.8,67.9,62.6,73.3,66.7,61.3,72.2,67.2,62.3,72.4,66.7,61.3,72.3,67.9,62.4,73.7,67.7,62.8,72.8,68.3,63.2,73.7,68.5,63.1,74,68.6,63.3,74,67.8,62.4,73.5
"Massachusetts","Bristol County",62.5,55.3,69.9,63.4,56.7,70.3,62.2,55.3,69.3,62.4,56.1,69,62,55.3,68.9,63.5,56.9,70.3,63.1,57.1,69.3,63.2,57.3,69.4,63.5,57.3,69.9,63.4,57.4,69.6,62.9,56.9,69
"Massachusetts","Dukes County",70.1,63.6,76.9,71.1,65,77.5,69.9,63.6,76.5,70,63.9,76.3,69.2,62.7,76,70.4,64.1,76.9,70.8,65.5,76.3,71.7,66.7,76.8,71.7,66.7,76.9,71.2,66.4,76.1,70.7,66.1,75.5
"Massachusetts","Essex County",66.7,60.7,72.9,67.3,62,72.9,65.6,60.1,71.3,65.5,60.4,70.8,64.9,59.6,70.4,65.9,60.6,71.4,65.8,60.6,71.2,65.6,60.2,71.2,65.8,60.2,71.5,65,59.8,70.3,64.2,59,69.7
"Massachusetts","Franklin County",65.6,58.5,73.1,66.8,60.3,73.6,65.5,59,72.2,65.7,59.8,71.9,65.4,59.3,71.8,66.4,60.3,72.8,66.6,61.3,72.1,67.1,61.7,72.8,67.7,62.3,73.2,67.7,62.6,73.1,67.1,62,72.4
"Massachusetts","Hampden County",60.2,53.3,67.4,61.1,54.7,67.8,59.6,53.2,66.2,59.9,54,66,59.2,53.1,65.6,60.5,54.3,67,60.5,54.8,66.3,60.5,54.6,66.6,60.6,54.5,67,60.7,54.7,66.9,59.6,53.3,66.2
"Massachusetts","Hampshire County",69.2,62.9,75.9,70,64.2,76.1,68.7,62.7,74.9,68.8,63,74.7,68.4,62.3,74.6,69.2,63.1,75.6,69.3,63.5,75.3,69.7,63.6,76,69.7,63.5,76.2,69.5,63.3,75.9,68.9,62.6,75.3
"Massachusetts","Massachusetts",66.5,60.4,72.7,67.2,61.7,73,65.8,60.1,71.6,65.8,60.6,71.3,65.2,59.7,70.8,66.3,60.9,71.9,66.2,61.2,71.4,66.3,61.2,71.5,66.3,61.1,71.8,65.9,60.8,71.2,65.2,60.1,70.6
"Massachusetts","Middlesex County",69.1,63.5,74.9,69.8,64.7,75,68.2,62.9,73.6,68.2,63.3,73.3,67.3,62.2,72.6,68.5,63.5,73.6,68.2,63.5,72.9,68.3,63.7,73.1,68.3,63.6,73.3,67.6,63,72.4,67,62.3,71.8
"Massachusetts","Nantucket County",73.8,69,78.8,74.6,70.2,79.2,73.4,68.9,78.1,73.3,69.4,77.3,72.4,68.5,76.4,73.2,69.5,77,72.6,68.5,76.7,72.3,68.5,76.2,72.7,68.8,76.8,72.3,68.5,76.2,72,68.5,75.6
"Massachusetts","Norfolk County",70.9,65.5,76.5,71.7,66.7,76.8,70.4,65.3,75.6,70.5,65.9,75.2,69.7,64.9,74.6,70.7,66.1,75.4,70.5,66.4,74.7,70.6,66.6,74.8,70.9,66.6,75.3,70.5,66.5,74.7,69.9,65.8,74.1
"Massachusetts","Plymouth County",67,61.5,72.6,67.7,62.7,73,66.5,61.3,71.9,66.7,61.9,71.7,65.9,60.8,71.2,67,62,72.2,66.6,61.9,71.5,66.5,61.7,71.4,66.4,61.4,71.7,65.9,60.8,71.1,65.3,60.2,70.5
"Massachusetts","Suffolk County",61.5,54.8,68.5,62.3,56.1,68.8,60.7,54.5,67.2,60.2,54.5,66.2,59.6,53.7,65.8,60.9,55.2,66.8,61.2,55.7,66.8,61.3,55.9,66.8,60.9,55.4,66.7,60.7,55.5,66.1,60,54.8,65.3
"Massachusetts","Worcester County",63.7,56.7,70.9,64.5,58,71.2,63.1,56.5,69.9,63.4,57.2,69.7,62.8,56.5,69.4,64,57.6,70.6,64.2,58.3,70.3,64.3,58.2,70.7,64.4,58.1,71,64.2,57.9,70.7,63.5,57.3,70
