"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Minnesota","Aitkin County",61.8,57.5,66.3,62.5,58,67.2,60.9,56.2,65.8,60,55,65.2,58.8,54.1,63.7,58.8,53,64.7,59.4,53.7,65.4,58.2,52.6,64,58.2,53.5,63.2,59.3,54.5,64.3,59.1,54.3,64
"Minnesota","Anoka County",65.8,61.2,70.5,66.7,62.1,71.5,65.4,60.5,70.5,65.5,60.2,71,64.3,59.2,69.7,64.2,58.2,70.5,65.9,59.7,72.3,64.8,58.6,71.3,64.6,58.8,70.6,66.1,60.4,72.1,66.3,60.7,72.2
"Minnesota","Becker County",62.8,56.2,69.6,63.2,56.3,70.3,62,54.9,69.5,62.2,55.1,69.5,61.2,54.4,68.2,61.3,53.2,69.7,62.3,54.2,70.6,61.3,52.9,70.1,60.6,52.5,68.9,62.2,53.9,70.8,61.8,53.5,70.4
"Minnesota","Beltrami County",61.8,56.5,67.4,62.2,56.8,67.8,60.1,54.7,65.7,59,53.7,64.5,57.9,53.3,62.7,58.2,52.6,63.9,59.4,54,65,57.9,52.8,63.1,57,52.7,61.4,58,53.9,62.2,57.5,53.5,61.7
"Minnesota","Benton County",66.2,59.8,72.8,66.7,60.2,73.3,65.3,58.8,72.1,64.9,58.3,71.7,64.1,58.1,70.3,63.6,56.9,70.6,64.9,58.4,71.6,63.4,57.1,69.9,63.4,58.2,68.7,64.8,59.9,69.9,64.7,59.7,69.9
"Minnesota","Big Stone County",63.5,54.1,73.3,64.2,54.9,73.9,62.6,53.2,72.4,62,52.6,71.7,60.8,51.9,69.9,60.9,51.5,70.6,61.4,51.9,71.2,62.4,53.2,71.9,61.2,52.6,70.1,60.4,51.7,69.5,60.4,51.5,69.7
"Minnesota","Blue Earth County",66.7,61.6,71.9,67.3,62.1,72.6,65.9,60.5,71.5,65.9,60.2,71.8,64.4,59.1,70,65.6,60,71.3,66.1,60.3,72.1,65.8,60,71.8,65.8,60.9,70.9,66.9,61.8,72.2,66.6,61.3,72
"Minnesota","Brown County",68,61.2,75,68.2,61.3,75.5,67.2,59.8,74.8,67.6,60,75.4,66.7,59.4,74.2,66.4,58.5,74.5,66.9,58.8,75.2,66.7,58.7,75,67.1,59.6,74.9,68.8,61.3,76.7,67.8,60.1,75.9
"Minnesota","Carlton County",62.7,58.5,67,63.6,59.2,68.1,62.2,57.7,66.9,62.3,57.6,67.2,61.7,57.2,66.3,61.8,56.3,67.6,63.3,57.7,69.1,63.2,57.7,68.8,62.4,57.7,67.2,63.2,58.6,68.1,62.6,58,67.5
"Minnesota","Carver County",71.2,65.9,76.6,71.8,66.6,77.3,70.8,65.3,76.5,71.1,65.6,76.8,70.1,65,75.3,70.2,64.9,75.7,71.4,66.3,76.8,71,66.1,76.1,70.8,66.8,75,72.2,68.5,76.1,71.8,67.9,75.9
"Minnesota","Cass County",61.9,57,67.1,62.3,57,67.9,60.9,55.2,66.8,60.1,54.1,66.2,59.2,53.6,65.1,59.1,52.1,66.3,59.1,52,66.5,58.3,51.4,65.6,57.1,50.6,63.8,57.7,50.9,64.6,57.4,50.6,64.4
"Minnesota","Chippewa County",64.2,55.2,73.4,64.3,55.2,73.6,63.5,54.3,73,63.6,54.4,73.1,62.5,53.8,71.6,62.3,53,71.9,63.3,54.2,72.8,63.1,54.1,72.4,63,54.9,71.4,64.1,56,72.5,64,55.8,72.5
"Minnesota","Chisago County",65.1,61.6,68.7,65.5,62,69.1,64.1,60.4,67.9,63.9,60,68,62.4,58.8,66.1,62.2,57.8,66.7,63,58.5,67.6,61.8,57.6,66.2,61.5,58,65,63.1,59.8,66.6,63,59.5,66.7
"Minnesota","Clay County",66,59.4,72.9,67,60.1,74.1,65.4,58.1,73,64.6,57.1,72.5,64.4,57.2,71.9,64.5,55.9,73.4,65.5,56.7,74.7,65.5,56.4,75,64.9,55.9,74.2,65,55.7,74.8,65.4,56.1,75.1
"Minnesota","Clearwater County",56.1,48.9,63.6,56.5,49.3,63.9,54.9,47.7,62.4,54.2,47.3,61.4,53.1,46.8,59.6,52.9,45.7,60.4,53.9,46.9,61.1,51.7,44.9,58.7,51.2,45.2,57.4,52,45.8,58.3,52.6,46.8,58.7
"Minnesota","Cook County",62.7,56.3,69.4,62.7,56.2,69.4,61.2,54.3,68.4,60.1,52.8,67.6,58.4,51.3,65.7,58.4,50,67.1,60.1,51.4,69.1,58.9,49.9,68.1,57.9,49.9,66.3,58,49.8,66.5,57.2,49.3,65.4
"Minnesota","Cottonwood County",60.5,51.8,69.5,60.9,52.3,69.9,59.6,50.8,68.8,59.9,51,69.1,58.8,50.5,67.4,59.6,51.2,68.3,60.1,52,68.5,61.3,53.4,69.4,61,53.9,68.5,61.9,54.8,69.3,60.6,53.3,68.1
"Minnesota","Crow Wing County",66.9,61.4,72.7,67.5,61.8,73.4,66.2,60.2,72.5,66,59.9,72.3,64.7,58.9,70.7,64.7,57.9,71.7,65,58.2,72,63.2,56.4,70.3,63.4,57.3,69.7,64.1,57.8,70.6,63.9,57.5,70.6
"Minnesota","Dakota County",67.8,64,71.8,68.5,64.5,72.7,67.6,63.1,72.3,68.1,63.2,73.2,67.3,62.6,72.2,67.3,62,72.8,69,63.7,74.5,68.5,63.4,73.7,67.8,63.3,72.5,69.5,65,74.2,69.3,64.4,74.3
"Minnesota","Dodge County",64.7,58.5,71.1,65.3,59,71.9,64.3,57.7,71.1,64.4,57.7,71.3,63.8,57.6,70.2,63.6,57.2,70.3,64.6,58,71.5,64,57.7,70.6,63.5,57.8,69.4,64.8,59,70.8,63.9,58,70.1
"Minnesota","Douglas County",69.5,64.1,75.1,70,64.4,75.9,68.3,62.3,74.6,67.5,61.3,73.9,66.5,60.6,72.6,65.7,58.8,72.9,67.1,59.9,74.5,66.1,58.6,73.9,66.3,59.4,73.5,67.1,59.9,74.6,67,59.7,74.5
"Minnesota","Faribault County",62.7,54.5,71.3,63.5,55.2,72.2,62.4,53.8,71.4,62.6,53.7,71.9,62.4,53.9,71.2,62.6,53.9,71.6,63.7,55,72.7,62.6,53.6,71.9,63.5,55.2,72.1,64.4,55.8,73.2,63.9,55.1,73
"Minnesota","Fillmore County",63.1,55.5,71,63.6,55.6,71.8,62.3,53.8,71,62.5,53.5,71.7,62.4,53.9,71.3,61.7,52.7,71,62.3,52.7,72.3,61.7,51.9,71.8,61.8,52.4,71.5,62.9,53,73.1,61.8,51.9,72.2
"Minnesota","Freeborn County",62.2,54.9,69.8,62.7,55,70.7,61.5,53.2,70,61.8,53,70.9,61.2,52.6,70.1,61.1,52,70.6,61.3,51.4,71.6,61.1,51.2,71.3,60.3,50.7,70.3,61.6,51.4,72.1,60.9,50.5,71.5
"Minnesota","Goodhue County",67.6,63.9,71.5,68.2,64.3,72.3,67,62.8,71.4,67.3,62.8,72,66.6,62.6,70.8,66.2,61.9,70.7,67.3,62.8,71.9,67,62.8,71.4,66.3,62.7,70,67.4,63.7,71.3,66.7,62.8,70.8
"Minnesota","Grant County",64.8,56.7,73.2,65,56.6,73.6,63.1,54.5,72,62.8,54.3,71.6,61.6,53.5,69.9,60.5,51.5,69.9,61.7,52.8,70.9,62.1,53.2,71.2,61.7,53.5,70.1,62.6,54.4,71.2,61.8,53.4,70.5
