"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Mississippi","Adams County",45.6,38.5,53,46.9,39.3,54.7,45.8,38.4,53.4,46.1,37.9,54.5,45.4,39.1,52,45.9,38.7,53.5,47.6,41.5,54,47.3,41.4,53.4,47.6,41.9,53.6,49.1,42.7,55.8,48.1,42,54.5
"Mississippi","Alcorn County",26.7,18.2,35.6,28.7,19.9,37.7,28,19.5,36.8,29.2,20.2,38.5,27.5,19.7,35.7,28.6,20,37.5,29.4,20.7,38.5,28.5,19.2,38.2,29.2,20,38.8,32.4,22.2,43.1,31.9,22.4,41.8
"Mississippi","Amite County",31.6,21.5,42,32.8,22.3,43.8,32.3,21.9,43.2,33.7,22.6,45.2,32.1,22.7,41.9,34.2,23.1,45.7,33.6,23.1,44.5,33.6,23,44.5,34.7,23.3,46.6,37.2,24.6,50.3,33.7,22,45.8
"Mississippi","Attala County",32.2,21.8,42.8,33.8,23.5,44.4,32.5,22.5,42.8,34.1,23.6,45.1,33,24.3,42,33.7,24.5,43.3,34.2,25.5,43.3,33.8,24.8,43.1,34.8,26.1,43.8,36.9,27.6,46.4,35.5,26.6,44.7
"Mississippi","Benton County",24.6,14.3,35.3,26.2,15.7,37.1,25.7,15.5,36.2,26.2,15.8,36.9,24.7,16,33.7,25.4,16.3,34.9,25.4,16.5,34.6,24.9,16.6,33.6,26.2,17.9,34.7,28.6,19.8,37.8,27.9,19.5,36.7
"Mississippi","Bolivar County",39.4,29.3,49.9,41.9,31.8,52.3,40.8,31.3,50.6,40.7,30.7,51.1,39,31.2,47.1,40.6,32.5,49,42.8,35.1,50.8,42.8,35.5,50.4,45,38.4,51.8,48,41.9,54.4,45.8,39.6,52.2
"Mississippi","Calhoun County",26.9,17.8,36.3,28.4,19.4,37.9,27.5,18.8,36.6,28.4,19.1,38.1,26.1,18.7,33.7,26.3,18.5,34.5,27.5,19.5,35.8,26.7,18.9,34.8,27.9,20.2,35.9,30.3,22,38.8,29,20.8,37.4
"Mississippi","Carroll County",36.8,26.3,47.6,38.6,28.5,49.1,36.1,26.1,46.5,37,26.7,47.6,35.3,27.4,43.5,36.2,28,44.7,37.9,29.8,46.3,36.7,28.6,45.1,37.7,29.9,45.9,39.8,31.6,48.2,38.5,30.6,46.5
"Mississippi","Chickasaw County",31.1,20.4,42.2,32.5,22,43.4,31,20.7,41.8,31.4,20.5,42.8,29.6,20.6,39,30.3,20.5,40.4,30.3,21,40,28.5,19.6,37.7,30,20.9,39.3,32.6,22.9,42.7,30.7,21.3,40.5
"Mississippi","Choctaw County",28.5,18.4,38.9,30.6,20.6,41,30.2,20.6,40.1,31.1,21,41.4,29.6,21.5,38,30.7,22,39.8,31.6,23.4,40.1,30.6,22.2,39.3,31.9,23.6,40.5,33.7,25,42.7,33.1,24.8,41.7
