"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Missouri","Adair County",47.1,38.2,56.3,47.8,38.9,57.1,46,37.1,55.1,45.8,36.6,55.3,46.5,37.7,55.7,46.2,37.5,55.2,47.4,37.6,57.5,48.9,39.8,58.5,48.7,40,57.7,48.6,39.5,58.1,48.1,38.7,57.8
"Missouri","Andrew County",48.4,39.2,58,48.9,39.7,58.4,48.3,39,57.9,49.5,40,59.4,51,41.9,60.5,52.4,43.5,61.7,53.8,44.6,63.4,54.3,45.3,63.7,55.1,46.7,63.8,56.4,47.9,65.2,55.7,46.8,64.9
"Missouri","Atchison County",50.1,39.9,60.6,50.9,41,61.3,49.3,39.3,59.7,50.2,39.9,60.9,51.7,41.8,62,52.1,42.5,62.2,53.9,43.6,64.7,54.1,43.9,64.8,54.6,45,64.5,55,45.3,65.1,54.7,44.5,65.3
"Missouri","Audrain County",47.8,37.3,58.7,48,37.6,58.9,47.1,36.9,57.7,48.3,38.1,58.8,49.3,39.7,59.2,48.5,39.5,57.8,49.9,40.3,59.8,49,40.3,58.1,49.1,41.3,57.2,50.1,42.6,57.7,48.3,40.4,56.6
"Missouri","Barry County",43.3,37.2,49.7,43,36.4,49.9,41.8,34.3,49.5,42,33.9,50.4,43.2,34.8,51.9,43.2,35.1,51.6,44.3,35.1,53.9,43.8,34.8,53.1,43.5,34.4,52.9,43.5,34.4,53,41.5,31.6,51.7
"Missouri","Barton County",43.8,36,51.9,43.5,35.5,51.8,42.5,34,51.3,43.3,34.5,52.3,44,35.3,53.1,42.5,34,51.2,43.1,33.8,52.8,43.7,34.7,53,43.2,34.6,52.1,43,34.4,51.9,42.5,33.6,51.8
"Missouri","Bates County",43,34.5,51.7,42.2,33.8,51,40.5,32,49.4,41.4,32.7,50.4,42.5,33.8,51.4,43.1,34.6,51.9,44.2,35,53.8,43.7,34.7,53,43.7,35.2,52.5,43.2,34.7,51.9,43.1,34.1,52.6
"Missouri","Benton County",47.1,38.6,56,47.8,39,56.9,46.3,37.1,55.8,45.9,36.4,55.7,47.5,38,57.4,46.9,37.5,56.7,48.2,37.9,58.9,46.4,36.2,57,46,36.3,56.1,46.6,36.8,56.8,45.3,35,55.9
"Missouri","Bollinger County",43.5,32.9,54.5,44.3,33.6,55.4,43.3,32.8,54.3,43.4,32.9,54.3,43.9,33.6,54.5,44.7,35.1,54.7,44.8,33.8,56.2,43.5,33.4,54,43.1,33.5,53.1,43.3,33.9,53,42.2,32,52.7
"Missouri","Boone County",60.6,53.4,68,60.7,53.3,68.3,59.3,51.9,67,58.8,51.1,66.8,60.3,52.9,67.9,60.1,53.2,67.2,60.4,52.7,68.5,60.1,52.7,67.7,59.5,52.7,66.5,59.6,52.9,66.5,58.8,51.5,66.2
"Missouri","Buchanan County",49.1,38.4,60.2,49.2,38.7,60.1,47.7,37.3,58.5,48.6,37.9,59.6,50.1,39.9,60.6,50.6,40.7,60.8,52.3,42.2,62.8,52.2,42.4,62.3,52.7,43.5,62.3,53.1,43.7,62.7,52.2,42.3,62.4
"Missouri","Butler County",40.8,30.6,51.3,41.8,31.9,52.1,41.1,31.5,51.1,42.5,32.9,52.4,42.5,33.3,52.1,43.8,35.2,52.6,45.3,35.5,55.4,44.7,35.9,53.8,45.5,37.4,53.9,44.8,37.3,52.6,43.4,35.1,52.1
"Missouri","Caldwell County",45.5,34.1,57.4,45.9,34.5,57.7,44.1,32.8,55.8,44.6,33.1,56.5,45.5,34.5,57,45.8,35.1,56.9,46.6,35.6,58.1,46.6,36.3,57.3,47.3,37.6,57.5,47.6,37.8,57.9,46.6,36.3,57.4
"Missouri","Callaway County",52.2,43.2,61.6,53,44,62.3,51.8,43,60.9,52.8,44.2,61.8,53.4,45.1,62,53.8,46.3,61.6,55.1,47,63.5,55,47.4,62.9,53.9,46.9,61.1,53.9,47.3,60.8,52.7,45.5,60.2
"Missouri","Camden County",53.7,46.4,61.2,53.8,46.4,61.5,52.2,44.7,60,52.5,45,60.4,53,45.7,60.6,52.7,45.9,59.7,53.5,45.9,61.3,50.8,43.5,58.4,49.6,42.7,56.8,48.6,41.7,55.8,47.9,40.4,55.5
"Missouri","Cape Girardeau County",54.4,44.8,64.3,54.8,45.3,64.6,53.5,44.2,63.2,53.5,44.4,63,54.3,45.7,63.2,55.3,47.7,63.2,55.6,46.7,64.9,54.7,46.6,63.2,54.1,46.7,61.9,53.4,46,61,52.5,44.2,61.1
"Missouri","Carroll County",47.1,37.6,57.1,47.3,37.7,57.3,45.9,36.3,56,46.2,36.3,56.4,47.4,37.7,57.3,47.7,38.4,57.3,48.5,39.1,58.2,48.1,39.4,57.1,47.8,39.6,56.3,49,40.8,57.5,47.7,39,56.8
"Missouri","Carter County",37.8,27.7,48.3,38.7,28.6,49.2,38.3,28.3,48.7,37.5,27.6,47.9,38.9,29.2,49,39.6,30.5,49.1,40.5,30,51.3,40,30.3,50,40,31.3,49,39.5,31.1,48.1,38.2,29.3,47.4
"Missouri","Cass County",53.2,46.1,60.6,52.4,45.1,59.9,50.5,43.1,58.2,51.4,43.7,59.3,52.7,45.1,60.7,53.2,45.5,61.2,54.7,46.5,63.3,54,46,62.3,54.1,46.7,61.8,53.7,46.2,61.5,53.7,45.6,62.1
"Missouri","Cedar County",42.6,35,50.4,42.3,34.9,50,41.2,33.8,48.9,41.5,34.1,49,42.3,35.3,49.7,43.1,36.8,49.7,43.4,35.7,51.3,42.7,35.4,50.3,43.2,36.2,50.5,41,34.1,48.2,41.3,34,48.8
"Missouri","Chariton County",49.5,39.4,60,50.8,40.8,61.3,49.4,39.3,59.8,50.5,40.2,61.1,51.9,41.9,62.3,52.2,42.6,62.2,52.8,42.7,63.3,52.6,43,62.5,52.5,43.8,61.5,52.8,44,61.8,52.4,43.1,62
"Missouri","Christian County",48.5,40.7,56.6,48.7,40.7,57.1,47.9,39.5,56.7,49.2,40.5,58.3,49.9,41.2,59,50.4,42.2,59,51.8,42.4,61.5,50.9,41.9,60.2,50.8,42.1,59.8,50.8,42.2,59.6,50.1,41.1,59.3
"Missouri","Clark County",43.8,34.4,53.6,44.6,35.1,54.5,43.7,34.1,53.7,44.7,34.7,54.9,46.1,36.4,56.2,46.6,37.1,56.6,47.4,37.2,58,45.7,35.6,56.2,46.1,36.4,56.1,48.1,37.9,58.6,47.3,36.8,58.1
