"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Montana","Beaverhead County",59.4,53.4,65.7,61.4,55.2,67.8,60.3,54.2,66.6,60.4,54.6,66.5,60.5,55.2,66.1,61,55.5,66.7,62.2,57,67.5,62,57.1,67.1,61,56.7,65.5,61.8,57.8,65.9,61,56.5,65.5
"Montana","Big Horn County",46.5,39,54.2,47.4,39.2,55.9,45.8,37.4,54.6,44.6,36,53.5,44.4,36,53.2,45,36,54.3,46.6,37,56.5,46.9,37.3,56.8,46.1,36.9,55.7,46.4,37.4,55.8,46.1,36.8,55.6
"Montana","Blaine County",49.3,38.4,60.6,51.2,40,62.7,50.5,39.5,62,49.7,39,60.8,50.8,40.5,61.5,52.8,42,63.9,53.9,43.6,64.5,53.7,44.2,63.5,54.1,45.5,62.9,56.2,47.7,65.1,55.5,46.5,64.9
"Montana","Broadwater County",56.2,50.1,62.5,58,51.7,64.5,56.9,50.7,63.4,57.6,51.4,64,58.4,52.6,64.3,59.4,53.4,65.6,60.1,54.4,66,61,55.2,66.9,61,55.6,66.6,61.2,56,66.6,61,55.3,67
"Montana","Carbon County",66.6,59.1,74.4,67.8,60.2,75.7,67.5,59.7,75.6,66.2,58.5,74.2,66.4,59.2,73.8,67.7,60.5,75.2,68.7,62.2,75.5,68.3,62.3,74.5,67.2,61.7,72.9,67.9,62.7,73.4,66.9,61.5,72.6
"Montana","Carter County",58.2,51.2,65.5,59.3,51.9,67,57.9,50.1,66,56.9,48.9,65.2,56.6,48.6,65,56.5,48.1,65.3,56.6,49.2,64.3,52.9,46.5,59.6,53.2,47.5,59.2,54.2,48.8,59.9,53.2,47.5,59
"Montana","Cascade County",62.9,56.6,69.4,63.4,57,69.9,61.8,55.4,68.4,62,55.6,68.6,62.2,56.3,68.4,62.5,56.2,68.9,62.6,56.3,69,61.9,56.2,67.8,62.3,57,67.7,62,57.3,66.9,60.5,55.4,65.8
"Montana","Chouteau County",61,52.2,70.2,61.2,52.4,70.3,59.8,50.8,69.1,59,50.1,68.2,58.3,50,66.9,59.5,50.9,68.4,60.3,52.1,68.8,59.8,52.3,67.7,60.4,53.3,67.8,61.3,54.4,68.4,60.5,53.2,68.1
"Montana","Custer County",60.3,52.3,68.7,61.2,53.2,69.6,59.7,51.7,68,59.3,51.4,67.6,59,51.7,66.7,60.5,53.1,68.2,59.3,52.7,66.1,60.3,54.5,66.3,59.7,54.7,64.8,60.4,55.9,64.9,58.9,54.4,63.5
"Montana","Daniels County",60.9,52.8,69.3,60.6,52.4,69.1,57.2,48.7,66.1,54.6,46.1,63.4,52.6,44.3,61.1,51.2,42.9,59.7,49.3,41.1,57.8,46.3,38.3,54.6,45.2,37.8,52.8,44.8,37.9,52,43.9,36.9,51.3
"Montana","Dawson County",59.4,52.3,66.9,60.1,52.8,67.6,58.4,50.9,66.2,57.2,49.6,65.1,57.6,50.3,65.2,57.7,50.4,65.3,57.8,51.2,64.7,58,52.2,64,57.7,52.5,63.1,57.9,53.2,62.7,56.8,52,61.8
"Montana","Deer Lodge County",59.5,52.9,66.2,61,54.5,67.7,58.8,52.7,65.1,58.9,53.3,64.7,60,55,65.2,60.1,55.3,65.1,61.9,57.1,66.9,63,59,67.2,63,59.9,66.3,64.6,61.9,67.5,62.8,59.6,66.1
"Montana","Fallon County",60.1,49.9,70.6,58.9,49,69.2,58,48.1,68.2,60.8,50.7,71.3,59.1,49.7,68.8,60,50.7,69.7,61.2,53.1,69.6,61.9,54.5,69.6,62,55.3,69.1,63.1,56.7,69.6,61.9,55.4,68.6
"Montana","Fergus County",61.3,52,71,62.5,53.4,72,61.3,52.3,70.7,60.9,52.2,70,61,52.9,69.4,61.1,53.2,69.3,62.9,55.6,70.5,61.3,54.5,68.3,62.2,56.2,68.5,62.7,57.2,68.3,61.5,55.8,67.5
"Montana","Flathead County",63.7,57.8,69.7,64.6,58.8,70.8,63.2,57.4,69.2,63.5,57.8,69.4,64.6,59.2,70.2,64.3,58.8,69.9,64.8,59.4,70.5,64.8,59.8,70,64.6,60.4,69,65.6,61.8,69.5,64,59.5,68.7
"Montana","Gallatin County",70.2,64.6,76.1,70.6,64.8,76.5,69.2,63.4,75.2,69,63.3,75,69.4,63.9,75.1,69.2,63.6,75,69.8,64.4,75.5,68.8,63.6,74.2,68.9,64.1,73.9,69.1,64.5,73.9,67.9,62.9,73.2
"Montana","Garfield County",58.3,50.8,66.2,60.9,53.1,69,59.9,52.1,68,58.9,51.3,66.8,58.9,51.9,66.2,60.4,53.3,67.6,60.1,53.3,67.2,59.7,54.1,65.4,58.8,53.6,64.2,59,54.1,64,59.3,54.1,64.8
"Montana","Glacier County",47.9,42,53.9,50.2,43.7,56.8,48.9,42.7,55.4,48.9,42.7,55.3,49.5,43.6,55.5,51.2,44.9,57.7,52.3,45.7,59.2,51.5,45.6,57.6,52.7,46.8,58.8,52.6,47,58.5,52.1,45.7,58.7
"Montana","Golden Valley County",59.2,53.3,65.3,61.2,54.8,67.9,60.3,53.7,67.1,60.4,53.8,67.3,60.5,54.2,67.1,61.4,55,68,62.5,55.8,69.4,62.3,55.2,69.7,63.4,57.2,69.8,62.8,57,68.8,63.4,57.3,69.7
"Montana","Granite County",63.1,56,70.4,64.3,57,71.8,63.1,55.7,70.8,63.1,55.6,70.9,63.2,56.1,70.6,64,56.3,71.9,65.2,57.8,72.9,64.2,57.4,71.2,65.3,59.3,71.5,65.7,60.2,71.5,64.1,57.4,71
"Montana","Hill County",59.1,51.3,67.2,59.6,51.8,67.7,58,50,66.3,58.3,50.2,66.6,57.9,50.3,65.7,58.2,50.3,66.3,58.8,51,66.8,58.8,51.8,66.1,58.7,52.2,65.5,58.4,52,65,58.2,51.2,65.5
"Montana","Jefferson County",65.9,60.8,71.2,67,61.7,72.6,65.6,60.2,71.2,66.3,60.8,72,66.1,60.9,71.4,66.6,61.2,72.2,67.9,62.4,73.6,68.4,62.6,74.4,68,62.5,73.7,68.7,63.3,74.3,68.1,62.2,74.2
"Montana","Judith Basin County",65.4,59,72,66.8,60.3,73.4,66.2,59.7,73,65.5,59,72.1,66,60,72.3,66.8,60.6,73.3,67.6,61.9,73.4,67.2,62.3,72.4,67.8,63.3,72.5,68,63.9,72.3,67.7,63.1,72.4
"Montana","Lake County",58.1,51.1,65.3,59.9,52.9,67.3,58.5,51.3,65.8,59.7,52.4,67.2,59.5,52.7,66.5,59.5,52.7,66.6,60,53.4,66.9,61.1,55.4,66.9,60.8,55.7,66,60.5,56.2,65,59.2,54,64.7
"Montana","Lewis and Clark County",65.1,59.3,71.1,65.7,59.8,71.8,64.1,58.2,70.3,64.2,58.2,70.4,64.9,59.1,70.9,65.2,59.1,71.6,65.7,59.7,71.8,65.9,60,72,65.4,59.8,71.1,65.8,60.4,71.3,65.1,59.2,71.2
