"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Nebraska","Adams County",56,48.2,64.1,56.9,49.5,64.5,57.2,49.8,64.9,57.7,49.8,65.8,58.3,50.9,66.1,58.5,50.8,66.5,60,51.7,68.5,61,52.9,69.4,61.7,53.8,69.9,62.4,54.7,70.3,61.4,53.7,69.4
"Nebraska","Antelope County",57.8,48.6,67.3,58.8,49.8,68.1,58,48.8,67.6,58.7,49.4,68.3,58.2,49.3,67.5,57.3,47.8,67.2,58.9,49.1,69,60.6,50.7,70.7,60.6,51.1,70.5,61,51.3,71.1,60,50.2,70.3
"Nebraska","Arthur County",54.2,44.2,64.6,54.9,45,65.1,55,45,65.3,54.7,44.5,65.2,54.7,44.8,64.9,54.9,44.3,65.8,55.9,44.4,67.8,56,44.8,67.7,55.3,45.2,65.9,56.5,46.3,67.2,54.8,44.5,65.5
"Nebraska","Banner County",52.7,41.8,64,55.4,44.7,66.5,54.2,43.3,65.5,54,43.4,64.9,54.3,44.6,64.3,53.8,43.3,64.5,54.1,43.6,64.9,53.9,43.1,65.1,54.2,44,64.8,54.9,44.4,65.7,53.2,42.8,64.1
"Nebraska","Blaine County",46.5,37.5,55.8,48.2,39.3,57.5,48.4,39.4,57.7,47.7,38.6,57.2,48.7,39.9,57.7,48.3,38.9,58,49.6,40.1,59.4,50.3,40.1,60.8,51.9,42.9,61.3,52.7,43.7,62,51.3,42.3,60.6
"Nebraska","Boone County",61.9,52.3,71.8,63.1,53.7,72.8,62.7,53.1,72.7,62,52.1,72.3,62.5,52.9,72.5,62.3,52.1,72.9,63,52.5,73.9,63.8,53.3,74.8,64.2,53.7,75.1,63.6,52.7,74.9,63.1,52,74.5
"Nebraska","Box Butte County",55.2,46.1,64.7,56.6,47.5,66.1,56.9,47.7,66.3,57.1,48.5,66.1,57.9,50.3,65.9,57.1,48.8,65.7,58.6,51,66.4,59.1,51.6,66.9,59,52.1,66.1,59.3,52.2,66.7,58.6,51.5,66
"Nebraska","Boyd County",61.5,51.3,72.1,62.5,52.6,72.7,61.6,51.8,71.8,60,49.9,70.4,58.1,48.6,67.9,57.4,47.5,67.6,58.2,48.1,68.8,59,48.6,69.7,59.5,49.6,69.8,60.1,50.3,70.3,58.6,48.5,69
"Nebraska","Brown County",55.4,45.2,65.9,57.3,47.5,67.5,57.1,47.2,67.3,56.5,46.6,66.8,56.5,47,66.3,57.4,47.5,67.6,58.8,49,68.9,58.6,48.9,68.6,59.1,49.9,68.6,58.7,49.6,68.2,57.8,48.5,67.4
"Nebraska","Buffalo County",59.3,50.7,68.1,60.2,52.1,68.5,60,51.8,68.5,60.5,52.1,69.2,61.2,53,69.6,61.5,53.1,70.1,62.2,53.5,71.2,62.7,53.7,71.9,64,55.5,72.7,64.9,56.6,73.6,63.8,55.4,72.6
