"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Nevada","Carson City",67,62.4,71.7,67.3,62.5,72.3,66.5,61.7,71.6,66.6,61.7,71.7,66.6,61.6,71.8,66.3,60.8,72,66.4,60.8,72.1,64.7,59.1,70.4,64.7,59.8,69.7,65.9,60.9,71,63.2,56.5,70.1
"Nevada","Churchill County",59.3,52.1,66.6,59.8,52.4,67.4,58.4,51,66.1,58,50.7,65.5,58.5,51.2,66.1,57.9,49.9,66.2,57.7,49.5,66.2,56.9,48.8,65.3,57.1,49.9,64.6,58.1,50.9,65.5,55.1,46.9,63.6
"Nevada","Clark County",60.1,54.6,65.7,60,54.1,66.1,58.2,51.9,64.6,58.8,52.7,65.2,58.6,52.4,65,58.3,51.2,65.6,58.1,51,65.5,57.2,50.1,64.6,56.7,50.6,63.1,56.8,50.9,62.9,54.4,47.9,61.1
"Nevada","Douglas County",73.1,69,77.3,73,68.5,77.6,72,67.3,76.9,72.6,67.7,77.8,72,66.9,77.2,71.7,66,77.5,71,65.2,77.1,69.4,63.5,75.6,69.9,64.3,75.7,70.4,64.6,76.4,68.1,60.7,75.9
"Nevada","Elko County",58.8,50.7,67.3,58.5,50.1,67.2,56.9,48.4,65.7,57.1,48.7,65.7,56.8,48.5,65.4,56.4,47.4,65.6,56.4,47.4,65.7,55.6,46.7,64.8,55.3,46.8,64.1,54.7,46.3,63.3,53,43.9,62.4
"Nevada","Esmeralda County",56.4,45.5,67.8,58.9,48.1,70,58.7,48.3,69.5,60,50.8,69.5,61.7,53.2,70.6,63.4,55.1,72,64.7,56.4,73.4,64.4,57.2,71.9,67,60.1,74.1,66.9,60.6,73.4,65.8,58.3,73.6
"Nevada","Eureka County",57.9,50.1,66.1,57.9,49.8,66.3,56.9,48.7,65.4,56.7,48.7,65,56.8,48.9,65.1,58.1,49.3,67.1,57.7,49.7,66,57.2,49.9,64.7,59.1,53.3,65,59.5,54,65.2,57.8,51.4,64.5
"Nevada","Humboldt County",61,54.2,68.1,61.8,54.8,69.1,59.5,52.9,66.4,59.7,53.3,66.4,60.2,54,66.5,60,53.5,66.8,59.9,53.2,66.9,59,52.7,65.5,59.7,54.2,65.4,60,54.8,65.3,57.7,51.6,64
"Nevada","Lander County",52.3,42.2,62.8,51.8,41.9,62.1,51.8,42,61.9,51.5,42.2,61.1,52.6,43.5,62.1,50.8,41.6,60.3,51.9,43.3,60.8,51.6,43.9,59.6,51.7,44.8,58.9,52,45.3,58.8,49.8,42.3,57.6
"Nevada","Lincoln County",37.3,28.9,46.1,38.5,29.9,47.3,37.9,29.4,46.6,38.2,30.5,46.3,39.8,32.1,47.7,39.5,31.8,47.6,39.5,31.7,47.6,40,32.7,47.5,41.1,34.4,47.9,41.8,35.3,48.5,39.5,32.5,46.8
"Nevada","Lyon County",61.6,54.6,68.9,62.4,55.3,69.9,61.8,54.6,69.3,63.2,55.9,70.7,63.3,56.2,70.7,63.3,55.7,71.1,63.5,56,71.3,62.8,55.1,70.9,63.5,56.6,70.7,64.4,57.7,71.3,61.1,52.8,69.6
"Nevada","Mineral County",54.4,44.1,65,55.1,44.8,65.7,52.8,43,62.9,53.6,44.2,63.5,53.9,44.7,63.5,54.7,45.2,64.6,55.2,46,64.9,54.1,45.7,62.9,56.6,48.3,65.1,57.2,49.2,65.4,55.1,46,64.6
"Nevada","Nevada",61.7,56.2,67.4,61.7,55.9,67.7,60.1,54,66.4,60.6,54.6,66.8,60.4,54.4,66.6,60.2,53.4,67.2,59.9,53.1,66.9,58.9,52.2,65.9,58.6,52.8,64.6,59,53.5,64.7,56.3,50.1,62.8
"Nevada","Nye County",58.3,51.2,65.6,59.1,51.8,66.7,58.3,51,65.9,58.3,51.3,65.6,58.8,51.9,65.9,58.7,51.1,66.5,58.3,51.3,65.5,58.4,51.8,65.3,57.8,52.4,63.4,59.7,54.5,65.1,56.7,50.6,63
"Nevada","Pershing County",59.6,53.1,66.2,61.2,54.2,68.6,59.9,52.7,67.4,59.4,52.2,66.8,59.6,52.3,67.1,59.3,51.5,67.5,58.6,50.8,66.7,57.8,50.5,65.3,58,51,65.2,58.4,51.4,65.7,55.7,47.6,64
"Nevada","Storey County",72.1,67,77.4,72.4,67.2,77.9,71.6,66.3,77.1,72,66.7,77.6,72.2,67.1,77.6,72.6,67,78.4,72.7,67.4,78.3,71,66,76.2,71.8,67.2,76.6,73,68.4,77.7,70.6,64.6,76.8
"Nevada","Washoe County",67.9,62.8,73.2,67.9,62.7,73.3,66.7,61.6,72,66.9,62,72.1,67,62.3,71.9,67.2,62.1,72.6,66.4,61.3,71.6,65.3,60.6,70.2,65.3,61.7,69,67,63.6,70.5,63.1,58.7,67.7
"Nevada","White Pine County",49.4,42.4,56.8,50,42.8,57.4,48.7,41.7,55.9,48.8,42.3,55.6,49.2,43,55.7,49.8,43,56.8,49.2,43.1,55.4,48.7,43.1,54.5,48.9,44.3,53.6,48.8,44.7,53.1,46.7,42.1,51.6
