"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"New Jersey","Atlantic County",58.9,51.7,66.4,60.1,53.4,67.1,58.9,52.3,65.8,59.4,53.5,65.5,58.3,52.3,64.5,58.5,52.4,64.8,58.5,53.3,63.9,58.9,53.3,64.6,58.2,52.7,63.9,59.5,54.3,64.8,57.8,51.7,64.2
"New Jersey","Bergen County",66.4,59.9,73.2,67.5,61.4,73.9,66.4,60.3,72.7,66.6,61.1,72.3,65.5,59.6,71.6,66.1,59.9,72.5,66.1,60.6,71.8,66.8,60.8,73,67,60.9,73.3,68.1,62,74.3,66.8,60.2,73.6
"New Jersey","Burlington County",62.2,55.6,69,63.3,57.1,69.8,62.1,56,68.4,62.5,57,68.2,61.4,55.7,67.3,62.1,56.3,68.1,62.2,57,67.5,63.1,57.7,68.7,63,57.8,68.4,64.1,59.3,69,62.4,56.5,68.4
"New Jersey","Camden County",59.3,51.6,67.3,60.3,53,67.9,58.9,51.9,66.3,59.1,52.8,65.6,58.2,51.9,64.8,58.8,52.4,65.5,59,53.2,65,59.8,53.7,66.1,59.6,53.7,65.8,60.6,55.1,66.2,59.3,53.1,65.7
"New Jersey","Cape May County",67.7,61.9,73.8,68.6,63.2,74.2,67.3,61.9,72.9,67.2,62.4,72.2,65.8,61,70.9,66.1,61.3,71.1,65.4,61.1,69.8,65.7,61.1,70.5,64.9,60.4,69.5,65.6,61.4,69.9,64.4,59.6,69.3
"New Jersey","Cumberland County",48.4,40.5,56.6,49.7,42.2,57.5,48.6,41.4,56.2,49,42.3,55.9,48,41.1,55.1,48.4,41.3,55.7,48.9,42.3,55.7,49.3,42.4,56.6,48.8,42.1,55.8,50.2,43.8,56.8,48.6,41.3,56.2
"New Jersey","Essex County",55.2,46.9,63.7,56.7,48.8,64.8,55.6,47.9,63.5,55.9,49,63,54.8,47.9,62,55.8,48.6,63.2,55.8,49.5,62.3,57.1,50.5,64,57.3,50.7,64.1,58.8,52.4,65.5,58.2,51.4,65.2
"New Jersey","Gloucester County",61.9,55.7,68.4,62.9,57.2,68.8,61.6,56.2,67.2,61.8,57.1,66.7,60.8,56.2,65.6,61.1,56.5,65.9,61.2,57.1,65.4,61.7,57.4,66.2,61.5,57.5,65.7,62.6,58.9,66.3,61.3,56.7,65.9
"New Jersey","Hudson County",52.9,43.5,62.6,54.5,45.5,63.9,53.6,44.7,62.7,53.8,45.7,62.2,53,44.7,61.7,54,45.4,63,54,46.2,62,55.1,46.8,63.6,55.1,46.9,63.7,56.6,48.5,65.1,55.4,46.8,64.4
"New Jersey","Hunterdon County",69.6,63,76.4,70.7,64.7,77,69.8,64,75.9,70.3,65.1,75.6,69.5,64.4,74.8,70.1,65,75.3,70,65.7,74.5,71,66.8,75.3,71.1,67.2,75.2,72,68.7,75.5,70.9,67,74.9
