"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"New Mexico","Bernalillo County",61.3,53.6,69.1,61.3,54,68.9,59.2,51.4,67.3,59.7,52.4,67.2,58.3,51.3,65.6,57.8,50.1,65.9,57.3,49.9,65,57.6,50.6,64.7,57.5,51.6,63.7,56.9,51,63.1,53.7,47.2,60.4
"New Mexico","Catron County",46.2,39.5,53.2,49.2,42.1,56.6,48.5,41.1,56.1,48,41.4,54.9,49,42.4,55.9,49.4,42.3,56.8,49.8,43.3,56.5,50.4,43.6,57.3,49.6,42.8,56.7,51,43.9,58.5,46.3,39,53.8
"New Mexico","Chaves County",49.8,38.6,61.4,50.3,39.4,61.5,48.3,37.4,59.7,48.2,38.3,58.5,47.3,38.1,56.8,47.6,38.2,57.3,46.7,38.3,55.3,47.3,39,55.8,46.5,39.5,53.8,47.3,40.2,54.6,43.7,36.4,51.3
"New Mexico","Cibola County",42.6,32.5,53.2,43.9,33.9,54.3,42.1,32.1,52.5,42.1,32.8,51.7,41.1,32.2,50.3,41.1,31.7,50.9,41,31.7,50.5,41.1,32.3,50.3,41.2,33.1,49.6,41.4,33.2,49.9,38.4,30,47
"New Mexico","Colfax County",57.3,48.2,66.7,57.6,48.6,66.9,55.5,46.2,65.1,54.8,46.2,63.8,53.6,45.2,62.4,53.5,44.7,62.6,53.5,45.2,62.1,53.5,45.1,62.2,52.5,44.9,60.4,52.2,44.7,59.9,49.3,41.3,57.6
"New Mexico","Curry County",45.9,33.7,58.6,46.3,34.4,58.6,44.8,32.7,57.4,44.6,33.4,56.1,43.5,33.1,54.3,44.3,33.7,55.2,44,34.4,53.9,44.5,35.6,53.8,43.8,35.9,52,44.5,36.4,53,41,32.9,49.4
"New Mexico","De Baca County",48.5,38.2,59.3,48.7,38.1,59.7,46.1,35.5,57.2,44.6,34.9,54.7,42.2,33.1,51.7,42.3,32.9,52.1,40,31.6,48.7,37.2,29.4,45.4,38.2,30.7,46,36.4,29.1,44,33.3,26.1,40.9
"New Mexico","Dona Ana County",54.5,44.8,64.6,54.8,45.6,64.3,53.2,44,62.8,52.4,44.5,60.6,52.8,45.2,60.7,52.7,44.8,60.9,52.5,45.3,60,52.4,45.6,59.4,52,46.2,58.1,51.2,45.6,56.9,48,42.1,54
"New Mexico","Eddy County",48.2,35.7,61.1,48.4,36.5,60.7,46.3,34.6,58.5,45.5,35.4,55.9,45.5,36.3,55.1,45.6,36.9,54.6,45.1,37.5,52.9,46.2,38.8,53.8,44.4,38.7,50.4,44.9,39.4,50.6,41.4,36.1,46.8
"New Mexico","Grant County",53.5,41.5,66,55,43.4,67,54.1,42.5,66,54.4,44.1,65.2,54.8,44.8,65.2,54.6,44.4,65.2,54.5,44.9,64.6,55.2,45.2,65.6,55.1,45.8,64.6,55.3,46.2,64.7,51.2,41.8,60.9
"New Mexico","Guadalupe County",50.7,38.9,63,51.5,39.8,63.6,49.8,37.8,62.2,48.4,37.2,59.9,48.1,37.4,59.2,46.9,36.1,58.2,47.7,37.8,57.9,46.6,37.3,56.2,48.2,39,57.7,47.8,38.7,57.3,44,34.5,53.9
"New Mexico","Harding County",55.4,46.9,64.2,55.7,47.2,64.4,53,44.1,62.3,51.6,43.3,60.1,49.7,41.4,58.3,50.1,41,59.5,47.9,38.1,58.1,47.3,38.3,56.7,48.4,40.4,56.7,47.9,40,56.1,44.3,36.2,52.7
"New Mexico","Hidalgo County",48.7,35.7,62.2,49.6,36.7,62.9,47.3,34.5,60.5,45.9,34.4,57.9,45.8,34.6,57.5,46.4,34.6,58.6,46.9,35.3,59,46.3,35,58.1,45.7,35.4,56.3,46.3,36,57,43.8,33.2,54.7
"New Mexico","Lea County",42.9,30.1,56.2,43.5,31.2,56.2,41.9,29.7,54.6,42.8,31.5,54.6,41.4,31.1,51.9,41.5,31.6,51.9,42.2,32.8,51.9,42.9,33.5,52.6,41.7,33.6,50.1,41.6,33.4,50,38.8,30.6,47.2
"New Mexico","Lincoln County",60.1,51.5,69,61.4,53,70.1,59.3,50.6,68.3,58.8,51.1,66.8,58,50.6,65.7,58.3,50.5,66.4,56.8,49.9,63.9,55.9,49.3,62.7,55.4,49.4,61.5,55.7,49.6,62,51.2,44.9,57.7
"New Mexico","Los Alamos County",67.5,63.2,72.1,67.7,63.6,71.9,65.4,60.9,70.2,65.7,61.3,70.3,64.9,60.3,69.7,64.3,58.8,70.1,64.2,59,69.7,64.2,59.3,69.3,64,59.9,68.1,64,59.9,68.3,61.4,56.4,66.5
"New Mexico","Luna County",46.6,34.9,58.8,47.9,36.2,60.1,46.7,34.7,59.1,44.6,34.1,55.4,44.7,34.4,55.3,44,33.4,54.9,46.2,35.4,57.4,45.8,34.9,57.1,46.3,35.6,57.3,48.2,37,59.9,44.8,33.3,56.7
"New Mexico","McKinley County",38.5,29.9,47.3,38.7,30.1,47.6,37.8,28.7,47.2,35.9,27.5,44.7,33.1,25.3,41.3,37.1,27.3,47.4,35.1,25.6,45,36.1,26.2,46.5,34.9,25.8,44.4,35.8,26.2,45.7,31.6,22.3,41.1
"New Mexico","Mora County",49.2,37.8,61,50.7,39.4,62.4,49.8,38.4,61.7,49.7,38.9,60.8,49.4,39.2,60.1,50,39.4,61,49.4,39.2,59.9,50.6,40.8,60.9,52.4,43.7,61.4,52.3,43.8,61.2,48.1,39.3,57.2
"New Mexico","New Mexico",55.5,46.9,64.5,55.9,47.5,64.6,54.1,45.4,63.1,54,46,62.2,53.2,45.6,61.2,53.1,44.8,61.6,52.9,45,60.9,52.9,45.4,60.6,52.3,45.8,59.1,52.4,45.8,59.3,48.9,42,56.1
"New Mexico","Otero County",52,42.6,61.8,52.6,43.5,62.1,51,41.8,60.6,50.7,42.6,59.1,49.3,41.7,57.1,48.4,40.8,56.4,49.2,41.9,56.8,48.7,41.5,56.2,48,41.8,54.4,49.5,43,56.2,44,37.6,50.5
"New Mexico","Quay County",43.6,31.9,55.7,43.5,32.1,55.2,41.4,30.1,53,40.8,30.5,51.5,38.6,29.2,48.4,37.7,28.4,47.4,38.1,29.7,46.8,36.6,29.3,44.2,35.9,29.9,42.2,36.9,30.8,43.3,32.4,26.3,38.7
"New Mexico","Rio Arriba County",52.5,42.6,62.7,52.8,43.1,62.8,50.6,40.7,60.9,50.1,40.5,59.9,49.5,40,59.3,49.2,39,59.7,49.9,39.7,60.5,49.6,39.7,59.8,48.7,39.7,58,48.7,39.7,57.9,46,36.6,55.7
"New Mexico","Roosevelt County",42.9,32.1,54.1,43.6,33.1,54.5,41.8,31.3,52.7,40.3,31.2,49.9,39.6,31,48.5,39.9,31.2,48.9,40.5,32.3,49.1,40,32,48.3,38.9,32.1,46,39,32.1,46.2,36.6,29.4,44
"New Mexico","San Juan County",43.7,35.2,52.6,44,35.4,53,42.6,33.6,51.9,42.6,33.9,51.6,41.8,33.1,50.8,41.4,32,51.1,42.6,33,52.4,40.6,31.5,50,39.6,31.5,48,42.4,33.6,51.6,38.8,29.9,47.9
"New Mexico","San Miguel County",55.9,46.5,65.6,57,47.9,66.4,54.6,45.4,64.2,52.2,44,60.6,54.1,45.9,62.6,52.2,43.9,60.7,50.6,42.8,58.6,50,42.6,57.6,48.6,42.3,55.1,48.8,42.5,55.3,43.6,37.2,50.3
"New Mexico","Sandoval County",60.5,53.8,67.3,60.6,54.2,67.3,58.7,51.8,65.9,59.3,52.7,66.2,59,52.1,66,59.1,51.3,67.1,58.6,51,66.4,59.2,51.7,66.9,58.3,51.7,65.1,58.5,51.8,65.5,55.7,48.2,63.5
"New Mexico","Santa Fe County",68.2,63.1,73.5,68.3,63.4,73.4,66.1,60.7,71.8,66.3,61.1,71.6,65.5,60.3,71,63.9,57.9,70,64,58.3,70,64.1,58.4,70,62.5,57.8,67.3,62.8,57.9,67.9,59,53.5,64.7
"New Mexico","Sierra County",54,46.3,61.9,55.9,48.4,63.7,54.2,46.6,62,53,46.6,59.7,51.8,46,57.9,52.9,46.7,59.3,52.3,46.4,58.5,51,45.5,56.6,53.5,47.6,59.7,53.4,47.5,59.6,48.6,42.4,55
"New Mexico","Socorro County",48.6,38.4,59.3,49.8,39.8,60.1,48.3,38.2,58.8,45.1,36.6,54,46.9,38.2,55.9,45.7,36.9,54.7,46.4,37.6,55.6,46.2,37.3,55.4,46.2,38.5,54.2,47.1,39.3,55.2,43.2,35.3,51.4
"New Mexico","Taos County",60,52.7,67.7,60.9,53.6,68.4,59.5,51.7,67.6,59.3,51.9,66.9,59.5,52.1,67.1,59.8,51.9,68,59.1,51.7,66.8,58.5,51.1,66.1,58.5,51.6,65.6,55.6,49.1,62.4,53.1,45.9,60.7
