"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"New York","Albany County",66,59.1,73.2,66.7,60.4,73.3,65.3,59.1,71.7,65.6,60,71.3,65.1,59.4,71,65.8,60.1,71.8,65.7,60.5,71,66.3,61.1,71.7,66,60.8,71.3,66,61.1,71.1,65,59.9,70.3
"New York","Allegany County",55.6,47.8,63.6,56.8,49.6,64.2,55.4,48.5,62.6,56,49.5,62.8,55.5,48.7,62.5,56.2,49,63.7,56.4,49.9,63.1,57,50.1,64.2,56.8,50.2,63.7,57.2,50.9,63.7,56.4,50.1,63
"New York","Bronx County",46.3,37.2,55.7,47.3,38.5,56.3,45.6,36.9,54.6,45.8,37.7,54.1,44.8,36.4,53.5,45.6,36.8,54.6,45.2,37.2,53.5,45.5,37,54.3,45.2,36.6,54.2,46.2,37.5,55.1,44.9,35.9,54.2
"New York","Broome County",63.4,55.6,71.4,64.2,57,71.6,62.7,55.7,70,62.5,56,69.2,62.2,55.6,69,62.3,55.5,69.4,62.2,56,68.6,62.5,56.2,69.1,62.2,56.1,68.6,62.5,56.6,68.7,61.5,55.5,67.7
"New York","Cattaraugus County",57.9,50.2,65.8,59.2,52.2,66.4,57.8,51.3,64.6,58.3,52.3,64.6,57.9,51.6,64.5,58.4,51.7,65.3,59,53,65.2,59.3,53.3,65.6,59.2,53.3,65.4,59.3,53.7,65,58.6,53.2,64.2
"New York","Cayuga County",61.2,53.4,69.4,62.2,54.8,69.8,60.8,53.8,68.1,61.1,54.8,67.6,60.8,54.4,67.4,61.2,54.5,68.2,61.1,55,67.4,61.5,55.3,68,61.6,55.7,67.6,61.7,56.2,67.5,60.7,55.2,66.5
"New York","Chautauqua County",58.2,49.8,66.9,59.2,51.6,67.2,57.8,50.5,65.3,58,51.1,65.1,57.5,50.3,64.9,58,50.4,65.9,57.9,50.9,65.2,58.7,51.5,66.3,58.4,51.4,65.6,58.4,51.8,65.3,57.5,50.9,64.3
"New York","Chemung County",58,50.2,66.1,59.3,52.1,66.7,57.9,51,65,58.3,52.1,64.8,57.9,51.7,64.4,58.4,51.7,65.3,58.8,52.9,65,59.5,53.3,65.9,59.5,53.6,65.6,60.1,54.4,65.9,58.9,53.3,64.7
"New York","Chenango County",59,51.1,67.2,60.1,52.7,67.8,58.8,51.7,66.2,59.5,53.1,66.2,59,52.4,65.8,60,53.1,67.1,59.8,53.4,66.4,60.6,54.1,67.3,60.3,54,66.8,60.8,54.7,67,59.9,54,66
"New York","Clinton County",63.2,58.1,68.5,63.9,59.2,68.8,62.6,58,67.4,63.2,58.8,67.7,62.8,58,67.7,63.8,58.6,69.1,63.7,59,68.5,63.9,58.7,69.3,63.6,58.2,69.3,63.4,58,68.9,62.8,57.6,68.1
