"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"North Carolina","Alamance County",43.6,33.8,53.7,44.8,35.4,54.5,44.1,34.2,54.3,46.7,37.5,56.3,45.6,36.7,54.8,48.5,39.6,57.8,48.5,39.5,57.8,49.2,39.8,59,48.8,39.5,58.4,51.1,42.2,60.3,49.2,40,58.8
"North Carolina","Alexander County",31,20.2,42.1,32.4,22.1,43,31.9,21.7,42.5,34.1,24.6,44,34.9,25.2,45,36.7,26.9,46.8,36.9,27.4,46.8,36.5,27,46.4,36,27.1,45.3,37.3,29.3,45.5,36.2,28.2,44.6
"North Carolina","Alleghany County",33.7,25.1,42.7,34.4,26.3,42.7,33.5,25.5,41.7,34.7,27.4,42.3,34.2,26.8,42,36.5,28.8,44.3,37,28.4,46,35.5,26.9,44.4,33.9,25.5,42.6,35.7,27.5,44.2,34.5,26.4,43
"North Carolina","Anson County",28.7,19.5,38.2,30.1,21.1,39.4,29.5,20.5,38.9,31,22.5,39.7,31.8,23,40.8,33,24.2,42,33.1,24.3,42.1,33.3,24.4,42.5,34.3,25.6,43.3,35.5,27.4,43.8,33.2,25,41.8
"North Carolina","Ashe County",31.7,22.4,41.4,33.7,25,42.7,33.3,24.4,42.5,35.1,26.7,43.8,35.6,26.9,44.7,37.9,29.3,46.9,38,29.2,47.1,37.5,28.8,46.4,36.8,28.5,45.4,38.3,30.6,46.3,36.6,28.8,44.7
"North Carolina","Avery County",34.2,26.9,41.8,37.1,30,44.4,36.5,29,44.3,39.3,32.1,46.7,39.9,32.3,47.7,41.3,33.8,49.1,41.6,34.3,49.1,41.5,34.7,48.6,38.8,31.9,46,40.9,34.3,47.7,38.7,32.2,45.5
"North Carolina","Beaufort County",36.8,26.4,47.6,37.6,27.7,47.8,37.5,27.3,48.1,39.9,30.2,50,40.9,30.9,51.2,42,32.1,52.3,42,32,52.3,42.4,32.3,52.8,42,31.6,52.8,43.5,33.3,54.1,42.9,32.3,53.8
"North Carolina","Bertie County",28,17.2,39.1,29.3,19,40.1,29,18.6,39.8,30.7,20.8,40.9,31.7,21.7,42,32.4,22.9,42.2,33.2,23.7,43.1,34,24.7,43.6,33.7,24.5,43.3,35.7,26.6,45.2,33.9,24.9,43.3
"North Carolina","Bladen County",28.7,18.4,39.4,30.6,20.3,41.2,29.3,19.4,39.5,30.1,20.9,39.6,30.8,21.6,40.3,31.9,22.8,41.4,31.7,22.5,41.4,32.3,22.5,42.5,32.9,23.1,43.1,33.9,24.2,43.8,31.8,22.1,41.9
"North Carolina","Brunswick County",50.1,42.5,57.9,51.9,44.6,59.5,51.7,43.8,59.9,54.5,47.2,62.1,55.7,48.3,63.3,55.9,48.5,63.6,57,49.2,65.1,56.4,48.2,64.9,55.8,47.3,64.7,56.7,48.1,65.5,55.5,46.2,65.1
"North Carolina","Buncombe County",46.2,39.6,53,48,42,54.1,47.5,41,54.3,50.4,44.6,56.5,50.9,44.6,57.5,52.2,45.8,58.9,52.5,45.9,59.3,52.6,45.9,59.5,52.3,45.6,59.4,53.7,47.4,60.3,52.6,46.1,59.3
"North Carolina","Burke County",32.8,23.6,42.4,34,25.3,43.1,33.7,24.7,43,36,27.5,44.8,36.1,27.5,45.1,37.8,29,47,38.3,29.2,47.8,38.1,28.9,47.7,38.1,29.2,47.4,39.3,31,47.9,38.8,30.5,47.4
"North Carolina","Cabarrus County",41.8,31.8,52.2,42.6,33.3,52.4,42.2,32.9,51.9,45.8,37.2,54.6,46.1,37.7,54.9,47.5,39.3,56,48.8,40.4,57.4,49,40.8,57.4,48.6,40.9,56.6,50.5,43.7,57.5,48.6,41.5,56
"North Carolina","Caldwell County",31.9,23.7,40.5,33.2,25.3,41.4,32.8,24.5,41.3,34.9,27,43.1,35.7,27.4,44.3,37.6,29.3,46.3,37.6,29,46.5,37.3,28.6,46.4,36.6,28.2,45.3,37.4,29.8,45.4,36.6,28.9,44.5
"North Carolina","Camden County",44.6,33.8,55.9,46.3,36.3,56.6,45.8,35.7,56.3,48.1,38.8,57.7,48.3,38.9,57.9,49.9,41,59.1,50.9,42.4,59.6,51.9,43.7,60.4,51.6,42.9,60.6,53.1,45,61.5,51.8,43.6,60.3
