"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"North Dakota","Adams County",59.8,48.8,71.3,62.5,51.6,73.8,61.9,51,73.2,61.7,51.1,72.7,61.2,51.1,71.6,62.1,51.2,73.5,64.3,54.2,74.8,67.2,57.9,76.8,67.9,59.4,76.8,70.1,61.8,78.8,68.4,59.5,77.6
"North Dakota","Barnes County",66.4,59,74,67.2,59.8,74.9,65.8,58.3,73.6,65.6,58.4,73,65.2,58.7,72,66,58.5,73.7,67.2,59.9,74.7,67.8,60.6,75.2,67.3,60.9,73.9,68.4,62.2,74.8,66.8,60.3,73.6
"North Dakota","Benson County",56.4,46.8,66.3,57.9,48.1,68.1,55.8,45.7,66.2,53,42.9,63.6,51.9,42.2,62,52.1,41.1,63.6,52,40.5,63.9,51.4,39.6,63.6,49.5,37.7,61.6,51.5,39.5,63.8,47.7,35.7,60.1
"North Dakota","Billings County",59.5,51.7,67.6,61.6,53.9,69.4,60.7,53.1,68.6,60.7,53.6,68.1,60.9,54.7,67.4,59.3,51.8,67,62.8,55.1,70.9,64,56.4,72,63.4,56,71.1,64.9,57.4,72.8,62.8,55.1,70.9
"North Dakota","Bottineau County",62.4,52.7,72.5,63.5,53.7,73.6,62.1,52.4,72.2,61.9,52.5,71.6,61.1,52.7,69.9,62,52.6,71.7,63.3,54.1,72.9,64.2,55.3,73.3,63.2,54.7,72,64.7,56.2,73.5,63.1,54.2,72.3
"North Dakota","Bowman County",68.8,59.4,78.6,69.7,60.4,79.3,68.5,59.1,78.2,67.7,58.5,77.3,68.5,60.1,77.1,69.3,60.2,78.6,70,61.1,79.2,70.9,61.9,80.2,70.7,62.2,79.6,71.5,62.9,80.5,70.1,60.8,79.7
"North Dakota","Burke County",63.8,53.6,74.3,63.9,53.6,74.5,62.3,51.9,73,62.2,52.3,72.5,62.9,53.9,72.2,63.9,53.9,74.2,66.8,57,76.9,67,56.8,77.6,66.8,57,77,68.2,58.1,78.6,66.6,56.2,77.4
"North Dakota","Burleigh County",68.1,61.1,75.3,68.7,61.5,76.1,66.9,59.4,74.6,66.7,59.7,74,66.2,59.9,72.7,66.3,59.2,73.8,67.2,60,74.7,67.5,60.3,74.9,66.8,59.8,73.9,68,60.7,75.7,67,59.3,75.1
"North Dakota","Cass County",68.5,63.3,73.9,69.2,63.9,74.7,67.8,62.4,73.4,67.7,62.5,73.1,67.7,63.1,72.4,67.6,61.6,73.7,69.2,63.4,75.2,68.7,62.8,74.9,67.9,62.3,73.7,68.8,63.1,74.6,67.3,61.5,73.4
"North Dakota","Cavalier County",66.5,58.5,74.9,67.9,60.1,76.1,66.3,58.6,74.4,67,59.7,74.5,66.8,60.2,73.6,68.1,60.9,75.6,68.9,61.5,76.4,69.8,62.8,77.1,69.8,63.5,76.4,71,64.8,77.4,69.6,63.4,76.1
"North Dakota","Dickey County",59.3,50.2,68.8,60.4,51.3,69.9,59.2,50,68.7,59.5,50.7,68.7,58.8,50.5,67.3,59.3,50.2,68.8,60.5,51.5,69.8,60.3,51.3,69.7,60.4,51.4,69.6,61.5,52.7,70.6,59.3,50.1,68.9
"North Dakota","Divide County",62.5,52.9,72.5,63.7,54.2,73.6,62,52.2,72.1,61.6,52.2,71.5,61.3,52.7,70.3,62.1,52.7,71.9,63.6,54.5,73.1,63.5,53.8,73.6,63.3,53.9,73.1,63.3,53.3,73.6,61.6,51.2,72.3
"North Dakota","Dunn County",63.5,54.1,73.3,65.5,56.3,75,64.3,55,74,64,55.1,73.3,63.4,54.9,72.2,63,53.4,73,65.2,55.6,75.2,66.3,56.5,76.4,66.4,56.8,76.3,68.2,58.4,78.4,66.8,56.5,77.5
"North Dakota","Eddy County",61.7,52.3,71.4,63.7,54.6,73.1,61.9,52.9,71.2,60.7,52,69.7,60.6,52.8,68.7,61.1,52.5,70,62,54.1,70.3,61.5,53.1,70.2,62,54.5,69.8,62.9,55.6,70.5,60.8,53.2,68.8
"North Dakota","Emmons County",65.8,56.4,75.5,66.3,56.8,76,65.3,55.8,75.1,64.2,54.8,73.9,63.3,54.5,72.4,63.2,53.5,73.2,65.5,56.4,75,64.4,55.7,73.5,63.5,55.2,72.1,64.9,56.7,73.4,63.3,54.8,72.2
"North Dakota","Foster County",62.7,52.7,73.2,63.7,53.8,74.1,62.8,53.1,72.9,62.2,52.9,71.8,61.5,53,70.2,62.4,53.3,71.9,64.3,55.8,73.2,63.7,55,72.7,62.8,54.8,71.2,64.4,56.7,72.4,62.3,54.1,70.8
"North Dakota","Golden Valley County",63.8,54.4,73.5,64.9,55.7,74.5,62.8,53.7,72.3,62,53.4,71,61.3,53.3,69.5,62,53.3,70.9,63.2,55,71.7,62.8,53.5,72.4,63.5,54.5,72.8,65.4,56.3,74.8,64,54.6,73.7
"North Dakota","Grand Forks County",65.6,58.8,72.5,66.7,60.1,73.6,65.3,58.7,72,64.9,58.7,71.4,64,58.3,70,64.1,57.1,71.3,65.3,58.5,72.2,65.7,59.4,72.2,64.7,59,70.7,66.3,60.9,71.9,64,58.4,69.8
"North Dakota","Grant County",60.4,51.1,70.1,62,52.5,71.8,60.4,51.1,70.1,60.6,51.8,69.7,59.6,51.2,68.2,60.5,51.2,70.1,60.9,52.1,70,61.1,52,70.6,60.7,51.5,70.3,61.7,52.3,71.5,60.7,51,70.8
"North Dakota","Griggs County",61.5,52.8,70.5,63.1,54.5,72.1,61.9,53.4,70.8,61.3,53,70,60.9,53.2,68.8,61.4,52.7,70.5,61.8,53.3,70.5,64,56.2,72,63.3,55.8,71.1,63.8,56.2,71.6,62.4,54.7,70.5
