"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Ohio","Adams County",33.9,26.7,41.3,35.8,28.2,43.7,34.8,27.4,42.4,35.4,28.3,42.8,36.3,29.8,43.1,37,30.2,44,36.5,29.7,43.6,36.5,29.2,44,36.5,29.4,44,38.5,31.5,45.8,37.2,29.8,44.8
"Ohio","Allen County",53.2,45.6,61.2,54,46,62.3,52.8,44.8,61.1,53.8,46.1,61.9,54.4,47,62,54.4,46.7,62.3,54.5,46.7,62.6,53.1,44.9,61.6,53.5,45.3,61.9,55.2,47.4,63.2,53.5,45,62.4
"Ohio","Ashland County",50.1,42.8,57.6,50.7,43.2,58.6,49.3,41.9,56.9,50.2,43.2,57.3,50.6,44.3,57.2,51.2,44.4,58.1,50.4,43.8,57.3,48.6,41.8,55.7,49,42.4,55.9,52.3,46.2,58.7,50,42.7,57.5
"Ohio","Ashtabula County",54.2,47.8,60.8,55.1,48.5,61.8,53.5,47.1,60.1,54,48.2,60,53.8,48.8,58.9,53.8,48.7,59.2,53.6,48.3,59.1,51.9,46.3,57.7,51.9,46.5,57.5,52.5,47.8,57.4,50.7,44.7,56.9
"Ohio","Athens County",49.3,43.7,55.1,51,44.8,57.4,49.6,43.6,55.8,47.6,42.2,53.2,49.1,44.1,54.3,48.6,43.3,54.2,49,43.5,54.7,47.8,42,53.8,50.8,45,56.9,49.1,44,54.4,47.5,42,53.2
"Ohio","Auglaize County",55,47.5,62.8,55.8,47.9,64,54.3,46.5,62.3,55.1,47.6,62.9,54.8,47.8,62.1,55,47.6,62.6,55,47.6,62.7,53.9,46.1,62,54.1,46.4,62.1,55.5,48.3,63,54,46.2,62.1
"Ohio","Belmont County",49.1,39.6,58.9,50.3,40.5,60.5,49.1,39.5,58.9,50.2,41.1,59.7,50.7,42.4,59.3,51.3,42.7,60.1,51.6,43,60.4,51.1,42.2,60.3,51,42.6,59.8,52.7,44.7,61,50.5,41.7,59.6
"Ohio","Brown County",42.1,33.8,50.6,43.2,34.4,52.3,41.9,33.3,50.8,42.7,34.3,51.5,43.1,35.2,51.3,43.6,35.2,52.2,44,35.6,52.8,43.9,35,53,44.5,35.6,53.6,45.2,36.6,54,43.7,34.6,53
"Ohio","Butler County",55,46.6,63.7,55.7,47,64.8,54.5,45.9,63.5,55.2,46.8,63.9,55.3,47.4,63.6,55.6,47.3,64.2,56.1,47.6,64.8,55.6,46.7,64.9,55.8,46.8,65.2,57.2,48.4,66.4,55.8,46.6,65.5
"Ohio","Carroll County",48.7,40.6,57.1,49.5,41.2,58,48.2,40.2,56.4,49.5,42.1,57.2,49.5,43.1,56.2,50.3,43.6,57.3,49.8,43,56.9,48.6,41.7,55.9,47.8,41.6,54.3,50,44.5,55.8,48.9,42.4,55.7
"Ohio","Champaign County",48.1,39.9,56.7,49.3,40.7,58.2,48.1,39.5,57,49.7,41.3,58.5,49.3,41.4,57.6,49.7,41.3,58.3,49.6,41.1,58.3,49,39.7,58.6,48.7,39.7,57.9,50.1,41.5,59.1,49,39.8,58.5
"Ohio","Clark County",49.2,41.7,57,50.5,42.6,58.7,49.4,41.7,57.3,50.2,42.8,57.8,50.9,44,58.1,50.7,43.5,58.1,51.5,44.1,59.1,50.5,42.7,58.6,49.5,41.9,57.4,51.7,44.4,59.3,50.1,42.2,58.2
"Ohio","Clermont County",54.2,47.6,61,55.4,48.4,62.6,54.3,47.5,61.4,55.7,49.1,62.5,55.8,49.8,62,56.4,50.1,62.9,56.9,50.4,63.6,56.4,49.5,63.6,56.7,49.8,63.8,57.9,51.4,64.7,56.6,49.6,63.9
"Ohio","Clinton County",47.2,40.9,53.8,48.3,41.5,55.3,46.8,40.1,53.7,47.9,41.4,54.6,47.8,41.8,54.1,47.7,41.3,54.4,48,41,55.3,46,38.6,53.7,44.2,37,51.7,46.7,39.5,54.2,46,38.3,53.9
"Ohio","Columbiana County",50.7,42.3,59.4,51.5,42.8,60.5,49.8,41.4,58.6,50.4,42.4,58.6,50,43,57.4,50.6,43.3,58.1,50.6,43.2,58.3,48.9,41,57.1,48.2,40.8,56,50.1,43.1,57.4,48.7,40.6,57.1
"Ohio","Coshocton County",47.3,38,56.9,48.5,38.9,58.5,46.4,37.3,55.9,47.6,38.8,56.7,47.5,39.5,55.8,48,39.7,56.6,47.9,39.7,56.5,46.9,38.4,55.8,45.5,37.6,53.7,48,40.5,55.7,46.5,38.3,55
"Ohio","Crawford County",50.5,41.6,59.7,50.8,41.6,60.3,49.2,40.2,58.6,50.5,41.7,59.6,50.2,42,58.8,50,41.5,58.9,50.3,41.9,59.1,48.4,39.8,57.4,48.6,40.3,57.3,49.7,41.8,57.9,48.6,39.8,57.7
"Ohio","Cuyahoga County",61.6,54.9,68.5,61.8,54.9,69,60.1,53.3,67.2,60.9,54.6,67.5,61.7,56,67.5,61.5,55.6,67.6,61.6,55.7,67.8,61,54.6,67.6,60.9,54.9,67.1,62.2,56.8,67.8,60.1,53.4,67
"Ohio","Darke County",49.2,41.5,57.2,49.8,41.7,58.3,48.8,40.8,57.1,50.1,42.2,58.3,50.3,42.9,58,51.2,43.3,59.3,51.3,43.2,59.7,50.1,41.6,58.9,50.4,41.9,59.3,51.9,43.5,60.6,50.8,41.9,60
"Ohio","Defiance County",53.6,43.5,64,54.1,43.7,64.8,52.4,42,63.2,53.4,43.3,63.8,53.7,44,63.7,54,44.2,64.2,54,44.1,64.3,52.5,42.3,63,53.5,43.6,63.8,55.1,45.7,64.8,53.3,43,63.9
