"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Oklahoma","Adair County",30.5,21.7,39.7,33.4,23.5,43.6,32.4,23.8,41.4,32.3,24.7,40.3,32.3,25.4,39.5,32.9,26.2,39.9,34.9,28.3,41.8,34.4,28.5,40.5,33.9,28.9,39.2,35.9,30.8,41.1,34.2,28.4,40.2
"Oklahoma","Alfalfa County",44.5,34.2,55.1,47.9,37,59.2,47.5,37.3,58.1,48.4,38.4,58.7,49.1,39.8,58.7,50.7,41.9,59.9,51.9,43.9,60.3,53.2,44.8,61.9,53,45.3,61.1,53.9,46.4,61.6,53.3,44.8,62.1
"Oklahoma","Atoka County",29.2,19.7,39,31.8,20.9,43,30.8,20.6,41.3,30.8,21.1,40.9,31,21.6,40.8,30.9,21.7,40.5,32.3,22.9,42.1,32.1,22.4,42.3,31.9,22.6,41.5,32.4,23.3,41.8,31.7,21.8,42.1
"Oklahoma","Beaver County",42.8,28.8,57.3,43.9,29.5,58.9,43.1,29.2,57.5,43.7,30.2,57.7,43.8,31.2,56.9,46.1,34.2,58.5,46.2,35,57.9,46.7,36.2,57.5,46.1,36.4,56.1,46.9,37.7,56.6,45.7,35.4,56.4
"Oklahoma","Beckham County",37.3,27.4,47.7,39.3,28.7,50.2,39.1,28.8,49.7,39.1,29,49.6,39.5,30,49.4,40.5,31.4,49.9,41.8,32.8,51.1,42.8,33.9,52.1,42.4,34.7,50.5,44.3,36.9,51.9,42.8,34.6,51.3
"Oklahoma","Blaine County",39.5,28.1,51.2,43.3,31.5,55.6,41.6,30.9,52.7,41.9,31.8,52.3,43.3,34.1,52.8,44,35.5,52.7,43.9,36,52.1,44.3,36.7,52.3,44.1,36.5,52,45.2,38.3,52.4,44.8,36.9,52.9
"Oklahoma","Bryan County",38.3,30.1,46.8,40.6,31.6,50,39,30.5,47.9,38.5,30.3,47,38.7,30.7,47,38.1,30.5,46.1,39.5,31.7,47.5,38.8,31.4,46.5,39.2,32.2,46.5,38.7,31.9,45.8,37.8,30.2,45.8
"Oklahoma","Caddo County",32.1,22.5,42.1,34.4,23.8,45.3,33.4,23.2,44,33.9,23.8,44.4,33.8,24.1,43.8,35.5,25.9,45.4,36.3,26.8,46,36.5,27.3,46,36.4,27.7,45.5,37.2,28.4,46.4,35.8,26.1,45.8
"Oklahoma","Canadian County",45.8,37.8,54.1,47.7,39.1,56.6,47.1,39,55.4,48.6,40.7,56.8,49.4,42.1,57,49.8,43,56.9,50.6,44.1,57.3,51.1,44.8,57.6,50.1,44.4,56,51.1,45.7,56.7,49.9,43.3,56.7
"Oklahoma","Carter County",39.3,30.1,48.8,42,32.2,52.1,40.4,31,50.2,41,31.8,50.6,41.3,32.8,50.2,42,33.7,50.5,42.7,34.7,51,43.4,35.6,51.3,43.4,36.3,50.7,45.4,38.5,52.5,44.3,36.4,52.4
"Oklahoma","Cherokee County",37.9,31.1,44.9,41.2,33.7,49,39.8,33.3,46.5,40.4,34.6,46.4,39.6,34.5,44.8,39.2,34.8,43.8,42.6,37.8,47.6,43.7,39.3,48.3,43.2,39.1,47.5,43.8,39.9,47.9,43,38.2,47.9
"Oklahoma","Choctaw County",34.4,25.5,43.7,35.4,25.4,45.7,33.6,24.2,43.4,31.8,22.9,41,31.1,22.7,39.9,30.5,22,39.3,31.4,22.6,40.6,30.9,22,40.1,30.2,21.8,38.9,29.8,21.4,38.5,30.1,20.9,39.6
"Oklahoma","Cimarron County",38.4,24.4,52.9,40.9,26.7,55.6,40.8,27.3,54.8,41.2,28.2,54.7,41.3,29.2,53.8,43.3,31.8,55.1,44.8,33.8,56.3,45.7,35.7,56,45.6,35.9,55.6,46.5,37.4,56,45.3,35.3,55.8
"Oklahoma","Cleveland County",47,39.1,55.2,49.3,40.9,58.1,49.1,41.1,57.4,50,42.2,58,50.1,42.9,57.6,51.6,44.8,58.8,52.1,45.6,58.9,52.4,46.2,58.9,51.2,45.1,57.5,52.2,46.4,58.3,51.6,44.2,59.3
"Oklahoma","Coal County",33.9,22.9,45.3,35.6,23.1,48.6,34.6,23.1,46.6,33.8,23.3,44.7,34.8,25.1,44.8,35.2,25.8,44.8,36.4,27.2,46.1,36.7,27.6,46.2,36.5,28.1,45.3,36.9,28.7,45.3,36.2,27.3,45.5
"Oklahoma","Comanche County",45.2,36.1,54.6,47,37.3,56.9,46.5,37.1,56.3,46.7,37.1,56.6,46.5,37.2,56,46.8,37.8,56,48.2,39.3,57.5,50.2,41.3,59.4,48.7,40,57.7,49.6,40.8,58.6,48.3,38.7,58.3
"Oklahoma","Cotton County",36.9,26.9,47.2,39.1,28.5,50.1,36.7,26.8,47.1,37.8,28.2,47.7,36.3,27.4,45.5,37.3,28.7,46.3,37.5,29.1,46.2,37.7,29.8,46,37.5,30.2,45.2,37.4,30.5,44.6,36.4,28.5,44.5
"Oklahoma","Craig County",37,26.9,47.5,39.4,28.7,50.6,37.4,27.9,47.1,39.2,30.5,48.3,38.1,30.1,46.3,38.2,30.8,45.9,40.4,32.8,48.2,40.1,33.3,47.1,39.9,33.1,46.9,39.3,32.8,46,38.5,31,46.3
