"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Oregon","Baker County",55.6,46.2,65.4,56.7,48.2,65.5,54.6,46,63.5,55.4,47.5,63.6,55.9,48.8,63.2,55.3,48.1,62.7,54.8,47.8,62.1,56,49.3,62.9,57,50.6,63.6,57.1,51.2,63.3,56.8,50.1,63.7
"Oregon","Benton County",66.1,59.6,72.8,66.7,61.2,72.5,64.7,58.7,70.9,64.7,59.3,70.3,65,60.3,69.9,64.4,59.7,69.3,65.3,61,69.8,66.2,62.1,70.5,67.5,64.1,71.1,67.9,65,70.8,67.8,64.5,71.3
"Oregon","Clackamas County",62.1,55.8,68.7,63.1,57.8,68.6,61.1,55.4,67,62.6,57.4,68,62.5,57.8,67.4,62.1,57.1,67.3,61.8,57.1,66.7,63,58.2,67.9,64.1,59.8,68.6,65.1,61.5,68.9,64.9,60.7,69.3
"Oregon","Clatsop County",59.9,54.3,65.7,61.6,56.8,66.5,59.9,54.4,65.5,61.5,56.2,66.9,61.4,56.4,66.5,62.5,57.1,68.1,62.8,57.7,68.2,63.7,58.2,69.3,65.7,60.4,71.3,65.7,60.9,70.6,65.7,60.5,71.1
"Oregon","Columbia County",58.1,49.3,67.2,59,51.3,67,57.4,49.5,65.7,58.7,51.4,66.3,59.1,52.6,65.8,59.8,53.1,66.8,58.4,52.2,64.8,59.2,52.8,65.8,60.5,54.8,66.3,62.2,57.5,67,61,55.8,66.4
"Oregon","Coos County",53.6,44.7,62.8,55.5,47.5,63.8,53.8,45.5,62.5,54.1,46.4,62,55,48.1,62.2,56.6,49.4,64.1,54.8,47.6,62.3,55.5,48.1,63.1,56.9,50.1,63.9,57.5,51.2,64,57.2,51,63.6
"Oregon","Crook County",55.5,47.6,63.6,57.2,50.3,64.3,55.4,48.4,62.6,56.8,50.5,63.4,56.9,51.4,62.6,57.3,51.4,63.4,56.8,50.5,63.3,55.8,49,62.8,57,51,63.3,57.8,52.4,63.3,57.2,51.3,63.4
"Oregon","Curry County",59,51.7,66.6,61,54.5,67.8,59.6,52.9,66.6,60.9,54.8,67.3,59.8,54.5,65.3,60.9,55.4,66.6,60,54.4,65.8,61.4,56.3,66.6,62.5,57.8,67.5,62.3,58.1,66.8,61.9,57.5,66.6
"Oregon","Deschutes County",65.9,58.1,73.9,67,60.3,74,65.1,58.2,72.2,66.9,60.7,73.3,66,60.6,71.6,66.4,60.8,72.2,65.1,59.5,70.8,65.1,59.6,70.9,65.4,60.7,70.4,66.6,62.5,70.8,65.9,61.4,70.5
"Oregon","Douglas County",52.9,46.2,59.9,54.1,48.2,60.1,52.1,46.1,58.4,54.3,48.7,60.1,53.2,48.6,57.9,54.4,49.5,59.5,54.2,49.4,59.3,54.3,49.2,59.5,54.6,50.3,59,56.6,52.8,60.6,55.6,51.6,59.8
