"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Utah","Beaver County",26.5,21.2,32,26.9,21.2,32.8,25.5,19.8,31.5,25.7,20,31.6,25.5,19.8,31.3,25.7,19.3,32.2,24.7,18.9,30.8,24.2,18.8,29.8,24,19.2,28.9,25.9,20.6,31.3,24.8,19.7,30.1
"Utah","Box Elder County",21.4,16.1,26.9,21.4,16.1,27,20.2,15.1,25.4,21,15.9,26.3,20.5,15.7,25.5,20.7,15.5,26,20.8,15.7,26.2,20.3,15.3,25.5,20.3,15.5,25.2,20.1,15.4,24.9,19.6,14.9,24.5
"Utah","Cache County",21.3,16.7,26.1,21.3,16.8,26.1,19.8,15.6,24.1,19.5,15.7,23.5,20,16.3,23.9,20.2,16.2,24.3,20.4,16.6,24.3,19.1,16,22.4,19.2,16.4,22.1,18.9,16.3,21.6,18.6,15.9,21.4
"Utah","Carbon County",40.1,32.9,47.5,39.7,32.7,47,37.6,30.8,44.6,37.3,31.2,43.7,37.1,31.4,43.1,36.3,30.5,42.4,36.4,30.9,42.1,35,29.8,40.3,34.6,30.4,39,34.5,30.6,38.6,34.2,30,38.5
"Utah","Daggett County",36.2,31.5,41.1,36.7,31.4,42.3,34.5,28.8,40.4,34.2,28.3,40.3,33.8,27.9,40,33.1,26.7,39.7,32.5,26.2,39.1,31.7,25.2,38.6,30.7,24.5,37.1,30.3,24.2,36.7,29.6,23.6,35.9
"Utah","Davis County",25.2,21,29.6,25.3,20.8,29.9,23.8,19.4,28.4,24.5,20,29.1,24.6,20.1,29.2,24.6,19.7,29.8,24.7,19.7,29.8,24.3,19.4,29.4,23.9,19.5,28.5,23.7,19.2,28.4,23.1,18.6,27.7
"Utah","Duchesne County",27.1,20.1,34.4,27.2,20.1,34.7,25.8,18.7,33.1,25.8,18.9,32.9,26.2,19.4,33.2,26.9,19.5,34.5,26.6,19.4,34,27.3,19.8,35.1,26.3,19.6,33.3,26.3,19.6,33.2,25.7,18.9,32.7
"Utah","Emery County",24.7,17.5,32.1,24.6,17.4,32,22.9,16.1,29.8,22.5,16.3,29,22,16.1,28.1,22.3,16,28.8,21.7,16,27.6,22,16.3,27.9,21.4,16.4,26.5,20.7,16.1,25.4,20.3,15.7,25.1
"Utah","Garfield County",24.3,17.7,31.1,25.3,18.5,32.3,24.4,17.8,31.3,25.2,18.7,31.9,25.1,18.9,31.5,25.3,18.8,32.1,25.5,19,32.3,25.7,19.2,32.4,25.3,19.4,31.3,24.8,19.2,30.7,24.4,18.8,30.3
"Utah","Grand County",53.6,48.4,59,53.6,48.2,59.2,50,44.5,55.8,49.1,43.8,54.6,48.5,43.2,54,48.1,42.1,54.3,47.7,41.5,54.1,47.5,41.2,54,47,41.8,52.4,46.7,41.6,52.1,45.8,40.7,51.1
"Utah","Iron County",26.9,23.1,30.9,27.4,23.2,31.8,26.2,21.9,30.8,26.7,22.4,31.1,26.2,22.1,30.5,25.7,21.1,30.5,26.8,21.7,32.1,25.8,20.8,30.9,24.9,20.6,29.3,25.3,21,29.7,24.9,20.6,29.4
"Utah","Juab County",22.6,15.9,29.5,22.9,16.1,30,21.5,15.1,28.2,21.9,15.7,28.3,21.7,15.9,27.8,22.1,15.8,28.5,21.9,15.8,28.2,21.4,15.7,27.4,20.9,15.9,26,20.2,15.7,24.9,19.4,15,24
"Utah","Kane County",31.8,23.7,40.2,33,24.6,41.8,31.8,23.6,40.3,32.3,24.5,40.4,32.6,25.1,40.5,33.1,25.2,41.4,33.9,26.5,41.6,33.4,26.1,41,34.2,28,40.6,35.3,29.1,41.7,33.8,28,39.9
"Utah","Millard County",20.5,14.9,26.2,21.3,15.3,27.5,20.2,14.4,26.2,20.2,14.6,26,20.1,14.6,25.7,20.4,14.5,26.5,20.4,14.7,26.4,19.8,14.4,25.4,19.6,14.9,24.5,19,14.7,23.5,19.5,14.8,24.3
"Utah","Morgan County",22.4,16.9,28.1,22.6,17,28.5,21.4,16,27.1,21.7,16.4,27.2,21.8,16.7,27,22.1,16.6,27.8,22.2,16.9,27.6,21.9,16.8,27.3,21.8,17.3,26.4,21.4,17,26,21,16.3,25.8
"Utah","Piute County",27.3,22.7,32.1,28.1,23,33.3,26.6,21.4,32.1,26.1,21.1,31.4,25.8,20.7,31,26.3,20.5,32.3,26,20.8,31.3,25.4,20.7,30.3,24.7,20.3,29.3,24.6,20,29.4,23.3,18.7,28.2
"Utah","Rich County",21.7,17.3,26.4,22.3,17.6,27.1,20.5,16.1,25,20.4,16.2,24.8,20.3,16.2,24.5,20.5,16.1,25.2,20.2,15.2,25.3,19.6,15,24.3,18.4,14.5,22.4,18.2,14.2,22.3,17.9,13.8,22
"Utah","Salt Lake County",39.8,34.8,45,40,34.7,45.6,37.9,32.5,43.6,38.3,33.1,43.6,37.9,33.2,42.9,38.6,33.3,44.2,38.6,33.5,44,37.8,32.9,42.9,36.7,32.5,40.9,36.1,32,40.5,35.9,30.8,41.2
"Utah","San Juan County",23.9,17.2,30.9,25.6,18.4,33,24,17.2,31.1,23.2,17,29.6,25.1,18.4,32.1,24.3,17.6,31.2,25.4,18.5,32.6,26,19,33.3,27.3,20.3,34.5,27.2,20.4,34.2,27,20.3,33.9
"Utah","Sanpete County",18.8,12,25.9,19.7,12.6,27,18.9,12.1,25.9,19,12.6,25.6,18.6,12.6,24.7,19.9,13.3,26.8,19.6,13.5,26,19.7,13.7,25.9,19.5,14.2,25,19.9,14.7,25.4,19.7,14.3,25.2
"Utah","Sevier County",23.2,17.4,29.2,23.6,17.7,29.9,22.2,16.4,28.2,22.5,16.8,28.3,22.2,16.8,27.9,22.3,16.5,28.3,22.4,16.7,28.2,22,16.6,27.6,20.9,16.3,25.7,21,16.4,25.6,20,15.6,24.6
"Utah","Summit County",59.8,55.8,64,60.2,55.9,64.7,58.6,53.9,63.5,59.3,54.7,64.1,59.6,55.1,64.3,60.1,55,65.4,60,55.1,65.1,59.1,54,64.4,58.7,53.8,63.8,58.4,53.4,63.6,57.7,52.3,63.3
"Utah","Tooele County",33.2,26.9,39.9,33.4,26.8,40.2,31.3,25.2,37.6,31.8,26,37.9,31.5,26.1,37.2,31.5,25.6,37.5,30.6,25.2,36.2,30.1,25,35.4,28.9,24.9,33.1,28.6,24.9,32.3,28.1,24.5,31.9
"Utah","Uintah County",30.2,24.2,36.4,30.5,24.4,36.8,28.7,22.7,34.8,28.8,23.1,34.6,28.8,23.4,34.5,29.4,23.4,35.6,29.3,23.7,35.1,29.2,23.3,35.3,27.6,22.7,32.6,28.3,23.4,33.4,28,23,33.2
"Utah","Utah",31.4,26.6,36.3,31.6,26.5,36.8,29.9,24.9,35,30.1,25.4,35.1,30,25.5,34.6,30.3,25.4,35.5,30.3,25.5,35.3,29.6,24.9,34.4,28.9,25,33,28.7,24.8,32.8,28.2,24,32.6
"Utah","Utah County",14.4,11.2,17.8,14.8,11.4,18.3,14.3,10.9,17.8,14.3,11.2,17.6,14.4,11.3,17.5,14.9,11.5,18.4,14.9,11.6,18.3,14.5,11.5,17.7,14.5,11.8,17.3,14.8,12,17.6,14.3,11.7,16.9
"Utah","Wasatch County",28.3,23.7,33.1,29.5,24.6,34.6,28,23.2,33,28.8,24.3,33.4,29.2,25.1,33.5,30,25.4,34.7,30.6,26.1,35.3,30,25.5,34.6,30.7,26.8,34.8,29.9,26.2,33.8,29,25.1,33
"Utah","Washington County",28.3,24.4,32.3,28.9,24.9,33,27.8,24,31.7,28.7,25.2,32.3,28.7,25.5,32,29.1,25.4,33,29,25.5,32.6,27.8,24.8,30.9,27.9,25.7,30.1,28,26.3,29.7,26.6,25.1,28
"Utah","Wayne County",25.9,19.5,32.5,27.1,20,34.4,26,18.8,33.6,25.9,18.7,33.3,25.9,18.7,33.5,26.7,18.6,35.2,26.3,18.9,34,25.8,19,32.9,26.4,19.9,33,26.5,19.9,33.3,25.7,19.1,32.5
"Utah","Weber County",34.7,28.3,41.4,34.9,28.2,41.8,32.8,26.5,39.5,33.5,27.2,40,33.5,27.5,39.7,34.1,27.5,40.9,34.2,27.8,40.8,33.5,27.3,39.9,33.1,27.7,38.7,33.2,27.8,38.8,32.4,26.9,38.1
