"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"South Carolina","Abbeville County",37.3,27.6,47.4,39,29.5,48.7,38.3,28.6,48.3,39.1,30.3,48.2,39.6,30.5,49.1,40.5,31.7,49.6,40.5,31.9,49.5,39.5,30.8,48.5,40.1,31.7,48.9,41.9,34,50.2,41.3,33.3,49.6
"South Carolina","Aiken County",49,40.6,57.6,50.7,42.6,59,49.2,40.5,58.2,50.6,42.4,59.1,50.7,42.1,59.7,50.6,42.2,59.4,49.4,41.1,57.9,48.5,40.2,57.2,49.5,40.8,58.5,51.1,42.6,59.8,50.8,41.8,60.2
"South Carolina","Allendale County",39.2,29.2,49.5,40.7,30.7,51.1,38.9,28.5,49.6,38.8,29,49,38.8,29,48.9,39.5,29.8,49.6,37.1,27.9,46.7,37.6,28.2,47.3,39.1,29.7,48.9,41.6,32.4,51.2,40.9,31.5,50.6
"South Carolina","Anderson County",39.9,32.2,47.8,41.6,33.8,49.6,40.2,31.7,49,41.5,33.4,50,41.8,33.2,50.7,42.8,34.2,51.6,42.2,33.5,51.3,41.2,32.1,50.6,41.4,32.1,51,44.3,35.1,53.9,43.1,33.9,52.6
"South Carolina","Bamberg County",37.9,28.9,47.2,40.1,30.9,49.5,39.1,29.5,48.9,39.6,30.5,49.1,39.1,29.7,48.9,39.6,30.5,49.1,39.3,30.3,48.5,39.4,29.8,49.5,41,30.9,51.5,42.8,32.7,53.3,41.8,31.4,52.7
"South Carolina","Barnwell County",35.7,26.3,45.5,37.2,27.6,47.2,35.8,25.8,46.1,36.3,26.9,46.1,37,27.1,47.4,36.6,27,46.5,35.4,26,45.1,33.6,24.3,43.3,33,23.7,42.5,37,27.4,46.9,35.1,25.7,44.9
"South Carolina","Beaufort County",66.2,60.4,72.2,67.8,62.4,73.5,66.8,60.5,73.2,68.4,62.8,74.3,67,61.1,73.3,67.1,61.2,73.2,65.8,59.9,71.9,64.7,59.2,70.4,64.6,59.2,70.2,66.7,61.8,71.7,66.3,61.2,71.6
"South Carolina","Berkeley County",47,36.8,57.6,48.9,38.6,59.6,48,36.9,59.4,50.3,39.7,61.2,50.6,39.8,61.8,50.9,40.5,61.7,49.1,39.1,59.5,48.5,38.5,58.8,49.7,39.7,60,52,42,62.3,51.3,40.8,62.3
"South Carolina","Calhoun County",41.8,30.6,53.4,43.2,32.2,54.5,42.3,30.9,54.2,46.1,34.4,58.1,44.9,33.3,56.9,45.9,34.6,57.6,44.3,33.3,55.7,44.3,32.8,56.3,44.2,32.8,56,45.4,34.1,57.1,44.4,32.8,56.4
"South Carolina","Charleston County",60.9,53.3,68.7,62.9,55.4,70.6,62.1,53.8,70.6,64,56.3,72,62.8,55.1,70.8,63.8,56.3,71.5,62.3,55.1,69.7,61.6,54.2,69.2,61.6,54.4,69.1,64.3,57.2,71.6,63.6,55.8,71.7
"South Carolina","Cherokee County",31.7,22.9,40.8,33.2,24.7,42,32,23.2,41.2,34.2,25.8,42.9,33,24.8,41.6,35.4,26.9,44.3,35.2,26.3,44.3,34.5,25.4,44,35,26,44.4,36,27.6,44.8,35.1,26.7,43.8
"South Carolina","Chester County",37.2,26.5,48.4,38.1,27.7,49,37.1,26.5,48.1,37.9,28,48.1,37.8,27.6,48.5,37.4,27.3,47.9,37.5,27.2,48.1,36.9,25.7,48.4,37.4,26.5,48.6,36.6,26.7,46.8,37,26.8,47.6
"South Carolina","Chesterfield County",33.8,26.1,41.9,34.5,26.8,42.4,33.1,25.1,41.4,34.4,26.8,42.2,34.5,26.7,42.6,35.6,27.8,43.6,35.4,27.8,43.3,33.9,26.1,41.9,34.1,26.8,41.7,35.2,28.6,42.1,34.1,27.2,41.2
"South Carolina","Clarendon County",35.6,24.9,46.6,37.5,26.7,48.7,35.9,24.9,47.4,37.7,26.7,49,36.1,25.5,47,37.7,27.1,48.7,36.9,26.6,47.6,36.8,26.5,47.4,36.5,26.4,47,40,29.4,51.1,37.2,26.7,48.1
"South Carolina","Colleton County",41.5,33.2,50.1,43.6,35.1,52.4,42.5,33.3,52,43.5,34.8,52.4,43.1,34.4,52.2,44,35.2,53.2,43.8,34.6,53.3,42.3,33.3,51.7,42.9,33.8,52.4,43,34.1,52.2,44.3,34.8,54
"South Carolina","Darlington County",36,26.5,45.8,37,27.7,46.8,35.7,26,45.7,37,27.7,46.7,37.2,27.8,46.9,38.3,29,47.9,37,27.8,46.5,37.3,27.8,47.1,37.3,28.2,46.7,38.4,29.8,47.3,36.9,28.2,45.9
"South Carolina","Dillon County",29.4,19.8,39.4,31.1,21.3,41.3,30.4,20.4,40.8,31.9,22.3,41.9,31.6,22,41.4,31.9,22.6,41.5,32.7,23,42.7,31.2,21.8,41,32.6,23,42.7,32.4,23.5,41.7,32.5,23,42.3
"South Carolina","Dorchester County",51.9,43.1,61.1,54,45.3,62.9,53.4,44,63.2,55.9,46.9,65.1,56.1,47,65.4,56.2,47.5,65.3,55.8,47.1,64.8,54.4,45.8,63.4,56.3,47.6,65.2,58.8,50.3,67.6,58.2,49.2,67.5
"South Carolina","Edgefield County",41.1,33.1,49.5,43.2,35.3,51.4,41.7,33.2,50.4,43.1,34.9,51.6,42.7,34.2,51.6,43.3,35,51.9,42.7,34.5,51.3,43.6,35.4,52.1,44.9,36.6,53.4,47.5,39.6,55.7,45.7,37.6,54.2
"South Carolina","Fairfield County",37.5,26,49.4,38.4,26.9,50.3,37.4,25.8,49.5,38.9,27.5,50.8,38.3,26.5,50.6,40.3,27.9,53.1,38.9,26.6,51.7,39.5,27,52.5,39,26.4,52.1,40.5,28,53.4,38.8,26.1,52
"South Carolina","Florence County",39.8,31.7,48.2,41.1,32.9,49.7,39.8,30.7,49.2,41.9,32.8,51.2,42.3,33,51.9,42.7,33.7,52,41.9,32.9,51.3,41.6,32.5,51,41.1,32.1,50.4,43,34.2,52.2,42.1,32.9,51.7
"South Carolina","Georgetown County",50.2,40.3,60.5,51.5,41.7,61.6,50.3,39.9,61.1,52,42.6,61.9,52,42.7,61.6,52.4,43.5,61.7,50.8,41.7,60.3,49.2,40.1,58.6,49.3,40.3,58.7,50.7,42,59.7,50.3,40.9,60.1
"South Carolina","Greenville County",46.9,37.5,56.6,48.6,39.5,58,47,37.3,57,49.4,40.5,58.6,49.2,40.1,58.6,50.5,41.6,59.7,49.9,41.2,59,49.9,41,59.1,50.4,41.5,59.7,52.4,43.8,61.2,51.2,42.9,59.9
"South Carolina","Greenwood County",41,32.9,49.4,43.5,35.4,51.8,42.8,34.3,51.7,44.6,36.5,53.1,45.2,36.9,53.9,46.4,38.3,54.8,45.3,37.2,53.6,44.9,36.9,53.3,45.2,37.2,53.4,48,40.3,56,46.8,38.8,55.1
"South Carolina","Hampton County",36,24.9,47.4,37.8,26.5,49.5,36.1,24.7,47.9,38.3,27.2,49.8,38.3,27.3,49.7,38.7,27.9,49.8,36.7,26.2,47.6,35.6,25.5,46,36.9,26.6,47.7,37.7,27.8,47.9,37.8,27.7,48.3
"South Carolina","Horry County",54,47.5,60.8,55.7,49.4,62.2,54.4,47.4,61.6,56.6,50.2,63.1,56,49.6,62.6,56.9,51,63.1,56.1,49.9,62.4,54.9,48.6,61.5,53.7,47.6,60,55.6,50,61.4,53.8,47.6,60.3
"South Carolina","Jasper County",36.6,28.2,45.3,41.5,32.6,50.8,40.5,31.4,49.9,41.7,33.4,50.3,42.2,33.9,50.8,43.1,35,51.5,42.4,34.5,50.7,41.1,34,48.4,42,34.9,49.4,43.5,37.2,50,43.3,36.7,50.1
"South Carolina","Kershaw County",42.9,33.5,52.5,44.1,34.9,53.5,43,33.2,53.2,44.7,35.1,54.8,44.5,34.4,54.9,44.7,34.8,55,44,33.8,54.6,43.8,33.5,54.4,43,33,53.3,44.5,34.9,54.4,43.8,33.8,54.2
"South Carolina","Lancaster County",36.6,28.4,45.1,37.9,29.7,46.3,37.1,28.5,46,39.4,31.2,47.8,38.8,30.4,47.5,39.7,31.1,48.7,40.6,31.2,50.4,40.2,30.4,50.4,41.5,31.7,51.5,43.9,34.5,53.6,42.5,33.1,52.3
"South Carolina","Laurens County",38.1,29.6,46.8,40.1,31.8,48.6,38.8,30.1,47.8,40.6,32.4,49.1,40,31.4,48.8,40,31.5,48.9,40.6,31.9,49.6,40.6,31.7,49.8,41.2,32.2,50.6,42.3,33.7,51.2,41.8,33.1,50.9
"South Carolina","Lee County",33.9,23.6,44.6,35.5,25.1,46.3,34.5,23.7,45.8,34.1,24,44.6,33.8,23.6,44.3,34.8,24.8,45.2,34.4,24.6,44.6,32.5,23,42.2,34.6,25.2,44.3,34.9,26.2,44,34,25,43.3
"South Carolina","Lexington County",51.4,41.3,61.8,53.2,43.3,63.5,52,41.4,62.9,53.8,43.9,64.1,53.7,43.5,64.3,54.8,44.7,65.3,54.2,44.1,64.6,54.1,43.8,64.7,54,43.6,64.9,55.5,45.4,66.1,54.4,43.6,65.5
"South Carolina","Marion County",33.2,24.7,42,34.8,26.1,43.9,33.9,24.7,43.4,35.9,26.9,45.1,34.8,26.3,43.6,36.2,27.8,44.9,36.7,27.8,45.9,35,26.4,44,34.5,26.6,42.7,35.7,28.1,43.5,36.1,27.9,44.7
"South Carolina","Marlboro County",33.9,25,43.1,34.7,25.6,44.1,33.5,24,43.3,35.5,26.4,45,35,25.8,44.5,35.2,26.1,44.7,34.9,26.2,43.9,33.3,24.5,42.4,33.3,25.1,41.8,35.1,27.3,43.2,34.9,26.6,43.5
"South Carolina","McCormick County",37.2,29,45.8,40.3,31.6,49.4,38.3,29.5,47.5,40.9,32.2,49.9,41.5,32.4,51,42.2,33.3,51.5,42.3,33.5,51.3,42.4,33.7,51.5,43.4,34.6,52.4,45.9,37.3,54.8,44.6,36.1,53.4
"South Carolina","Newberry County",46.2,34.4,58.5,47.5,36.1,59.3,46.5,34.5,58.8,48.3,37,60.1,49,37.3,61.2,49.7,38.1,61.7,49.3,37.6,61.5,48.8,37,61.1,49.2,37.3,61.5,51,39.4,63,50.7,38.6,63.3
"South Carolina","Oconee County",40.3,31.4,49.7,42.2,33.5,51.3,40.9,31.9,50.3,43.3,34.6,52.4,42.5,33.7,51.5,44.3,36.1,52.8,43.5,35.6,51.7,42.7,34.6,51,45.3,37.1,53.9,45.7,38.4,53.2,45.4,38.1,53
"South Carolina","Orangeburg County",40.5,29.8,51.7,42,31.1,53.2,40.8,29.4,52.5,41.8,30.9,53.1,40.3,29.5,51.4,41.9,31.1,53,40.3,29.7,51.2,39.9,29.2,51.1,39.9,29.1,51,42.8,31.8,54.2,41.6,30.3,53.3
"South Carolina","Pickens County",39.8,29.2,50.8,41.9,31.4,52.7,40.6,29.9,51.8,42.9,32.9,53.3,43.4,33.2,54,43.6,34.1,53.5,43.6,34.3,53.3,43.5,34.4,52.9,44.3,35.3,53.7,45.4,37,54.1,44.9,36.5,53.5
"South Carolina","Richland County",53.2,44.1,62.7,54.6,45.8,63.8,53.1,43.6,62.9,55.3,46.3,64.7,55.2,45.7,65,56.1,46.8,65.8,55.1,45.7,64.9,54.9,45.2,65,54.9,45,65.1,56.6,47.1,66.4,55.5,45.1,66.2
"South Carolina","Saluda County",38.1,27.1,49.5,40.6,29.8,51.8,40.1,28.7,51.9,41.1,30.7,51.9,41.5,31,52.5,42.6,32.5,53.1,42.2,31.7,53.1,42.3,31.5,53.4,42.6,31.7,53.9,45.5,34.6,56.7,45,33.7,56.8
"South Carolina","South Carolina",46.4,37.5,55.6,48.1,39.4,57.2,47,37.7,56.6,49,40.2,58,48.8,39.9,58.1,49.7,41,58.8,49.1,40.4,58.1,48.6,39.8,57.8,48.9,40.1,58.1,50.8,42.3,59.6,50,41.2,59.1
"South Carolina","Spartanburg County",41.9,34,50,43.6,36.1,51.3,42.4,34.3,50.7,44,36.7,51.6,45.2,37.4,53.2,46.5,38.8,54.5,46.4,38.4,54.7,46.5,38.2,55.1,46.6,38.3,55.2,48.1,40.4,56.1,47,39.4,54.8
"South Carolina","Sumter County",41.5,31.4,52,42.9,32.9,53.3,41.8,31.1,52.9,43.2,32.7,54.2,42.5,31.9,53.5,43.1,32.7,53.8,41.7,31.5,52.3,41.7,31.4,52.3,41.6,31.6,52,44.4,34.5,54.7,42.6,32.5,53
"South Carolina","Union County",35.8,25,47,36.9,26.4,47.8,35,24.2,46.2,36.8,26.6,47.3,35.3,25.2,45.7,37,26.9,47.5,36.5,26.1,47.2,34.1,23.6,44.9,34.9,24.3,46,36.2,26.2,46.6,35.1,25.2,45.4
"South Carolina","Williamsburg County",34.2,23.2,45.7,35.8,24.4,47.6,34.8,23.2,46.9,36.1,24.9,47.7,35.8,24.8,47.2,34.6,24.4,45.2,35.1,25,45.6,34.1,24.4,44.2,35.3,25.8,45.1,37.1,27.7,46.9,35.8,25.9,46
"South Carolina","York County",48.3,38.4,58.6,49.6,40.2,59.3,48.3,38.6,58.5,50.7,41.8,59.9,50.8,41.7,60.3,51.8,42.9,61,52.1,43,61.6,51.8,42.3,61.7,51.2,41.5,61.2,52.5,43.7,61.5,52.3,43.5,61.5
