"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"South Dakota","Aurora County",61.1,51.7,70.9,62.3,53,71.8,61.5,52.2,71.2,61.8,52.4,71.5,60.1,51,69.5,59.8,50.1,69.9,60.7,51.3,70.5,62.8,53.1,72.9,62.8,53.7,72.1,63.2,54.2,72.4,62.5,53.2,72
"South Dakota","Beadle County",58.9,49.5,68.7,59,49.4,68.9,57.1,47.4,67.2,57.3,47.6,67.4,56.6,47.4,66,56.8,47.1,66.9,58.4,49.4,67.7,58.7,49.8,68,58,49.8,66.5,58.6,50.5,67.1,57.7,49.4,66.4
"South Dakota","Bennett County",46.9,38.5,55.7,48.1,39.6,56.9,47,38.4,56,45.5,37.1,54.2,44.5,36.4,52.9,44.3,35.6,53.2,44,35.7,52.6,44.2,35.3,53.4,43.5,35,52.2,41.9,33.3,51,41.8,33,50.8
"South Dakota","Bon Homme County",61.6,53.5,69.9,62.7,54.8,70.8,61.6,53.5,69.9,61.3,53.1,69.9,60.3,52.6,68.4,59.5,51.4,67.9,60.2,52.2,68.6,60.3,52.5,68.5,60.1,53,67.5,60.8,53.8,68.1,60.7,53.5,68.2
"South Dakota","Brookings County",61.6,53.4,70,62.3,54.3,70.6,60.4,52.2,68.9,60,51.8,68.6,60.4,53,68,60,52.3,68,61.6,54.1,69.3,61.8,54.5,69.5,60.7,54.1,67.6,62.2,55.9,68.8,61.7,55.2,68.3
"South Dakota","Brown County",65.7,58.5,73.2,66.4,59.3,73.8,64.8,57.5,72.2,64.3,57.5,71.4,64.2,58.1,70.5,64.1,57.2,71.2,64.5,57.6,71.7,64.8,58,71.9,63.9,57.7,70.3,64.5,58.6,70.5,63.1,57,69.4
"South Dakota","Brule County",61.4,52.4,70.8,61.9,52.8,71.4,60.1,50.4,70.1,60.4,50.5,70.7,58.8,49,69.1,59.1,48.6,69.9,60.4,49.8,71.5,59.7,48.7,71,59.1,48.2,70.4,59.6,48.8,70.9,58.6,47.5,70.2
"South Dakota","Buffalo County",41.3,33,49.9,41.7,33.2,50.5,37.3,28.8,46.1,32.7,24.1,41.6,30.5,22.4,38.8,29.2,19.9,38.8,32.9,23.8,42.2,28.7,20,37.6,28.1,20.6,36,27.8,20.3,35.6,27.4,19.7,35.4
"South Dakota","Butte County",57.4,47.8,67.3,58.6,49.3,68.1,57.3,48.4,66.4,57.6,49.8,65.7,58.2,51.7,65,57.5,50.6,64.6,58,52,64.2,57.9,52.1,64,56.3,51.2,61.7,56.8,51.9,61.8,55.9,50.6,61.4
"South Dakota","Campbell County",63.2,52.5,74.4,62.4,51.7,73.5,62.2,51.7,73,62.2,52.3,72.5,61.1,52,70.5,61.3,51.8,71.1,62.3,53,71.9,62.5,53.6,71.7,60.8,52.1,69.9,62.3,54,70.9,61.5,52.8,70.4
"South Dakota","Charles Mix County",57.1,47.3,67.2,56.9,47.1,67.1,54.7,44.4,65.3,52.5,41.7,63.7,53.3,43.1,63.9,52.1,41.1,63.5,52.3,41,64.1,52.1,40.4,64.2,51.3,40,62.9,50.8,39.3,62.7,49.5,37.8,61.6
"South Dakota","Clark County",57.4,46.7,68.6,58,47.2,69.3,57,45.9,68.5,57,45.9,68.5,56.9,46.4,67.8,57.3,46.2,68.9,58.6,47.8,69.7,58.6,47.6,70.1,58.6,48.5,69,58.9,48.9,69.4,57.4,46.9,68.3
"South Dakota","Clay County",61.8,56.3,67.5,63.1,57.6,68.8,60.9,55,67,60.7,54.5,67.2,61.1,55.5,67,61.3,55.2,67.6,61.7,55.5,68.2,62.3,55.5,69.3,62.7,56.5,69.1,62.1,55.5,68.9,60.8,54,67.8
