"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Tennessee","Anderson County",28.4,21.7,35.3,31.6,24.3,39.1,31.1,24.6,37.8,33.2,26.4,40.2,32.1,26.4,38.1,33.3,26.4,40.5,35.4,28,43,32.9,25.9,40.1,35.1,28.2,42.3,37.7,30.2,45.4,37.8,31,44.8
"Tennessee","Bedford County",28.4,20.6,36.4,30.7,22.1,39.6,30.6,22.5,39,32.3,23.7,41.3,29.9,22.1,38.1,31.4,22.3,40.9,32.2,22.5,42.3,30.2,20.3,40.4,31.1,21.2,41.5,34.6,23.6,45.9,35.4,25.4,45.8
"Tennessee","Benton County",24.3,16.6,32.3,26.8,18.7,35.2,26.7,19.1,34.5,28,20.2,36.1,26.8,19.6,34.3,28.4,20.4,36.7,29.3,21.4,37.4,27.4,19.4,35.7,29.1,21.4,37.1,31.1,22.5,39.9,30.4,22.7,38.4
"Tennessee","Bledsoe County",21.8,15.6,28.3,25.2,17.8,32.8,24.9,18,32,26.1,19,33.5,25.1,18.7,31.7,27,19.4,34.9,27.2,19.8,34.9,24.9,17.3,32.7,26.8,19.2,34.7,29.1,20.9,37.6,29,21.6,36.7
"Tennessee","Blount County",30.4,22.6,38.4,33.8,25.3,42.6,33.6,26.2,41.2,35.5,28.4,42.9,33.7,27.9,39.8,35.8,28.8,43,36.8,29.9,43.9,33.8,27.1,40.7,35.3,29.4,41.4,37.7,31.2,44.4,39,33.4,44.8
"Tennessee","Bradley County",25.8,17.4,34.5,29.2,20,38.8,28.9,20.8,37.2,30.6,22.7,38.8,28.2,21.9,34.8,29.9,22.8,37.3,31,24.1,38.2,28.4,22.1,34.9,29.3,23.8,35,31.4,25.8,37.3,33.2,28.1,38.4
"Tennessee","Campbell County",19.3,14.4,24.5,22.5,16.5,28.7,22.6,17.1,28.2,24.2,18.3,30.4,23.5,18.4,28.8,25.2,19.1,31.6,27,20,34.3,24.8,17.8,32,27,19.9,34.3,28.4,20.7,36.4,29.4,22,37.1
"Tennessee","Cannon County",23.2,16,30.5,26.2,18.4,34.3,26.1,19,33.5,27.6,20.3,35.2,26.4,19.9,33.1,27.5,20.2,35.1,28.4,20.8,36.3,26.7,19.1,34.6,28.6,21.1,36.4,29.9,21.9,38.2,32.1,24.9,39.5
"Tennessee","Carroll County",23,14.7,31.6,25.2,16.1,34.5,25.1,16.5,34,26.1,17.2,35.4,25.5,17.6,33.6,26.2,17.7,35,27.9,19.6,36.5,26.4,17.8,35.2,27.7,19.3,36.4,30.4,21.4,39.8,30.8,22.5,39.4
"Tennessee","Carter County",22.4,16.9,28.1,25.5,18.9,32.2,25.1,18.6,31.9,26.6,19.9,33.6,24.5,19,30.3,26.2,19,33.6,27.1,19.8,34.7,24.9,18.4,31.5,26,19.7,32.4,30.3,22.8,38.1,31,24.1,38.1
