"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Texas","Anderson County",44.5,36.9,52.4,46.7,38.4,55.2,44.2,36.5,52.2,44.6,37.1,52.5,44.5,37.1,52.1,44.8,37.6,52.3,44.9,37.3,52.8,44.9,37.3,52.8,45.4,37.9,53.2,45.3,38,52.8,43.8,35.5,52.3
"Texas","Andrews County",39.6,28.6,50.9,41.2,30,52.9,40.6,30.2,51.4,40.5,30.3,51,40.3,30.7,50.2,41.2,32.1,50.6,43,33.3,53.2,44.1,34.4,54.1,44.7,35.8,53.8,45.7,37.2,54.5,44.7,35.3,54.6
"Texas","Angelina County",40.6,31.4,50.1,42.9,33.4,52.9,40.6,31.6,50.1,41.2,32.6,50.1,42.3,34.1,50.9,41.7,34,49.7,42.6,34.8,50.7,44.5,36.7,52.6,44.2,37.5,51.2,44.8,38.3,51.6,42.6,34.9,50.6
"Texas","Aransas County",54.7,45.6,64,56.9,47.7,66.4,54.7,45.6,64.1,54.8,46.6,63.3,54,46.2,62.1,56.2,49.1,63.5,56.2,48.2,64.5,56.2,48.3,64.5,54.7,47.2,62.4,56.3,49.6,63.3,54.5,46.4,62.8
"Texas","Archer County",43.3,32.4,54.6,44.9,33.7,56.4,43,32.5,53.9,43.5,33.3,54.2,42.9,33.1,52.9,44.2,35.1,53.7,44.4,35.1,54.2,44,35,53.4,43,34.8,51.5,43.3,35.5,51.4,42.2,33.5,51.2
"Texas","Armstrong County",45.7,33.6,58.1,47.6,35.4,60.3,46.3,34.9,58.1,46.7,35.9,57.8,46.2,36.5,56.2,42.9,33.6,52.6,43.9,34.5,53.6,45,36.3,54,44.4,36.2,52.8,44.2,36.5,52.2,42.4,33.7,51.5
"Texas","Atascosa County",45.6,32.9,58.8,47.8,34.9,61.1,45.9,33.7,58.5,45.9,34.2,57.9,45.8,34.6,57.4,47.1,36.4,58.1,48,36.6,59.9,48.8,37.5,60.4,47.7,37.5,58.2,47.8,38.4,57.6,46.8,36.2,57.7
"Texas","Austin County",55.1,45.8,64.6,56.5,46.7,66.6,55.2,45.8,65,54.8,45.5,64.5,54.1,45.2,63.3,54.8,46.4,63.6,55.8,46.7,65.3,57.1,47.9,66.7,56.4,48,65.1,56.8,48.4,65.5,54.7,45,64.7
"Texas","Bailey County",39.2,26.3,52.5,40.1,27,53.6,38.8,26.6,51.5,39.5,27.8,51.6,39,28.3,50.1,39.8,29.8,50.2,41.7,31.5,52.2,43.1,33.6,52.9,40.5,31.8,49.6,41.4,33,50.1,40,30.6,49.7
"Texas","Bandera County",56.4,47.9,65.3,57.8,48.6,67.2,55,45.9,64.4,53.7,44.3,63.3,53.3,44.2,62.8,54,45.2,63.2,55.1,45.4,65.2,56.1,46.8,65.7,54.6,45.9,63.6,55.8,47.5,64.5,53.4,43.7,63.6
"Texas","Bastrop County",52,43.3,61,53.6,44.3,63.2,51.8,42.9,61.1,52,43.1,61.3,50.9,42.2,59.9,51.6,43.2,60.2,53.2,44.1,62.7,52.8,43.5,62.5,52.1,43.6,60.9,53.2,45,61.7,51.2,41.8,61.1
"Texas","Baylor County",39.5,28.4,50.9,41.5,30,53.5,39.8,28.8,51.3,42.2,31.4,53.4,39.6,29.3,50.3,40.1,30.2,50.3,40.9,30,52.2,41.5,30.9,52.4,37.7,27.1,48.7,38.2,28,48.8,36.8,25.8,48.2
"Texas","Bee County",47.9,37,59.3,51.3,39.9,63.1,49.1,38.1,60.6,48.5,37.9,59.4,48,37.9,58.5,50.1,40.4,60.2,49.5,38.9,60.5,51.2,40.6,62.2,51.1,41.2,61.5,51.6,42.3,61.2,49.9,39.4,60.7
"Texas","Bell County",52.5,43.1,62.3,53.8,44.1,63.9,52.2,42.9,61.8,52.3,43.1,61.8,51.6,42.6,60.9,51.8,43.1,60.8,52.8,43.6,62.3,53.3,44.3,62.7,53.5,44.8,62.5,53.6,45.1,62.3,52.1,42.6,62
"Texas","Bexar County",56.4,47.5,65.7,58.1,49.1,67.3,56.1,47.6,64.9,56.5,48.5,64.9,55.7,48,63.6,56.4,49.3,63.8,57.1,49.5,65,58.2,51.3,65.3,58,52.2,64.1,59.2,54.6,64,55.8,49.4,62.4
"Texas","Blanco County",54.2,44.6,64.1,55.6,45.7,65.9,53.4,43.7,63.5,53.5,43.7,63.7,54.4,45.1,64,55.3,46.3,64.6,55.5,45.8,65.5,55.7,46.4,65.3,55.1,46.6,63.9,56.9,48.9,65.1,54.7,45.4,64.4
"Texas","Borden County",40.5,28.8,52.7,41.8,29.2,54.9,39.3,27.1,52,38.2,25.9,50.9,36,24,48.5,36,24,48.5,36.1,24.2,48.3,35.6,24.1,47.5,35.3,24.7,46.2,36,25.6,46.8,35.3,24,47
"Texas","Bosque County",47.7,37.3,58.5,50.2,39.5,61.3,48.9,38.9,59.4,49,39.1,59.2,48.5,39.1,58.3,48.4,39.5,57.5,51.6,42.3,61.3,51.3,41.9,61.1,50.3,41.5,59.3,51.8,43.5,60.5,50.1,40.7,59.8
"Texas","Bowie County",39.3,31.1,47.8,41.7,32.8,50.9,40.2,31.8,49,41,32.6,49.7,41.9,33.8,50.3,42.3,34.2,50.7,43,34.6,51.7,43.8,35.8,52.1,43.9,36,52,44.7,36.7,52.9,42.9,33.9,52.3
"Texas","Brazoria County",52.9,42.6,63.6,54.2,43.6,65.3,51.7,41.3,62.4,51.7,41.8,61.8,50.7,41.6,60.1,51.7,43.2,60.6,53,44,62.3,54,45.2,63.1,52.9,45.1,61,54.4,47,62.1,51.9,43.1,60.9
"Texas","Brazos County",56.1,47.5,65.1,57.6,48.6,66.9,55.3,46.6,64.3,52.8,44.5,61.3,52.3,44.4,60.5,52.3,44.7,60.2,53.5,45.3,62.1,53.2,45.2,61.5,52.6,45.2,60.2,54.1,46.7,61.7,52.6,44.2,61.3
"Texas","Brewster County",55.9,48.5,63.5,57.3,49.2,65.7,54.1,46.1,62.5,54.7,46.4,63.3,55.6,47.7,63.8,56.7,49,64.7,56.2,47.1,65.6,56.2,47.8,64.9,58,49.9,66.5,55.8,46.9,64.9,54.6,44.7,64.9
"Texas","Briscoe County",33.7,20.8,47.1,35.4,22,49.3,34.3,21.7,47.4,37.9,25.7,50.5,38.4,26.9,50.3,39,28.3,50.2,40.8,30,52,37.3,27.2,47.7,36.9,27.9,46.2,37.3,28.7,46.3,35.7,26.1,45.7
