"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Vermont","Addison County",66.2,59.9,72.7,67.3,61.7,73.2,66.4,60.7,72.4,66.9,61.5,72.5,66.8,61.1,72.7,67.6,61.5,74,68.3,62.8,74.1,69.2,63.5,75.2,69.4,63.5,75.5,69.5,63.7,75.5,69.1,63.3,75.1
"Vermont","Bennington County",64.5,58.2,71.1,65.9,60.2,71.8,64.9,59.2,70.8,65.4,60,71.1,65.3,59.4,71.4,66.1,59.8,72.7,66.2,60.2,72.3,66.9,61.2,72.8,67.4,61.6,73.3,67.3,61.6,73.3,67.1,61.4,73.1
"Vermont","Caledonia County",63.3,56.6,70.1,64.6,58.6,70.9,63.7,57.7,69.8,64,58.5,69.7,64.1,58.4,70.1,64.7,58.6,71,65.1,59.5,70.9,65.4,59.6,71.3,65.2,59.3,71.3,65.4,59.7,71.3,64.9,59.4,70.6
"Vermont","Chittenden County",71.3,65.5,77.3,72.1,66.9,77.4,71.1,65.8,76.5,71.3,66.4,76.4,71.1,66,76.4,71.9,66.4,77.6,71.8,66.6,77.1,72.2,66.8,77.7,72.1,66.5,77.8,72,66.6,77.5,71.5,66.3,76.9
"Vermont","Essex County",59.6,50.9,68.7,61.8,53.9,70,61.2,53.2,69.4,61.8,54.2,69.7,61.7,54.4,69.4,62.5,54.5,70.7,62.8,55.5,70.5,63.7,56.5,71.2,64,56.2,71.9,64.1,56.5,72,63.7,56.2,71.5
"Vermont","Franklin County",63.5,55.6,71.6,64.9,57.9,72.1,64.2,57.3,71.4,64.8,58.2,71.6,64.6,58,71.5,65.3,58.3,72.5,65.6,59.2,72.3,66.4,59.8,73.3,66.6,59.7,73.7,66.6,59.8,73.6,66.3,60,72.9
"Vermont","Grand Isle County",67.1,61.2,73.3,68.5,63.3,73.7,67.6,62.4,73,68.2,63.1,73.4,67.9,62.5,73.5,68.3,62.1,74.7,68.4,62.3,74.8,69.3,62.9,75.9,69.5,62.8,76.4,69,62.2,76,68.8,62.5,75.5
"Vermont","Lamoille County",67.5,61.5,73.7,68.9,63.6,74.4,67.9,62.7,73.3,68.3,63.4,73.4,68.1,62.9,73.6,68.9,63.6,74.5,69.6,64.7,74.7,69.8,64.6,75.1,70,65,75.2,69.9,65,74.9,69.7,65.4,74.2
"Vermont","Orange County",64.4,58.2,70.7,65.6,60.1,71.3,64.5,59,70.1,65.1,60,70.5,65,59.6,70.7,65.8,60.1,71.8,66.1,60.6,71.9,66.4,60.7,72.3,66.4,60.5,72.5,66.2,60.4,72.2,65.7,59.7,71.9
"Vermont","Orleans County",61,54.1,68.1,62.9,57,69,62.4,56.5,68.6,63.2,57.8,68.8,63.4,58,68.9,64,58.1,70.1,64.5,59,70.2,65.4,59.7,71.4,65.5,59.4,71.8,65.4,59.6,71.5,65.3,60,70.8
"Vermont","Rutland County",63.3,55.7,71.2,64.3,57.4,71.5,63.1,56.1,70.3,63.6,57.1,70.2,63.3,56.7,70.1,63.9,57,71,64.1,57.7,70.6,64.3,58,70.8,64.7,58.3,71.3,64.6,58.3,71.1,64.3,57.9,71
"Vermont","Vermont",66.7,60.4,73.3,67.9,62.2,73.8,66.9,61.2,72.8,67.3,61.9,72.9,67.1,61.6,72.9,67.9,61.9,74,68.1,62.6,73.8,68.7,63.1,74.5,68.8,63,74.8,68.7,63.1,74.6,68.4,62.9,74.2
"Vermont","Washington County",68.5,63.7,73.5,69.5,65.3,73.9,68.5,64.3,72.8,69,65,73.1,68.7,64.6,73,69.5,65,74.1,69.9,65.8,74.1,70.6,66.3,75.1,70.5,66,75.1,70.6,66.4,75,70.2,66.1,74.4
"Vermont","Windham County",65.9,59.1,73,67,60.8,73.5,65.7,59.5,72.2,65.9,59.7,72.3,65.3,59,71.8,65.9,59.2,72.9,66.1,60,72.4,66.7,60.7,72.9,66.4,60.1,73,66.5,60.1,73.1,66.1,59.7,72.7
"Vermont","Windsor County",67.9,61.2,74.7,69,63.1,75.2,68,62,74.3,68.6,62.9,74.5,68.4,62.5,74.5,69.2,62.8,75.8,69.5,63.5,75.7,70.3,64.2,76.6,70.8,64.7,77.1,70.6,64.6,76.8,70.6,64.7,76.7
