"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Virginia","Accomack County",47.5,37.2,58.2,49.6,39.8,59.7,48.2,38.3,58.5,48.5,39.3,58.1,48.8,39.1,58.7,49.5,39.9,59.5,48,38.5,57.9,48.7,39.6,58.2,47.3,38,56.9,49.2,40.5,58.2,48.1,39.3,57.3
"Virginia","Albemarle County",62.9,55.9,70.3,63.5,56.9,70.4,61.9,54.7,69.4,63.6,57,70.4,63.1,56.2,70.3,63.4,56.4,70.6,63.4,56.3,70.7,62.3,55.1,69.7,61.6,53.9,69.7,63,55.5,70.7,62.3,54.5,70.2
"Virginia","Alexandria City",66.9,61.3,72.8,68.2,62.9,73.7,66.9,61,73,67.7,61.9,73.7,67.3,61,74,67.8,61.3,74.6,68.4,61.5,75.4,68.1,61.4,75.1,67.4,60.2,74.8,69,62,76.3,67.9,60.3,75.7
"Virginia","Alleghany County",47.3,35.5,59.5,47.4,36.4,58.9,45.5,34.2,57.2,46.7,36.2,57.6,45.9,35.2,57.1,46.2,35.6,57.3,45.2,34.7,56.1,44.2,33.6,55.2,43.6,32.7,54.9,45,34.5,56,44.8,34.3,55.7
"Virginia","Amelia County",44.2,34.6,54.3,44.9,35.6,54.5,43.7,34,53.8,44.7,35.6,54.1,44.4,35,54,44.9,35.7,54.4,44.8,35.5,54.5,44.3,35.7,53.1,43.9,34.7,53.4,45.2,36.4,54.3,44.5,35.7,53.7
"Virginia","Amherst County",43.8,33.6,54.4,44.9,35.3,54.8,43.7,33.9,53.8,45.3,36.4,54.5,45.5,36.7,54.7,46,37.3,55,45.6,37,54.6,45.1,36.5,54,44.7,35.8,53.9,46.4,38,55.1,45.3,36.9,54.1
"Virginia","Appomattox County",38.7,27.5,50.3,40.1,29.3,51.3,39.8,28.7,51.4,41.8,31.2,52.9,42.2,31.5,53.3,43.5,32.8,54.7,43.9,33.4,54.7,44.2,33.9,54.9,44.5,34,55.3,46,36,56.4,44.7,34.7,55.1
"Virginia","Arlington County",69.1,62.6,75.9,70.2,64.4,76.2,68.9,62.7,75.2,69.2,63.4,75.1,68.9,62.8,75.2,69.9,63.9,76.1,70,64,76.3,70.4,64.9,76.1,69.8,64.4,75.5,71.1,66.3,76,70,64.7,75.5
"Virginia","Augusta County, Waynesboro City",48.6,39.8,57.6,49.6,41.3,58.1,48.3,39.7,57.2,49.8,41.9,58,49.8,41.6,58.3,50.1,41.8,58.7,50.2,41.6,59.1,49.4,40.5,58.7,48.5,39,58.3,50.2,40.9,59.8,50.2,40.8,59.9
"Virginia","Bath County",43.7,32.5,55.3,44.6,33.8,55.8,43.7,32.6,55.1,47.6,36.6,59,47.8,36.5,59.5,48.5,37.2,60.2,48.2,36.6,60.2,48,36.7,59.7,49,37.5,60.8,51.3,40.2,62.9,50.7,39.5,62.2
"Virginia","Bedford County, Bedford City",48.2,39.4,57.4,48.9,40.6,57.4,47.4,38.6,56.5,48.4,40.5,56.6,48.6,40.5,57.1,49.1,41,57.5,48.6,40.5,57,48,39.5,56.7,47.3,38.6,56.3,48.4,40.1,57,47.4,38.9,56.2
"Virginia","Bland County",32.4,22,43.2,33.5,23.7,43.7,32.7,22.8,43.1,34.5,25.1,44.2,35.2,25.6,45.3,36.1,26.6,46.1,35.4,26,45.1,34.6,25.5,44.1,35.3,26,44.9,36.9,27.8,46.4,35.9,26.9,45.3
