"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Washington","Adams County",40.7,29.4,52.5,42.5,31.4,54,40.8,29.2,52.8,41.6,29.9,53.7,39.8,28.4,51.5,40.5,28.5,52.9,40.1,28.1,52.6,41,28.3,54.3,41.5,28.5,55.1,42.6,29.2,56.6,42.4,28.4,56.9
"Washington","Asotin County",55.6,47.6,63.9,56.9,49.7,64.3,54.7,47.4,62.3,55.5,48.7,62.4,55.6,49.8,61.7,56.2,49.9,62.7,54.7,49.1,60.5,56.1,50.1,62.3,57.2,51.5,63.1,57,51.7,62.4,56.5,50.3,63
"Washington","Benton County",55.9,48.5,63.6,56.8,50.1,63.7,54.7,47.6,62,55.8,49,62.9,54.5,48,61.3,55.4,48.4,62.7,54.5,47.9,61.4,56.6,49.9,63.6,57.6,51.1,64.4,58.8,52.4,65.5,57.4,49.9,65.1
"Washington","Chelan County",57.1,48.8,65.6,57.9,50.5,65.6,55.7,48,63.7,56.3,48.8,64,55.5,48.4,63,55.2,48.1,62.7,54.7,47.9,61.8,55.2,48.6,62,55.9,49.9,62.2,55.8,50.3,61.5,55.7,49.9,61.7
"Washington","Clallam County",60.9,53.7,68.3,61.9,55.6,68.3,59.9,53.5,66.5,60.7,54.8,66.8,59.3,53.9,64.8,60.1,54.8,65.7,58.7,53.6,64,59.1,53.8,64.6,59.6,54.5,64.8,61,55.9,66.2,60.9,55.8,66.3
"Washington","Clark County",59.5,53.9,65.4,60.4,55.7,65.2,58.5,53.7,63.5,59.6,55,64.3,59.2,55.1,63.4,59.5,55,64.3,59,54.6,63.4,59,54.2,64,59.7,55.1,64.4,60.6,56.9,64.3,60.9,56.8,65.1
"Washington","Columbia County",55.8,48.2,63.6,56.3,50,62.9,54.7,48.2,61.5,55.5,49.6,61.6,54.2,48.6,60,54.7,48.9,60.6,54.1,49.2,59.2,54.2,48.8,59.7,55.5,50.3,60.9,55.7,50.8,60.9,55.2,49.6,61.1
"Washington","Cowlitz County",56.1,49.8,62.7,57.1,51.8,62.6,54.9,49.2,60.8,56,50.5,61.6,54.8,49.8,60.1,55,49.4,60.8,54.7,49.1,60.4,55,48.8,61.4,54.6,49,60.5,56.3,51.2,61.5,56.7,51.4,62.3
"Washington","Douglas County",56.3,48,64.9,57.8,50.5,65.3,56.1,48.7,63.8,56.6,49.8,63.8,57.1,50.6,63.9,58,51.5,64.8,57.5,51.6,63.7,58.7,53.2,64.4,60.7,56.1,65.5,60.7,56.9,64.6,61,57,65.2
"Washington","Ferry County",54.5,47.8,61.4,56.6,50.2,63.2,54.4,48.2,60.9,55.7,50.2,61.4,54.3,49.2,59.6,53.7,48.8,58.9,53.4,49.6,57.3,54.3,49.9,58.8,55.9,51.3,60.6,56.2,52.1,60.5,56,51.1,61.1
"Washington","Franklin County",44.9,34.7,55.5,46.5,36.8,56.5,44.5,34.7,54.8,45,35.5,54.9,42.9,33.8,52.2,45.3,35.5,55.5,44,34.5,54,45.5,35.7,55.7,46.6,37.2,56.5,45.2,36.2,54.6,45.9,36,56.2
"Washington","Garfield County",52,43.2,61,55,47.4,63,54,46.4,61.8,55.2,48,62.6,55.6,49.2,62.2,56.7,50.3,63.2,57.5,52.2,63,60.9,55.8,66.3,64.3,59.5,69.2,66,62,70.2,64.9,60,70
"Washington","Grant County",46.5,37.5,55.9,48.1,39.7,56.9,46.4,37.5,55.6,47.5,38.8,56.5,45.7,37.4,54.4,47.3,38.5,56.5,47.7,38.9,56.8,48,38.8,57.5,48.4,39.1,58,50,40.8,59.5,49.9,40,60.1
"Washington","Grays Harbor County",54.5,48.4,60.7,56.1,50.7,61.6,54,48.1,60.1,55.3,49.4,61.4,54.7,49.1,60.5,56.2,50.2,62.4,55.5,49.8,61.4,55.1,48.8,61.8,57.4,51.1,64,57.3,51.4,63.5,57.4,51.3,63.8
"Washington","Island County",65,58.3,71.9,65.8,60,71.8,63.8,57.6,70.2,65,59.3,70.9,64.5,59.2,70,64.4,59.1,69.8,64.4,59.6,69.3,65.5,60.6,70.6,66.1,61.5,70.9,66.6,62.4,71.1,66.8,62.2,71.6
"Washington","Jefferson County",69.4,63.6,75.4,70.2,65.3,75.2,68.1,63,73.4,68.9,64.2,73.9,67.8,63.5,72.3,68,63.8,72.3,66.5,62.7,70.4,66.8,62.9,70.8,68.5,64.9,72.2,68.4,65.1,71.8,68.4,64.9,72.1
"Washington","King County",67.1,61.6,72.8,67.5,62.9,72.2,65.2,60.2,70.5,66,61.1,71.2,65.3,60.6,70.2,65.2,60.6,70,64.8,60.5,69.2,65.2,60.7,69.9,65.5,61.4,69.6,66.2,62.9,69.7,66.4,63,69.8
"Washington","Kitsap County",62.4,55.8,69.3,62.8,57,68.7,60.6,54.5,67,61.6,55.7,67.6,60.8,55.4,66.5,60.9,55.5,66.4,59.8,54.8,64.9,61.4,56.5,66.5,61.5,57.1,66.1,62.2,58.2,66.4,62.1,57.7,66.6
"Washington","Kittitas County",63.6,56.5,71,65,58.9,71.3,62.9,56.6,69.5,61.6,56,67.5,61.4,56.2,66.7,63.1,58,68.3,63.5,58.9,68.3,63.7,59.6,68,65.1,61.5,68.7,64.1,61.5,66.8,65.1,62.2,68.1
"Washington","Klickitat County",52.8,44.1,61.7,54.3,46.7,62.2,53.2,45.6,61,54.3,47.6,61.4,53.6,47.6,59.7,54.9,48.7,61.4,54.5,48.5,60.6,55.9,50.3,61.7,58,53,63.2,59.4,54.9,64.1,58.6,53.7,63.7
"Washington","Lewis County",54.2,47,61.7,55.3,48.9,62,52.8,46,59.9,53.1,46.5,60,53.3,47,59.9,53.1,46.4,60,52.7,46.1,59.5,52.8,45.8,60,53.3,46.7,60.3,55,48.7,61.6,54.6,48,61.4
"Washington","Lincoln County",57.7,50.1,65.6,59.4,52.8,66.4,57.5,50.4,64.8,59.2,52.6,66,58.2,52.1,64.6,59.6,53.3,66,59.2,53.4,65.2,60.4,54.5,66.6,63.5,57.4,69.9,64.4,58.6,70.4,63.4,56.8,70.3
"Washington","Mason County",59.8,53.2,66.7,61,55.1,67,59.2,53,65.7,59.6,53.8,65.7,60.3,54.9,65.9,60.3,54.7,66,58.4,53.4,63.7,59,53.7,64.4,60.2,55.1,65.5,61.6,56.8,66.5,61.2,56.1,66.5
"Washington","Okanogan County",53.8,45.8,62.2,55.5,48.4,62.9,53.6,46.4,61.1,53.9,47.2,60.8,54.1,47.8,60.7,52.5,46.4,58.9,54,48,60.2,55.5,49.4,61.8,55.3,50,60.9,56.3,51.3,61.5,56,50.5,61.6
"Washington","Pacific County",54.8,48,61.8,57.7,51.5,64.2,55.7,49.1,62.5,57.1,50.4,64,56.7,50.3,63.2,57.1,50.5,63.9,57.9,51.6,64.4,58.2,51.6,65.1,60.2,53.7,66.9,61.8,55.7,68.1,62,55.7,68.5
"Washington","Pend Oreille County",55.7,46.6,65.2,58,50.1,66.1,56.7,49.1,64.6,57.7,51.2,64.4,58.2,52.5,64.1,58.9,53.5,64.4,58.3,54.5,62.4,59.5,55.1,64.1,61.6,58,65.4,62.6,60.1,65.3,62.1,58.7,65.6
"Washington","Pierce County",59.9,53,67.1,60.4,54.3,66.7,57.8,51.3,64.5,58.9,52.6,65.3,57.9,52.1,63.9,58.1,52.1,64.4,57.4,51.8,63.1,57.8,52,63.7,58.8,53.5,64.4,59.4,54.6,64.4,59.3,54.1,64.8
"Washington","San Juan County",73.8,68.9,78.9,74.9,70.8,79.2,73,68.7,77.4,73.3,69.5,77.4,72.6,69.1,76.2,72.7,69.4,76.2,72.3,69.3,75.4,72.6,69.5,75.8,72.7,69.9,75.6,73,70.5,75.5,73.1,70.4,75.8
"Washington","Skagit County",59.4,52.5,66.5,60.3,54.3,66.5,58.2,51.9,64.7,59.2,53.3,65.3,58.6,53.1,64.4,59.5,54,65.3,59.6,54.5,64.9,60.7,55.4,66.3,61.4,56.3,66.6,61.4,56.7,66.2,61.5,56.5,66.8
"Washington","Skamania County",57.5,49.7,65.6,60.2,53.5,67.1,58.3,51.6,65.3,59.9,53.7,66.4,59.2,53.7,64.9,59.9,54.3,65.7,59.8,54.9,64.9,61.6,56.7,66.6,62.6,58.3,67.1,63.3,59.8,67,63.3,59.6,67.2
"Washington","Snohomish County",60.5,53.5,67.9,61.2,54.9,67.6,59.2,52.7,66,60.4,54.2,66.8,60,54.1,66.1,60,54.4,65.8,59.5,54.4,64.8,59.7,54.5,65,61,56.3,65.9,61.5,57.3,65.7,61.7,57.4,66.1
"Washington","Spokane County",61.1,54.4,68.1,62.2,56.4,68.3,60.3,54.2,66.6,61.4,56,67,61,56.1,66.1,60.7,55.5,66,60,55.8,64.4,60.6,56.1,65.3,61.8,57.2,66.6,62.4,58,66.8,61.4,56.1,66.9
"Washington","Stevens County",55.9,47.4,64.8,57.7,50.2,65.4,56.1,48.3,64.2,56.9,49.7,64.3,56.8,49.9,63.9,56.1,49.1,63.4,56.9,50.5,63.5,57.2,50.4,64.2,58.3,51.6,65.1,58,51.9,64.3,57.9,50.9,65.2
