"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"West Virginia","Barbour County",31.4,21.6,41.6,32.3,22.7,42.2,30.9,21.2,41,31.4,22.1,41,31.9,22.2,42,31.6,21.9,41.6,31.6,22,41.6,30.5,20.5,40.8,30.6,19.5,42.1,31.2,20.3,42.5,31.5,20.5,42.8
"West Virginia","Berkeley County",42.1,33.4,51.1,43.4,35.5,51.6,41.6,33.7,49.8,43,35.8,50.4,43.6,36.1,51.3,44.1,36.9,51.6,43.9,37.2,50.9,43.6,37.1,50.3,42.8,36.8,49,44.1,39.1,49.2,43.9,38.8,49.1
"West Virginia","Boone County",23.4,13.9,33.2,23.9,14.8,33.3,22.8,13.9,32.1,23.8,15.2,32.7,24.1,15.2,33.3,25,16,34.5,24.3,15.8,33,23.3,15.2,31.7,23.6,15.4,32.1,24.3,16.2,32.8,22.7,14.6,31.1
"West Virginia","Braxton County",29.8,17.9,42.1,29.4,18.3,40.9,27.9,17.2,38.9,28.1,18.3,38.3,28.6,18.7,38.9,28.5,19,38.4,27.8,18.7,37.3,26.2,17.7,35,25.2,16.5,34.3,27,18.2,36,26.9,18.1,36
"West Virginia","Brooke County",46.9,35.6,58.7,47.3,36.2,58.8,43.8,31.9,56.1,43.9,32.8,55.3,42.7,32.6,53.2,42.6,32.6,53,40.8,32.8,49.1,38.3,31.1,45.7,37.2,28.8,45.9,38.8,31.4,46.4,38.6,31.5,45.8
"West Virginia","Cabell County",37.9,28.2,47.8,38.5,29.3,48,36.3,26.8,46,37.7,28.9,46.8,38.5,28.8,48.6,37.8,28.5,47.6,36.9,28,46,35.5,26.9,44.4,34.3,25.1,43.8,36,26.5,45.8,36.1,26.4,46.1
"West Virginia","Calhoun County",25.7,14.7,37,26,15.3,37.1,24.8,14.5,35.6,25.7,15.9,36,25.5,15.7,35.5,26.5,16.6,36.7,26.3,17,36,24.3,15.8,33.1,24.2,15.2,33.5,25,16.1,34.1,25.8,16.7,35.2
"West Virginia","Clay County",25,14.6,35.7,26,15.8,36.5,24.9,15,35.2,25.1,15.7,34.7,25.8,16.1,35.8,26.5,16.7,36.7,25.3,16.2,34.7,23.9,14.8,33.3,22.8,13.7,32.3,23.6,14.7,32.8,24.3,15,33.9
"West Virginia","Doddridge County",30,18.5,41.8,30.8,19.8,42.1,29.3,18.7,40.3,30.2,20.3,40.5,29.7,20,39.8,31.1,21.4,41.1,29,20.2,38,29.1,20.5,37.9,28.6,19.8,37.8,30.4,21.4,39.7,29.9,21.1,39.1
"West Virginia","Fayette County",31,20.5,41.9,31.3,21.2,41.7,29.7,19.7,40.1,30.8,21.3,40.6,30.7,20.7,41,30.5,20.7,40.7,30.8,21,40.9,29.2,19.8,38.9,28.1,18.5,38.1,29.3,19.8,39.1,28.9,19.4,38.8
"West Virginia","Gilmer County",32.6,21.8,43.7,34,23.6,44.8,32.5,22.3,43.2,32.9,23.4,42.7,33.6,23.8,43.9,34.5,24.8,44.5,33.9,24.8,43.3,33.7,25.5,42.3,32.6,24.8,40.8,34.5,26.6,42.6,33.1,25.5,41.1
"West Virginia","Grant County",36.2,24.9,48,36.8,25.8,48.1,35.4,24.5,46.7,35.9,25.7,46.6,36.2,25.7,47.1,37.2,26.7,48.2,36.8,26.6,47.3,35.6,25.2,46.4,34.5,24,45.4,37.2,26.6,48.3,37,26.3,48.1
"West Virginia","Greenbrier County",36,25.5,47,37.1,26.8,47.8,35.6,25,46.6,36.2,26.1,46.7,36.2,25.5,47.2,36.6,25.7,47.9,36.3,25.6,47.3,34.9,24.2,46,34.1,23,45.6,36.2,24.8,47.9,35.4,24.1,47.2
"West Virginia","Hampshire County",37.4,27.1,48.1,37.9,28.1,48.1,36.1,26.3,46.3,36.6,27.5,46,36.7,27.3,46.4,37.1,27.9,46.7,36.5,27.5,45.8,35.4,26.7,44.5,33.7,24.7,43,34.6,26.3,43.3,34.9,26.4,43.7
"West Virginia","Hancock County",48.1,34.6,62.1,47.6,34.4,61.2,43.6,29.6,58.1,42.7,29.6,56.3,41.9,30.1,54.1,42.9,31.3,54.9,39.5,29.6,49.8,36.9,27.7,46.5,35.5,25.1,46.2,34.5,25.3,44.1,34.7,25.9,43.7
"West Virginia","Hardy County",37.3,26.6,48.5,37.9,27.6,48.5,36.7,26.5,47.2,37.7,28.1,47.5,37.8,28.1,47.9,38.7,29,48.8,38.2,28.5,48.3,37.7,28.2,47.5,36.3,26.5,46.4,38.5,29.2,48.1,37.8,28.5,47.3
"West Virginia","Harrison County",40.2,28.7,52.1,40.6,29.6,52,38.7,27.6,50.2,39.7,29.1,50.7,39.9,28.9,51.4,40,29.1,51.3,39.4,28.6,50.6,38.6,27.7,49.8,38.5,27.1,50.4,40.6,29.1,52.4,39.3,28.1,50.9
"West Virginia","Jackson County",32.9,23.3,42.8,32.5,23.3,42.1,30.9,21.7,40.5,32.2,23.4,41.3,32.6,23.4,42.2,32.4,23.4,41.8,31.2,22.7,40,30.2,21.4,39.3,27.7,19,36.7,29.7,20.9,38.9,29.8,21,38.9
"West Virginia","Jefferson County",49.2,39.4,59.3,50.3,41.4,59.6,48.5,39.7,57.7,49.2,41.2,57.4,49.2,41.2,57.6,50,42.2,58.1,49.1,41.9,56.6,49.4,42.7,56.3,48.4,42,54.9,50.1,44.7,55.7,49.1,43.6,54.8
"West Virginia","Kanawha County",38.2,28.1,48.7,38.1,28.5,48.1,36.4,26.6,46.6,37.8,28.5,47.4,37.7,28.1,47.7,37.9,28.3,47.8,36.4,27.5,45.6,35.3,26.8,44.2,34.1,25.1,43.4,34.3,25.6,43.3,34.7,25.8,43.9
"West Virginia","Lewis County",34,24.1,44.2,35.2,25.6,45.2,33.6,24.3,43.3,34.2,25.6,43.1,35.3,26.3,44.6,35.4,26.5,44.5,35,27,43.3,33.8,26.4,41.4,35,27.1,43.2,36.9,29.2,44.9,36.6,28.9,44.6
"West Virginia","Lincoln County",21.1,12.2,30.2,21.8,13.1,30.7,21,12.3,29.9,21.7,13.4,30.4,21.9,13.2,31,22.7,13.9,31.9,22.6,14,31.6,21.9,13.4,30.6,22,13.1,31.2,22.6,13.7,31.7,22.7,13.6,32.2
"West Virginia","Logan County",20.2,11.7,29,20.7,12.5,29.3,20.2,12,28.7,21.2,13.3,29.4,21.8,13.5,30.5,22.6,14,31.5,22.8,14.6,31.3,22.9,14.8,31.4,22.7,14.3,31.4,24.3,15.7,33.2,23.7,15,32.8
"West Virginia","Marion County",40.4,29.6,51.5,41.1,30.8,51.7,39.1,28.9,49.7,40.2,30.6,50.2,41.1,31.3,51.3,41.4,31.8,51.4,40,31.3,49.1,39.6,30.7,48.8,39.7,30.2,49.5,41.9,32.7,51.4,41.3,32.2,50.7
"West Virginia","Marshall County",44.3,34.8,54.2,44.2,34.8,54.1,41.3,31,52,42.7,32.2,53.6,41.1,30.7,51.8,42,31.6,52.9,40.9,31.3,50.9,40.1,30.3,50.1,40,29.2,51.1,42,31.7,52.7,41.9,31.7,52.5
"West Virginia","Mason County",29.6,17.6,41.9,29.4,18,41.4,28.4,16.9,40.3,29.7,18.5,41.2,30.4,18.6,42.6,31.4,19.5,43.7,30.2,18.9,42,28.6,17.5,40.1,29.1,17.2,41.4,29.7,17.7,42.2,29.5,17.5,42
"West Virginia","McDowell County",16.4,8.9,24,17.3,9.6,25.2,16.8,9.2,24.6,17.1,10,24.6,18.5,10.6,26.6,18.7,10.9,26.8,19.3,11.6,27.3,17.2,10.3,24.4,18.5,10.9,26.3,19.4,11.7,27.3,18.6,11.1,26.3
"West Virginia","Mercer County",27,17.7,36.6,27.7,18.7,37.1,26.8,17.7,36.3,27.9,19.1,36.9,28.2,19,37.7,29.5,20,39.2,29,19.8,38.4,29.2,19.9,38.8,28.8,19.1,38.9,29.9,20.1,40.1,29.8,19.9,40.1
"West Virginia","Mineral County",40.5,30.3,51,41.3,32,51.1,39.6,30.3,49.2,40.5,32.1,49.3,39.8,31.4,48.6,40.5,32.4,49,40.4,32.6,48.5,39.9,32.4,47.7,38.5,31.2,46.1,39.9,33.3,46.7,39.4,32.9,46.2
"West Virginia","Mingo County",19.2,11,27.7,19.3,11.6,27.4,19.6,11.7,27.8,20.6,13,28.5,21.7,13.6,30.2,22.3,14.2,30.7,22.7,15.1,30.6,21.8,14.8,29.1,22.7,15.1,30.6,23.9,16.2,31.8,23.5,15.6,31.7
"West Virginia","Monongalia County",49.2,38.7,60,49.2,39.3,59.5,47,37,57.5,46.4,37.1,56.1,47.2,37.6,57.2,47.7,38.2,57.6,46.8,37.9,56.2,44.5,35.9,53.4,43.8,34.5,53.4,46.8,37.5,56.5,46.1,36.8,55.7
"West Virginia","Monroe County",33.8,21.8,46.3,34.7,23.1,46.7,34,22,46.4,34.1,22.8,45.8,34,22.3,46.1,34.8,23.1,47,33.3,22,45.1,33.1,21.6,45,32.2,20.5,44.3,34,22,46.5,34.1,21.8,46.8
"West Virginia","Morgan County",41.8,33.6,50.3,42.7,35.2,50.5,41,33.4,48.9,41.8,34.8,49,41,33.9,48.4,42.4,35.1,49.9,41.6,34.4,49.2,41.2,34.2,48.5,40.3,33.1,47.7,41.9,35.3,48.7,41,34.5,47.8
"West Virginia","Nicholas County",29.9,19.3,40.8,30,20,40.5,28.8,18.9,39.1,29.9,20.5,39.6,29.1,19.8,38.7,30,20.7,39.7,29.5,20.7,38.6,28.4,19.6,37.6,27.6,18.5,36.9,28.1,19.4,37.1,28.4,19.4,37.7
"West Virginia","Ohio County",53.8,42.6,65.5,53.4,42.6,64.6,50,38.8,61.7,50.1,39.3,61.2,49.3,39.5,59.5,50.4,40.6,60.6,49.4,41.2,57.9,48.9,41.2,56.8,46.9,37.9,56.2,48.7,40.8,56.8,48.1,40.6,55.9
"West Virginia","Pendleton County",38,26.9,49.5,38.9,28.2,50.1,37.5,26.6,48.9,40.2,29.3,51.6,39.7,28.3,51.5,40.2,28.7,52.1,39.1,28.2,50.5,38,27,49.4,37.6,26.2,49.5,37.2,26.6,48.2,37.2,26.4,48.4
"West Virginia","Pleasants County",35.3,25,45.9,35.6,25.7,45.9,34.1,24.3,44.4,35.5,26.1,45.3,36.6,27,46.5,36.7,27.2,46.6,35.7,26.7,45,34.9,25.6,44.5,34.3,24.7,44.3,36,26.5,45.8,35.9,26.5,45.6
"West Virginia","Pocahontas County",35.7,24.8,47.1,36.3,25.7,47.4,34.4,23.6,45.5,35,24.6,45.7,34.5,23.6,45.7,35.1,23.9,46.6,33.6,23.7,43.8,31.9,22.3,41.7,31.8,21.9,42.1,33.4,23.5,43.7,32.4,22.6,42.6
"West Virginia","Preston County",36.1,25.5,47,36.9,26.5,47.6,35.4,25,46.3,35.9,25.9,46.1,36.1,25.8,46.9,36.9,26.4,47.8,36.4,25.8,47.4,36.3,25.4,47.6,36.1,24.6,48,37.7,26.2,49.6,37.1,25.7,48.9
"West Virginia","Putnam County",35.7,25.1,46.8,36.1,26.1,46.5,34.7,24.6,45.3,36.5,26.9,46.6,37,26.9,47.5,37.5,27.6,47.7,37.2,27.9,46.7,36,27.4,44.8,36,27,45.4,37.4,28.5,46.6,37.4,28.4,46.6
"West Virginia","Raleigh County",27.8,19.2,36.6,28,20,36.4,26.9,18.9,35.1,28.5,21,36.3,29,21.2,37.1,29.6,21.9,37.6,28.5,21.6,35.6,27.9,21.4,34.7,27.7,20.9,34.7,29.1,22.6,35.8,28.2,21.6,34.9
"West Virginia","Randolph County",35.1,25.4,45.1,35.8,26.3,45.6,34.5,24.8,44.6,36,26.5,45.9,36.5,26.3,47,36,25.8,46.7,36.2,25.9,46.8,34.6,24.4,45.2,34.6,23.5,46.2,36.4,25.1,48.1,36.4,25.1,48.2
"West Virginia","Ritchie County",30.7,18.5,43.3,30.8,19.1,43,29.5,18,41.4,30.7,19.7,42.1,31.2,20.2,42.7,31.4,20.6,42.5,30.8,20.7,41.3,29.3,20.2,38.8,29.3,20,39,30.8,21.5,40.5,30.9,21.6,40.4
"West Virginia","Roane County",28.6,17.2,40.5,29.3,18.2,40.7,28,17.2,39.3,29,18.7,39.7,29.1,18.8,39.9,29.9,19.5,40.7,28.7,19.1,38.6,27,17.8,36.6,26.2,16.7,36.1,27.4,18,37.2,27.8,18.3,37.7
"West Virginia","Summers County",28.6,19.3,38.3,30,20.9,39.4,28.5,19.6,37.7,28.5,20.3,36.9,28.9,20.3,37.7,29.3,20.8,38,28.4,20.5,36.7,26.9,19.4,34.7,27.8,19.2,36.6,28.4,20,37,27.4,19.1,35.9
"West Virginia","Taylor County",37,27.3,47.1,37.9,28.6,47.5,36.3,27.1,45.8,37.2,28.7,46.1,37.5,28.7,46.6,38.3,29.6,47.2,38,29.6,46.7,37.4,29.1,45.9,36.5,28.1,45.1,39.5,31.1,48.1,39,30.7,47.6
"West Virginia","Tucker County",38.2,26.4,50.4,38.5,27.2,50.3,37,25.5,48.9,37.1,26.2,48.4,37.9,26.5,49.7,37.6,26.1,49.6,37,25.4,49,35,23.7,46.8,34.4,22.5,46.7,36.9,25,49.2,37,25.2,49.2
"West Virginia","Tyler County",32.1,21.2,43.4,32,21.4,43.1,30.2,19.5,41.3,31.3,21,42.1,31.4,20.8,42.3,31.5,21.1,42.3,30.6,20.7,40.9,29.4,19.9,39.3,29.8,19.5,40.5,30.4,20.4,40.8,31.1,21,41.7
"West Virginia","Upshur County",30.9,20.2,42,31.7,21.2,42.7,30.2,19.6,41.3,31.5,21,42.3,30.9,20.3,42,31.7,20.8,43.1,31.3,20.7,42.2,31,20.2,42.2,30.2,19.1,41.6,32.8,21.3,44.8,33.1,21.4,45.2
"West Virginia","Wayne County",25.7,16,35.8,26.4,17.1,36.1,25.6,16.1,35.4,26.4,17.4,35.7,26.3,17,36,27.2,17.7,37,27.9,18.5,37.6,26,17.5,34.9,26.1,17.2,35.4,27.3,18.3,36.7,27,17.8,36.4
"West Virginia","Webster County",25.2,15.2,35.5,26,16,36.3,24.7,14.8,35,24.5,15.1,34.2,25,15.2,35.2,26.5,16,37.3,24.5,15.1,34.2,22.5,13.9,31.5,23.6,14.5,33,24.8,15.5,34.3,23.5,14.4,32.8
"West Virginia","West Virginia",35.9,25.8,46.3,36.4,26.7,46.3,34.7,25,44.8,35.6,26.5,45.1,35.9,26.5,45.7,36.4,27,46.1,35.7,26.9,44.8,34.7,26.1,43.5,34.1,25.2,43.4,35.5,26.8,44.6,35.3,26.6,44.3
"West Virginia","Wetzel County",36.8,26.1,48,36.3,26,47,34.1,23.6,45,35,24.9,45.5,34.9,24.8,45.4,36.2,26,46.8,34.7,25.2,44.6,33.2,23.6,43.3,32.9,22.2,44,35,24.3,46,34.8,24.2,45.7
"West Virginia","Wirt County",30.5,18.7,42.7,30.5,19,42.4,29.2,17.9,40.9,29.6,18.8,40.7,30.5,19.4,42,30.6,19.6,41.9,29.7,19.5,40.4,28.4,18.6,38.7,27.7,18.1,37.7,29.7,19.9,39.9,29.7,19.8,40
"West Virginia","Wood County",40.2,30.4,50.4,40.5,31.2,50.2,38,28.7,47.7,38.1,29.7,46.7,38.2,29.6,47,38.4,30.1,47,37.5,30,45.3,35.8,28.9,42.9,35.2,27.9,42.7,36.2,29.5,43.2,36.2,29.4,43.3
"West Virginia","Wyoming County",21,12.1,30.2,21.7,13,30.8,20.9,12.3,29.8,21.7,13.5,30.2,22.6,13.8,31.6,23,14.2,32,23.5,15.2,32.2,22.6,14.5,31,23.1,14.6,32,23.3,15.2,31.7,23.5,15,32.3
