"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Wisconsin","Adams County",59.8,55,64.8,61.5,56.5,66.6,60,55.4,64.7,60.8,56.7,65,60.6,56.9,64.5,63.5,60,67.1,62.3,58.8,65.9,61.4,57.7,65.3,61.8,58.7,65,62.5,60,65.1,60.3,57.9,62.8
"Wisconsin","Ashland County",65.5,58.2,73.1,67.5,60.3,74.8,65,57.9,72.3,66.2,59.6,73,65.4,59.1,71.9,67.1,61.2,73.3,67.5,61.1,74.2,66.5,59.7,73.6,66.8,60.6,73.4,67.7,61.9,73.8,65.2,59.5,71
"Wisconsin","Barron County",64.6,56.7,72.7,65.5,57.9,73.3,63.7,56.5,71.3,64.1,57.2,71.3,64.1,57.6,70.8,64.9,58.8,71.3,65.8,59.6,72.2,65.3,59,71.8,65,59.1,71.1,66,60.7,71.5,62.7,57.3,68.3
"Wisconsin","Bayfield County",69.6,63.4,76,70.8,64.5,77.3,69.4,63.2,75.8,69.5,63.5,75.8,69.7,63.9,75.7,70.7,65,76.5,70.5,64.4,76.8,70.1,63.6,76.8,69.9,63.5,76.5,71.4,65.4,77.6,68.1,62,74.4
"Wisconsin","Brown County",74.1,67.9,80.4,74.4,68.5,80.5,72.9,67.3,78.8,73.5,68.3,78.9,73.1,68.3,78.1,73.4,68.7,78.2,73.3,68.8,78.1,72.3,67.5,77.4,72.3,67.7,77,72.7,68.9,76.6,70.1,66.2,74.1
"Wisconsin","Buffalo County",67.7,60.4,75.3,67.4,60,75.1,66.7,59.6,74,67.4,60.7,74.2,68.3,62.3,74.6,69.2,63.4,75.3,67.8,62,73.7,68.2,62.5,74.1,68.5,63.2,74.1,69.7,65,74.6,67.1,62.2,72.2
"Wisconsin","Burnett County",65.6,59.7,71.6,66.6,60.6,72.8,64.4,58.4,70.6,64.8,59,70.9,63.7,57.9,69.6,64.6,58.7,70.7,66.2,60.3,72.4,65.2,58.8,71.9,66.2,59.9,72.7,67.3,61.1,73.6,64.4,58.2,70.9
"Wisconsin","Calumet County",72.8,66.3,79.6,73.6,67.3,80.2,72.8,66.7,79.2,73.3,67.4,79.4,73.5,68.1,79.1,73.7,68.3,79.3,73.6,68.2,79.3,73.6,68,79.3,74,68.9,79.4,74.1,69.4,79,71.9,67,77
"Wisconsin","Chippewa County",70,62.6,77.6,70.9,63.7,78.3,69.3,62.4,76.5,70.1,63.6,76.8,70.4,64.5,76.6,71.1,65.4,77.1,71.2,65.5,77.1,70.8,64.9,76.8,71.1,65.7,76.8,72.4,67.6,77.4,69.9,64.9,75
"Wisconsin","Clark County",62.3,53.1,71.9,63.7,54.8,72.8,62,53.5,70.9,62.5,54.6,70.7,62.9,55.8,70.4,64,57.2,71.1,63.8,57.2,70.6,63.6,57.1,70.4,64.3,58.7,70,64,59.4,68.9,61.6,57,66.5
