"state","location","both_sexes_2002","females_2002","males_2002","both_sexes_2003","females_2003","males_2003","both_sexes_2004","females_2004","males_2004","both_sexes_2005","females_2005","males_2005","both_sexes_2006","females_2006","males_2006","both_sexes_2007","females_2007","males_2007","both_sexes_2008","females_2008","males_2008","both_sexes_2009","females_2009","males_2009","both_sexes_2010","females_2010","males_2010","both_sexes_2011","females_2011","males_2011","both_sexes_2012","females_2012","males_2012"
"Wyoming","Albany County",67.3,62.7,72,67,62.5,71.6,64.6,60,69.4,63.9,59.1,68.8,64.5,59.7,69.4,65.2,60.1,70.6,64.3,59,69.7,63.7,58.9,68.7,62.9,58.8,67.3,63,59,67.3,60.9,56.6,65.4
"Wyoming","Big Horn County",42,34.1,50.2,43.9,35.2,53,42.2,33.2,51.4,43,33.6,52.7,44.2,34.7,54.1,45.7,35.5,56.3,46.8,36.5,57.5,47,36.7,57.6,45.5,36,55.4,47.3,37.5,57.5,46.1,36.1,56.4
"Wyoming","Campbell County",58.2,51.5,65.1,58.7,52,65.8,57.2,50.3,64.3,58.3,51.2,65.7,58.3,51.5,65.4,59.5,52.4,66.9,59.8,53,66.8,59.4,53.1,66,59.8,53.9,65.9,60.4,54.9,66.1,59.3,53.6,65.1
"Wyoming","Carbon County",58.6,51.3,66.1,58.7,51.3,66.4,57.1,49.6,64.8,57.6,50.2,65.3,59.5,52.1,67.1,59.6,51.9,67.5,58.9,51.9,66.1,58,51.4,64.9,58,51.9,64.4,58.4,52.5,64.4,57.3,51.1,63.7
"Wyoming","Converse County",61.4,51.8,71.3,61.9,52.3,72,60.5,50.6,70.7,61.2,51.2,71.5,61.6,51.8,71.8,62.6,52.5,73,62.4,52.7,72.4,62.4,53.1,72,62.5,53.6,71.8,62.4,53.7,71.4,61.4,52.4,70.8
"Wyoming","Crook County",61.8,52.9,71,62,52.8,71.5,61.2,51.7,71,61.9,52.2,72,64.8,55.1,74.9,66.8,56.8,77.2,66.6,56.9,76.6,67.2,58.4,76.2,67.8,59.4,76.4,69.6,61.5,78.1,68.7,60.2,77.5
"Wyoming","Fremont County",56.4,49.3,63.6,58,50.6,65.7,56.6,49,64.4,56.6,49,64.4,56.6,49.4,64,57.6,50,65.4,57.3,50.1,64.7,57,50.3,64,57.5,51.3,63.9,57.4,51.6,63.4,56.2,50,62.5
"Wyoming","Goshen County",59,49,69.4,59.6,49.8,69.7,58.2,48.3,68.4,56.7,47,66.8,58.8,49.2,68.8,58.6,48.9,68.5,59,49.7,68.6,59.5,51,68.2,58.7,51.2,66.4,58.8,51.7,66.1,57.5,50,65.2
"Wyoming","Hot Springs County",59.7,52.1,67.5,61,53.1,69.1,60.8,52.7,69.3,60.6,52.5,69.1,59.5,51.8,67.4,58.6,50.8,66.7,58.6,51.4,66.1,58.4,52,65,58.6,53.2,64.2,58.5,53.5,63.8,58.1,52.6,63.8
"Wyoming","Johnson County",66.1,59.5,72.9,66.8,59.8,74.1,65.4,58,73,65.6,58,73.5,66.5,59,74.4,67.2,59.2,75.5,67.5,59.8,75.4,67.3,59.5,75.4,67.6,60.4,75.2,68.3,61.2,75.7,67,59.6,74.7
"Wyoming","Laramie County",60.3,54,66.9,60.8,54.5,67.3,58.6,52.1,65.3,59.1,52.3,66.1,59.1,52.3,66.1,59.7,52.5,67.1,58.8,51.9,65.8,58.5,52.1,65.2,57.8,52,63.7,58.7,52.8,64.9,56.8,50.4,63.3
"Wyoming","Lincoln County",40.8,33.9,48,41.3,33.9,49,39.9,32.1,48,40.7,32.5,49.2,40.6,32.4,49.1,41.1,32.1,50.5,41.2,32.1,50.6,41,32.1,50.3,40.9,32.4,49.8,40.6,31.9,49.7,39.7,30.5,49.1
"Wyoming","Natrona County",60.4,54.5,66.6,61.2,54.9,67.8,59.6,53.1,66.5,59.8,53,66.9,59.5,52.9,66.4,60.2,53.1,67.7,60.2,53.3,67.5,60,53.2,67,59.4,52.9,66.2,59.3,52.9,66,57.2,50.6,64.1
"Wyoming","Niobrara County",57.2,50.9,63.7,58.1,51.4,65.1,56.6,49.5,63.9,56.7,49.1,64.5,56.9,49.3,64.8,57.3,49.1,65.8,57,49.1,65.2,55.5,47.5,63.7,55.2,47.4,63.2,55.3,47.5,63.3,53.5,45.5,61.8
"Wyoming","Park County",60.9,54.9,67.2,61.4,55,68.1,60.1,53.4,67.1,60.7,53.8,67.9,60.8,54.1,67.9,59.9,53,67,60.2,53.4,67.1,60,53.4,66.8,59.1,52.7,65.8,59.2,52.9,65.8,58.2,51.4,65.1
"Wyoming","Platte County",58,49.1,67.3,59.6,50.7,68.8,58.9,49.8,68.3,60.2,50.9,69.9,61.8,52.6,71.3,61.5,52.2,71.1,62.4,53.5,71.7,62,53.6,70.7,62.3,54.6,70.3,63,55.5,70.8,61.5,53.6,69.6
"Wyoming","Sheridan County",61.9,55.4,68.6,62.1,55.5,68.9,61.1,54.3,68.1,62,55,69.1,61.9,55.2,68.8,62.2,55.3,69.3,61.6,55.1,68.3,62.9,56.8,69.2,62.6,57.1,68.4,63,58,68.2,61.3,56.2,66.7
"Wyoming","Sublette County",65,60.5,69.6,66.1,61,71.4,64.2,58.4,70.2,65.1,58.7,71.7,65.2,58.6,72,65.2,57.8,72.8,63.7,56.7,70.9,63.2,56.3,70.3,62.9,56.5,69.6,63.2,56.5,70.2,62.6,55.3,70.1
"Wyoming","Sweetwater County",57.4,49.4,65.8,57.2,49,65.7,55.9,47.3,64.8,56.3,47.6,65.4,56.3,47.6,65.2,56.4,47.2,65.9,56.7,47.7,66,55.8,46.7,65.2,54.7,46.2,63.6,54.6,46.2,63.3,53.9,45,63.2
"Wyoming","Teton County",78.3,76,80.7,78.6,75.9,81.4,77.4,74.4,80.6,77.4,74.1,80.8,78,74.6,81.5,77.7,73.9,81.7,76.9,73.3,80.6,77,73.5,80.7,75.6,72.2,79.1,75.9,72.4,79.5,74.9,70.9,79
"Wyoming","Uinta County",44.7,38,51.7,44.4,37.6,51.4,42.3,35.5,49.4,42.4,35.6,49.4,42.6,35.9,49.5,42.5,35.5,49.8,41.4,34.9,48.1,41,34.7,47.6,39.4,34.1,44.9,39.8,34.4,45.4,37.7,32.2,43.5
