"state","location","both_sexes_2012","females_2012","males_2012"
"Oregon","Gilliam County",69.7,67.1,72.4
"Oregon","Benton County",67.8,64.5,71.3
"Oregon","Sherman County",67.1,63.7,70.6
"Oregon","Deschutes County",65.9,61.4,70.5
"Oregon","Clatsop County",65.7,60.5,71.1
"Oregon","Multnomah County",65.1,61.6,68.8
"Oregon","Clackamas County",64.9,60.7,69.3
"Oregon","Washington County",63.1,58,68.3
"Oregon","Wheeler County",62.8,60,65.7
"Oregon","Lincoln County",62.7,57.9,67.6
"Oregon","Lane County",62.3,57.7,67.2
"Oregon","Curry County",61.9,57.5,66.6
"Oregon","Tillamook County",61.9,57.8,66.1
"Oregon","Oregon",61.7,57,66.6
"Oregon","Wallowa County",61.5,56.2,66.9
"Oregon","Columbia County",61,55.8,66.4
"Oregon","Lake County",60.8,54.8,67
"Oregon","Polk County",60.2,55.9,64.7
"Oregon","Hood River County",59.7,53.2,66.4
"Oregon","Jackson County",59.3,54.4,64.4
"Oregon","Wasco County",58.6,52.6,64.8
"Oregon","Grant County",58.4,51.6,65.4
"Oregon","Klamath County",57.9,51.8,64.2
"Oregon","Linn County",57.8,53.1,62.6
"Oregon","Yamhill County",57.5,50.6,64.6
"Oregon","Coos County",57.2,51,63.6
"Oregon","Crook County",57.2,51.3,63.4
"Oregon","Josephine County",57,51.3,63
"Oregon","Baker County",56.8,50.1,63.7
"Oregon","Marion County",56.8,50.6,63.3
"Oregon","Harney County",56.1,47.6,64.8
"Oregon","Union County",55.8,49,62.8
"Oregon","Douglas County",55.6,51.6,59.8
"Oregon","Umatilla County",53.7,46.3,61.3
"Oregon","Morrow County",53.1,44.8,61.6
"Oregon","Jefferson County",52.3,46.8,57.9
"Oregon","Malheur County",42.4,31.6,53.7
