"state","location","both_sexes_2012","females_2012","males_2012"
"Washington","San Juan County",73.1,70.4,75.8
"Washington","Jefferson County",68.4,64.9,72.1
"Washington","Island County",66.8,62.2,71.6
"Washington","King County",66.4,63,69.8
"Washington","Whatcom County",65.9,61.8,70.2
"Washington","Kittitas County",65.1,62.2,68.1
"Washington","Garfield County",64.9,60,70
"Washington","Lincoln County",63.4,56.8,70.3
"Washington","Skamania County",63.3,59.6,67.2
"Washington","Whitman County",62.2,57.9,66.7
"Washington","Kitsap County",62.1,57.7,66.6
"Washington","Pend Oreille County",62.1,58.7,65.6
"Washington","Pacific County",62,55.7,68.5
"Washington","Washington",61.8,57.2,66.7
"Washington","Snohomish County",61.7,57.4,66.1
"Washington","Skagit County",61.5,56.5,66.8
"Washington","Thurston County",61.5,56.9,66.3
"Washington","Spokane County",61.4,56.1,66.9
"Washington","Mason County",61.2,56.1,66.5
"Washington","Douglas County",61,57,65.2
"Washington","Clallam County",60.9,55.8,66.3
"Washington","Clark County",60.9,56.8,65.1
"Washington","Pierce County",59.3,54.1,64.8
"Washington","Klickitat County",58.6,53.7,63.7
"Washington","Wahkiakum County",58.3,51.9,65
"Washington","Stevens County",57.9,50.9,65.2
"Washington","Benton County",57.4,49.9,65.1
"Washington","Grays Harbor County",57.4,51.3,63.8
"Washington","Cowlitz County",56.7,51.4,62.3
"Washington","Asotin County",56.5,50.3,63
"Washington","Ferry County",56,51.1,61.1
"Washington","Okanogan County",56,50.5,61.6
"Washington","Chelan County",55.7,49.9,61.7
"Washington","Columbia County",55.2,49.6,61.1
"Washington","Walla Walla County",55.1,48.1,62.5
"Washington","Lewis County",54.6,48,61.4
"Washington","Yakima County",50.4,42.2,58.8
"Washington","Grant County",49.9,40,60.1
"Washington","Franklin County",45.9,36,56.2
"Washington","Adams County",42.4,28.4,56.9
