"state","location","both_sexes_2012","females_2012","males_2012"
"Idaho","Shoshone County",29.2,22,36.6
"Idaho","Benewah County",25.9,17.2,34.8
"Idaho","Nez Perce County",25.2,20.4,30.1
"Idaho","Clearwater County",25.1,17.2,33.4
"Idaho","Latah County",24.5,20.4,28.8
"Idaho","Bonner County",23.8,16.7,31.2
"Idaho","Idaho County",23.8,17.2,30.5
"Idaho","Valley County",23.3,15.8,31.2
"Idaho","Adams County",23.2,16.9,29.7
"Idaho","Blaine County",23.1,15.8,30.6
"Idaho","Lewis County",22.1,15.9,28.5
"Idaho","Washington County",22,16,28.1
"Idaho","Owyhee County",21.5,13.7,29.6
"Idaho","Lemhi County",20.6,15.6,25.7
"Idaho","Boundary County",20.5,11.6,29.8
"Idaho","Elmore County",20.5,15.8,25.4
"Idaho","Boise County",19.6,14,25.4
"Idaho","Kootenai County",19.2,13.7,25
"Idaho","Jerome County",19.1,10.2,28.4
"Idaho","Payette County",18.7,13.4,24.1
"Idaho","Gooding County",18.6,11.9,25.6
"Idaho","Camas County",18.4,10.6,26.5
"Idaho","Custer County",18.4,12.7,24.3
"Idaho","Ada County",17.9,13.3,22.6
"Idaho","Gem County",17.8,12,23.7
"Idaho","Twin Falls County",17.8,11.7,24.1
"Idaho","Lincoln County",17.5,9.7,25.6
"Idaho","Idaho",17.3,12.1,22.7
"Idaho","Clark County",17.2,8.3,26.4
"Idaho","Canyon County",16.4,10.1,22.9
"Idaho","Teton County",15.9,10,22.1
"Idaho","Minidoka County",15,8.4,21.9
"Idaho","Bannock County",14.5,10.8,18.3
"Idaho","Butte County",14.5,9.7,19.6
"Idaho","Power County",14.5,8.1,21.2
"Idaho","Cassia County",12.5,6.8,18.4
"Idaho","Bingham County",11.8,7.5,16.3
"Idaho","Bonneville County",11.6,7.7,15.7
"Idaho","Oneida County",10.7,6.8,14.8
"Idaho","Caribou County",10.4,5.8,15.3
"Idaho","Fremont County",10.1,5.3,15
"Idaho","Jefferson County",9.5,6,13.2
"Idaho","Bear Lake County",8.1,4.6,11.7
"Idaho","Franklin County",8,4.5,11.8
"Idaho","Madison County",5.9,4.2,7.7
