"state","location","both_sexes_2012"
"Alabama","Autauga County",8.6
"Alaska","Aleutians East Borough",14.6
"Arizona","Apache County",14.9
"Arkansas","Arkansas County",12.1
"California","Alameda County",15
"Colorado","Adams County, Boulder County, Broomfield County, Jefferson County, Weld County",9.2
"Connecticut","Fairfield County",18.2
"Delaware","Kent County",17.5
"Florida","Alachua County",12.1
"Georgia","Appling County",10.4
"Hawaii","Hawaii County",19.7
"Idaho","Ada County",5.9
"Illinois","Adams County",14.7
"Indiana","Adams County",14.1
"Iowa","Adair County",20.4
"Kansas","Allen County",14.2
"Kentucky","Adair County",8.5
"Louisiana","Acadia Parish",11.5
"Maine","Androscoggin County",18.2
"Maryland","Allegany County",14.8
"Massachusetts","Barnstable County",20.5
"Michigan","Alcona County",18.5
"Minnesota","Aitkin County",19.7
"Mississippi","Adams County",9
"Missouri","Adair County",13.5
"Montana","Beaverhead County",18.2
"Nebraska","Adams County",16.3
"Nevada","Carson City",16.2
"New Hampshire","Belknap County",18.7
"New Jersey","Atlantic County",16
"New Mexico","Bernalillo County",12.4
"New York","Albany County",16.1
"North Carolina","Alamance County",10.8
"North Dakota","Adams County",20.9
"Ohio","Adams County",13.7
"Oklahoma","Adair County",11
"Oregon","Baker County",15.1
"Pennsylvania","Adams County",14.6
"Rhode Island","Bristol County",19.4
"South Carolina","Abbeville County",11.9
"South Dakota","Aurora County",17.4
"Tennessee","Anderson County",7.1
"Texas","Anderson County",10.8
"Utah","Beaver County",6.5
"Vermont","Addison County",19.4
"Virginia","Accomack County",9.1
"Washington","Adams County",14.7
"West Virginia","Barbour County",9
"Wisconsin","Adams County",23.2
"Wyoming","Albany County",14.4
